gene-Y11_RS16700	21423	22835	23465	24442	22116	16117	14239	13653	10369	9357	host	gltP
gene-Y11_RS23905	123	58	98	148	121	162	115	124	142	94	host	gene-Y11_RS23905
gene-Y11_RS17175	31261	41725	47627	52509	51052	39622	34230	32988	25866	23152	host	hflX
gene-Y11_RS18080	1196	582	531	539	803	627	695	858	815	790	host	gene-Y11_RS18080
gene-Y11_RS05220	2078	1419	1593	1931	2920	2015	2081	2336	1930	1928	host	msrB
gene-Y11_RS11685	4332	2999	3760	3744	3697	2578	2193	2552	2052	1984	host	ftsP
gene-Y11_RS24010	160	221	213	237	226	223	157	216	169	162	host	pheM
gene-Y11_RS07910	20556	16797	19228	18987	21710	16177	12674	13896	9677	9093	host	metG
gene-Y11_RS05780	1009	754	808	1159	1443	1078	1231	1244	1130	1006	host	gene-Y11_RS05780
gene-Y11_RS05990	165	84	88	123	228	154	114	265	219	171	host	gene-Y11_RS05990
gene-Y11_RS09105	13774	11029	10561	12211	11381	8598	8648	9159	6705	7821	host	lipA
gene-Y11_RS08100	189	74	93	242	174	205	345	287	226	249	host	darA-d
gene-g281	6	479	682	1706	1405	1568	1715	1825	1876	2505	phage	g281
gene-Y11_RS17365	805	399	470	657	1005	621	763	740	696	672	host	gene-Y11_RS17365
gene-Y11_RS13730	2092	713	864	1391	1736	1457	1923	2298	2388	1491	host	pdeR
gene-Y11_RS14085	779	446	599	1342	3136	3238	3818	4846	3658	3872	host	pstC
gene-Y11_RS16695	4870	3614	4239	5164	5583	4441	4516	5183	4233	4846	host	acs
gene-Y11_RS03665	15253	10024	7307	6454	5212	3966	3414	3733	3261	3177	host	arnB
gene-Y11_RS09260	99	64	125	205	233	338	290	379	367	188	host	gene-Y11_RS09260
gene-Y11_RS15710	1911	1363	1981	2678	3154	2365	2536	2788	2380	2072	host	gene-Y11_RS15710
gene-Y11_RS05290	2524	779	845	1061	1142	1021	916	1106	938	957	host	gene-Y11_RS05290
gene-Y11_RS06620	580	415	425	414	418	315	323	389	361	327	host	fliF
gene-Y11_RS08795	3873	2352	2795	3057	2718	2130	1976	1935	1691	1524	host	gene-Y11_RS08795
