Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-CPT_phageK_gp066	1	1	3	0.0	2.019876741350166	2.2396608854797933	35.75283038190688	7.35609826353493	144.02317959301243	287.1265872634333	54.37477131443836	638.8558957586112	663.9121437470119	575.4698212090439	784.1839544903349	449.69379349377925	711.451882968431	510.03159069510434	223.2920476879524	303.6984618221761	362.5453625377567	phage	gene-CPT_phageK_gp066	0.9948209774879808	0	0	0
gene-CPT_phageK_gp079	0	0	0	0.0	2.019876741350166	2.6129376997264253	36.66180064585367	9.291913596044122	194.2720530628104	259.46760408668064	49.08833521442352	597.8989064483854	421.3791924176173	362.9088962579556	408.855487654872	208.98970149710897	280.9555206626925	299.9116623830799	108.4357547877596	118.91807240024968	219.0483868759593	phage	gene-CPT_phageK_gp079	1.0066677386937943	0	0	0
gene-CPT_phageK_gp220	2	1	0	0.3206263756875431	6.059630224050499	4.4793217709595865	124.22593607272732	53.04134011075187	496.8268897999741	1395.790829598273	253.37133022213985	3457.208722668523	3576.4886114203355	1974.937252403785	4507.860344718732	2897.9363147932454	4425.049450437407	2584.6932358105432	1265.3216035650632	1796.9435494080808	1788.3881030358991	phage	gene-CPT_phageK_gp220	1.051170711056636	0	0	0
gene-CPT_phageK_gp161	1	0	0	0.3206263756875431	5.482522583664737	4.4793217709595865	146.3442124954324	20.1324794580956	412.96081224826906	935.466323870888	115.168786464609	1959.7188010133927	2384.3257409468906	2206.9397253686925	2571.13062257936	2231.663051135796	2383.212756589049	2296.050981347312	832.2919775376284	1218.8187666622514	1275.2469745209205	phage	gene-CPT_phageK_gp161	0.9957271934321242	0	0	0
gene-CPT_phageK_gp043	0	0	0	1.923758254125259	6.059630224050499	17.544010269591713	176.6432212936586	20.1324794580956	435.60819184029066	305.56590938126857	124.23124835034874	485.9985606543757	334.1371235940941	473.7257199367242	376.63471439985545	186.220395497424	248.1018509077809	364.9834048880148	142.44082701286845	120.38167944517583	352.9112899668233	phage	gene-CPT_phageK_gp043	0.8534514019370223	0	0	0
gene-CPT_phageK_gp215	1	2	0	0.0	1.4427691009644046	0.3732768142466321	28.481068270332603	6.581772130531253	99.08228571509454	300.29753163331566	46.0675145858436	710.5306270515063	923.021088152876	614.3529172366821	1515.6825905501698	2102.094857470921	1482.191422850898	1953.2428630112584	828.2494165038743	1309.5624034476728	861.9959668729879	phage	gene-CPT_phageK_gp215	1.1290533488042052	0	0	0
gene-CPT_phageK_gp221	1	1	0	0.3206263756875431	2.596984381735928	4.106044956712954	91.2000164826608	28.262903854634207	332.9872530639427	1113.6033464735456	175.5851990362072	2809.576329200578	2943.983612449792	1957.7638849915784	3845.592829571704	2766.1996157950675	3952.6363370650574	2191.3545464790373	1113.1310705296112	1688.6366280835457	1602.805441932656	phage	gene-CPT_phageK_gp221	1.054935542870887	0	0	0
gene-CPT_phageK_gp187	1	0	0	0.0	0.0	0.0	0.9089702639467852	0.0	1.4154612245013507	2.634188873976453	1.5104103142899543	4.388248854667049	19.62946548529273	8.748696606218573	52.24990257570249	269.9789139962653	68.35073822573568	232.65874415172257	268.4736121828521	318.7004340326692	206.37197559841536	phage	gene-CPT_phageK_gp187	1.5727783704464453	0	0	0
gene-CPT_phageK_gp218	0	0	0	0.0	0.0	0.3732768142466321	23.93621695059868	5.0331198645239	58.74164081680605	260.12615130517474	33.229026914379	558.0389793518264	1027.711570741104	628.2860266465857	1647.1781786990211	2822.5807544609543	1588.68262826337	2258.243935422657	1175.909665406735	1816.3363427533525	999.4082651215642	phage	gene-CPT_phageK_gp218	1.200429052617163	0	0	0
gene-CPT_phageK_gp210	2	0	0	0.3206263756875431	0.5771076403857618	1.1198304427398966	24.23920703858094	8.130424396538608	90.58951836808644	347.7129313648918	53.99716873586587	838.8869060505175	1413.7577252851945	855.1040868078079	2140.9397580394098	2744.243499295372	2414.178284404023	2232.7968852810627	1880.2664761114368	2275.9089548601632	1949.1249980351563	phage	gene-CPT_phageK_gp210	1.0978021997799872	0	0	0
