Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-T7p48	0.1836151532150939	0.0923093822794601	32	12	0.4689314453293637	1.5746326854334691	244.1308345877841	321.0179281005455	1888.174982181992	1886.575262637537	2154.905453441794	2235.1807056001367	phage	gene-T7p48	1.2795702126886408	0	0	0
gene-T7p43	1.5056442563637706	0.7384750582356815	125	36	1.8171093506512843	6.2985307417338765	4893.749693984441	5756.335620725247	15074.248373689676	15053.341025202975	10107.664053822991	9612.584249126452	phage	gene-T7p43	1.1402104267313535	0	0	0
gene-T7p49	0.2203381838581127	0.2461583527452271	56	23	0.9378628906587274	2.204485759606857	405.90017309546425	582.268602792736	3096.1691949997467	3486.886584498226	3481.248348477681	3681.9105344377954	phage	gene-T7p49	1.2726643909739594	0	0	0
gene-T7p05	0.0734460612860375	0.1230791763726135	31	5	243.6685022792706	323.96942765161174	1396.7941724867844	1577.2328468631306	354.5182998283599	359.63774327964546	371.7825391809283	374.381678450772	phage	gene-T7p05	1.1952936693636482	0	0	0
gene-T7p47	1.4321981950777332	1.0461729991672155	203	63	1.6412600586527728	14.801547243074609	1049.455863155863	1279.174883718155	14995.395346229923	15820.99527495506	26631.74748390955	28386.861695823776	phage	gene-T7p47	1.434259925258725	0	0	0
gene-T7p55	0.4039533370732067	0.1230791763726135	50	12	0.2930821533308523	2.249475264904956	317.2337624878488	380.6230348637339	2866.2835238814696	2826.2865597154087	4202.923426869072	4105.087056792762	phage	gene-T7p55	1.343902916989094	0	0	0
gene-T7p38	0.5141224290022631	0.3384677350246873	43	7	0.4103150146631932	1.979538233116361	2422.564005390645	3030.326222186824	7491.83841802782	7296.704360836562	3493.626622270504	3477.820113313169	phage	gene-T7p38	1.1834581355964258	0	0	0
gene-T7p19	0.2203381838581127	0.1538489704657669	42	4	0.2930821533308523	0.6298530741733877	364.4354198965153	564.8540531018589	1998.339655278268	2023.261971317092	1644.7468430189924	1716.181002255515	phage	gene-T7p19	1.1987967652365716	0	0	0
gene-T7p36	0.5141224290022631	0.1846187645589203	35	1	0.0	1.3946746642410726	907.5668857709668	1066.8924958662335	4103.961069988068	3860.475961354997	2640.350948818574	2749.0771670239656	phage	gene-T7p36	1.2047626792565955	0	0	0
gene-T7p39	0.550845459645282	0.8923240287014484	49	14	0.2344657226646818	3.3742128973574337	2735.367287399702	3465.75482311682	10132.453866707952	10104.323241822014	5982.09398002416	5794.024598332661	phage	gene-T7p39	1.1849899248679243	0	0	0
gene-T7p52	1.4321981950777332	1.476950116471363	211	69	1.934342211983625	18.130770635133945	516.1509757792448	865.5063625694977	14462.803740313544	15224.651365379566	30883.14162499893	31282.91223016657	phage	gene-T7p52	1.5021892330493187	0	0	0
gene-T7p33	0.8079066741464135	0.3076979409315339	33	6	0.3516985839970227	2.204485759606857	1499.6608410392453	1912.9088316867235	7399.344937950622	6930.739256976868	3534.58350713588	3683.8733197919455	phage	gene-T7p33	1.2595990749430914	0	0	0
gene-T7p42	4.847440044878481	2.9846700270358792	267	65	2.403273657312989	22.944647702030547	7206.119697723086	8558.42422517577	47621.329290135895	49787.21007768544	45542.275236173125	46475.22417265947	phage	gene-T7p42	1.2593981789215751	0	0	0
gene-T7p41	0.7711836435033947	0.3384677350246873	68	13	0.6447807373278751	6.658446784118669	2397.7419545030552	2939.42681290651	12313.137811281267	13514.141788447723	9088.302348849116	10469.693357577136	phage	gene-T7p41	1.2303618105605871	0	0	0
gene-T7p07	0.3305072757871691	0.5230864995836078	165	32	240.26874930063272	302.0595385714375	5649.373819745561	5466.028267219228	2761.724516244418	2723.358874254869	2365.162377761289	2557.86261782257	phage	gene-T7p07	1.0762415412503052	0	0	0
gene-T7p26	0.4773993983592443	0.3076979409315339	26	2	0.2344657226646818	1.4396641695391716	3021.814890663126	3551.5628277389064	5623.817137853991	5341.903644988068	2634.4875559693423	2639.435977141088	phage	gene-T7p26	1.0969995311948757	0	0	0
gene-T7p37	0.5141224290022631	0.3692375291178407	36	5	0.1758492919985113	2.02452773841446	1818.5418334486965	2128.9530217065067	5318.655387711848	5384.623153997463	3158.0668211359416	3433.26488577394	phage	gene-T7p37	1.1406317418645553	0	0	0
gene-T7p54	0.0734460612860375	0.2461583527452271	29	5	0.1172328613323409	2.249475264904956	62.31073186198213	104.29272217106316	1720.9926832718934	2031.161346948084	3332.187872488318	3651.291082913039	phage	gene-T7p54	1.4706485053484066	0	0	0
gene-T7p30	0.2570612145011315	0.1846187645589203	30	3	0.2344657226646818	0.9447796112600816	1712.380705053031	2107.711811189701	2621.8231225692098	2180.070472648726	1149.2684309890824	1205.228718862913	phage	gene-T7p30	1.074810030645138	0	0	0
gene-T7p58	0.3305072757871691	0.4000073232109941	58	13	0.4103150146631932	3.55417091854983	231.4642045009819	243.122679762581	3370.473091471113	3409.582744368069	5973.233741940876	6559.589397865738	phage	gene-T7p58	1.4479318421573075	0	0	0
gene-T7p32	0.6977375822173572	0.4000073232109941	31	9	0.2344657226646818	2.249475264904956	1626.327141907267	2071.553109317582	6729.227672767945	6747.599503541926	3524.6374555619973	3836.617276051981	phage	gene-T7p32	1.216831150602536	0	0	0
gene-T7p10	0.1468921225720751	0.0615395881863067	56	10	3.575602270636398	5.308761625175696	1214.0084522207328	1446.023781594436	1665.710144385926	1734.364905329913	1339.7201172400603	1373.8319807844885	phage	gene-T7p10	0.998687676432272	0	0	0
gene-T7p28	0.4773993983592443	0.4615469113973009	26	8	0.2930821533308523	1.3046956536448744	2468.2320349412685	2953.695717681158	3652.144433974604	3637.053322239623	1829.68259673773	1856.2453651277344	phage	gene-T7p28	1.0680348026549498	0	0	0
gene-T7p25	0.4406763677162255	0.4000073232109941	40	7	0.2930821533308523	1.4396641695391716	2918.4370128246505	3543.2933488354174	4680.810739387274	4386.079193638024	2451.7234292318017	2423.725866719887	phage	gene-T7p25	1.0609825926331098	0	0	0
gene-T7p09	0.1101690919290563	0.1846187645589203	9	2	2.2274243653144774	3.779118445040326	687.7468927847581	852.7940655884477	978.001767119302	983.1382128601914	613.224026950412	694.1586683490616	phage	gene-T7p09	1.025184800624687	0	0	0
gene-T7p13	0.0367230306430187	0.0	7	1	0.1172328613323409	0.3149265370866938	47.031254313328354	70.07978004094139	190.4591573884005	158.7735201453139	232.7115473050717	215.39606476453665	phage	gene-T7p13	1.1763541374155788	0	0	0
gene-T7p15	0.0	0.0307697940931533	12	2	0.2344657226646818	0.4498950529809911	117.12372752908584	184.8796048187908	217.95361178364263	216.26997063357985	132.29551569452192	132.13471004144893	phage	gene-T7p15	1.0312563288735637	0	0	0
gene-T7p14	0.0	0.0307697940931533	39	4	0.2930821533308523	0.404905547682892	84.69033838305866	144.86181279170992	189.47149252177533	186.67678729956464	191.49406720195245	192.2744532926372	phage	gene-T7p14	0.9782103908370164	0	0	0
gene-T7p53	0.0734460612860375	0.1538489704657669	31	2	0.1758492919985113	1.3946746642410726	52.99536265016346	100.2390560419018	1572.896340568201	1771.503760908458	2395.304560260304	2561.552654288374	phage	gene-T7p53	1.4087917571792212	0	0	0
gene-T7p56	0.3305072757871691	0.0923093822794601	34	10	0.2344657226646818	1.7995802119239646	231.2370003738644	283.78905837032767	2176.3595740762	2105.046054342438	3062.775829201017	3031.090166708389	phage	gene-T7p56	1.3402014091935228	0	0	0
gene-T7p17	1.6525363789358458	0.8923240287014484	110	23	0.762013598660216	7.063352331801561	1615.3645427738466	2442.836497419728	17040.74251043054	16814.469486775208	14409.005615479911	12885.48957146625	phage	gene-T7p17	1.2978253982552657	0	0	0
gene-T7p18	1.285306072505658	0.6769354700493747	71	16	0.7033971679940455	4.768887561598507	789.0231324473963	1224.9206162454595	11482.511658449474	11328.333460863054	11277.866968910816	12785.780075475375	phage	gene-T7p18	1.3287782568865485	0	0	0
gene-T7p08	0.2570612145011315	0.3076979409315339	23	3	4.337615869296614	7.243310352993958	1604.572346735764	1757.7993509204937	2253.1038035774823	2257.0992101449674	1644.0953549246333	1770.7464351009144	phage	gene-T7p08	1.013780336283024	0	0	0
gene-T7p02	0.0734460612860375	0.1846187645589203	29	20	217.6428070634909	232.4607738752781	1280.3520573390513	1382.1055740698198	603.4098462179109	602.8677720369097	962.6388082250112	1052.798808259542	phage	gene-T7p02	0.9428873240516884	0	0	0
gene-T7p21	0.3305072757871691	0.0923093822794601	33	2	0.1172328613323409	0.8997901059619823	1439.5085483848798	1777.7433882759674	1923.1703508345768	1926.229342297592	1051.2411890578492	1068.579602506917	phage	gene-T7p21	1.0490573285509304	0	0	0
gene-T7p46	0.0734460612860375	0.1538489704657669	41	10	0.1758492919985113	2.2944647702030547	342.9646298839089	410.2634416001617	3416.199305431356	3614.180503248392	3270.470233682699	3708.054835355088	phage	gene-T7p46	1.3054454190164253	0	0	0
gene-T7p34	0.7711836435033947	0.3076979409315339	31	3	0.0	1.7096012013277664	1141.3031315431238	1528.5239946551278	6360.268110970821	6003.918483316735	3361.374539115606	3545.810997980961	phage	gene-T7p34	1.2585579376009823	0	0	0
gene-T7p27	0.550845459645282	0.4000073232109941	24	4	0.1172328613323409	1.7995802119239646	3548.417256289777	3998.6335577918535	7490.797365871107	7280.787708445757	3513.7793206560123	3491.245565135562	phage	gene-T7p27	1.1222096562867236	0	0	0
gene-T7p57	1.615813348292827	1.3846407341919027	295	69	3.048054394640864	19.75039282586551	1129.4885169330123	1241.6541500266376	17569.757167911037	17575.5605736896	34748.290191212625	36461.05404007372	phage	gene-T7p57	1.477236924305884	0	0	0
gene-T7p22	1.285306072505658	1.4154105282850562	125	17	0.8206300293263864	4.453961024511813	11372.191373581863	12878.043281739136	15406.851190936974	14852.712604326289	6476.13911824648	6493.0902300671005	phage	gene-T7p22	1.0939507829657222	0	0	0
gene-T7p51	1.0282448580045265	1.230791763726136	381	101	3.341136547971716	15.926284875527086	818.2188627819987	1354.1514924431233	12445.72514621444	13979.22244126942	24600.624768395985	24281.853150445186	phage	gene-T7p51	1.43321736681281	0	0	0
gene-T7p20	0.6242915209313196	0.3076979409315339	59	20	0.1758492919985113	3.644149929146028	668.2073378526507	1069.4219835308302	8760.987771641205	8062.472192527513	6437.049832584933	5973.933503894146	phage	gene-T7p20	1.320300121710408	0	0	0
gene-T7p03	0.1836151532150939	0.4307771173041475	124	33	821.2748100637143	996.5625318581936	6038.744892593225	6244.526739992407	1368.5831814020037	1418.782883852965	1353.1842045234816	1354.675195727974	phage	gene-T7p03	1.2667273579370577	0	0	0
gene-T7p40	0.6610145515743383	0.5230864995836078	48	4	0.4103150146631932	2.969307349674541	2357.867630193929	3026.5968493479954	7539.806898171752	8406.193283416353	4747.43717613441	5052.484291534393	phage	gene-T7p40	1.1609821237719882	0	0	0
gene-T7p23	0.0367230306430187	0.0923093822794601	9	1	0.0586164306661704	0.7198320847695858	1264.2205643137067	1538.5446573264146	1587.4977644072276	1516.483619269116	699.0901577869419	669.5845957150904	phage	gene-T7p23	1.0943224553589652	0	0	0
gene-T7p29	1.4689212257207518	0.6769354700493747	159	27	1.2895614746557502	4.948845582790903	9223.862749622074	10204.018097641076	16527.957589136753	16108.674029277758	7990.02371937854	8344.114586152793	phage	gene-T7p29	1.0869970683141028	0	0	0
gene-T7p01	0.1101690919290563	0.4000073232109941	111	70	595.4257027069596	635.8366783780348	3376.6509361889257	3576.7279870687403	1402.4307233177	1812.3368518567208	2422.0155721290266	1887.492907965819	phage	gene-T7p01	0.9404040040341488	0	0	0
gene-T7p12	0.0367230306430187	0.0	6	2	0.1758492919985113	0.3149265370866938	40.328732563361264	63.62634356331652	169.37117780370028	149.4593309684725	212.9931743158029	196.90662672843368	phage	gene-T7p12	1.178549051698896	0	0	0
gene-T7p24	1.2118600112196205	1.323101146005596	119	16	0.762013598660216	3.6891394344441273	10318.929841296782	11721.613408411986	14150.781723395112	13610.89931483331	5859.397055586528	5908.6905187221655	phage	gene-T7p24	1.0960622814127987	0	0	0
gene-T7p44	12.706168602484505	8.554002757896644	739	382	11.840518994566432	99.83171225648194	8204.057025055048	9240.769737365245	130039.2663518596	133686.32145294748	179566.57973788638	185016.3870986433	phage	gene-T7p44	1.380947325025058	0	0	0
gene-T7p06	0.0367230306430187	0.0615395881863067	17	3	152.9888840387049	192.1051876228832	851.6746705000547	955.4653213078464	220.88991273847435	218.2349894472595	186.4993251451993	205.5428822866984	phage	gene-T7p06	1.22090679849375	0	0	0
gene-T7p11	0.0	0.0	8	2	0.1758492919985113	0.2249475264904955	10.110583656730007	14.366192761747817	39.26635185961278	36.31354767679952	45.039543590026014	55.97863830038805	phage	gene-T7p11	1.1197145501981207	0	0	0
gene-T7p35	2.386996991796222	1.4461803223782097	125	18	0.762013598660216	7.288299858292056	4742.488546355947	5661.739267935138	23876.79815066427	23040.71019867165	15042.860098751698	13753.98283497101	phage	gene-T7p35	1.238066590356785	0	0	0
gene-T7p31	1.2485830418626391	0.5230864995836078	51	13	0.4689314453293637	3.7341289397422255	2706.057955001541	3403.6526580180675	11502.345036717108	11388.22723430401	5660.953782044745	6008.9495946122015	phage	gene-T7p31	1.2343777821999893	0	0	0
gene-T7p16	0.1468921225720751	0.1846187645589203	12	0	0.0586164306661704	0.8098110953657841	197.72439162402893	341.9997039850846	1788.58099252311	1539.1992367552523	1141.7546016341407	1038.5882422954885	phage	gene-T7p16	1.2837640777793415	0	0	0
gene-T7p50	2.570612145011316	1.3538709400987494	242	61	2.3446572266468184	17.590896571556755	1434.3964555247353	2174.4837996692468	20209.731969110115	21095.26297237628	29270.40456368279	28136.09623897744	phage	gene-T7p50	1.3627738750065108	0	0	0
gene-T7p59	0.2937842451441503	0.2769281468383806	52	8	0.8206300293263864	3.869097455636524	171.25511081483694	201.5807092709355	3122.889533688715	2998.0685044072816	7056.3544150826965	7251.9030479818975	phage	gene-T7p59	1.5296793829226885	0	0	0
gene-T7p60	0.550845459645282	0.5538562936767611	71	24	1.1137121826572387	6.928383815907264	96.334549897832	109.12469219702348	3105.164953379549	2773.2310517460587	14378.733135362028	15448.376919795448	phage	gene-T7p60	1.811413813632535	0	0	0
gene-T7p04	0.0	0.0923093822794601	25	8	114.18480693770006	123.45120253798396	630.2642486240234	634.8365451557004	152.47410049089612	141.4813545849332	122.4363291998875	142.8515180751137	phage	gene-T7p04	1.21739774412957	0	0	0
gene-T7p45	10.576232825189413	7.200131817797894	624	304	9.730327490584296	80.57620398889551	7220.092751540813	8327.689549103907	115250.18618817418	116427.01100713148	146721.37313537594	151493.8190122691	phage	gene-T7p45	1.3676779679787043	0	0	0
