Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	30_T	60_T	classification
gene-VPVV882_gp17	phage	gene-VPVV882_gp17	0.7119777626451016	0	0	0	124.10673556475331	850.464169444493	1604.5964436136528	late
gene-VPVV882_gp16	phage	gene-VPVV882_gp16	0.753744817223549	0	0	0	272.35207106476474	1913.0786358654493	4116.494535385316	late
gene-VPVV882_gp71	phage	gene-VPVV882_gp71	0.8593393737221533	0	0	0	238.54984776799486	6190.205480074419	15021.851865222257	late
gene-VPVV882_gp11	phage	gene-VPVV882_gp11	0.8113445611803308	0	0	0	164.88248077584643	992.0808174565145	2521.955066688798	late
gene-VPVV882_gp69	phage	gene-VPVV882_gp69	0.916547599288279	0	0	0	105.66357782910414	1473.5143463055938	4445.595355889994	late
gene-VPVV882_gp37	phage	gene-VPVV882_gp37	0.9624897026905048	0	0	0	204.85158114292526	1568.0467490908093	6094.178851695372	late
gene-VPVV882_gp14	phage	gene-VPVV882_gp14	0.8283129121346992	0	0	0	166.56485430339092	1408.7582346714337	3543.2700812684375	late
gene-VPVV882_gp23	phage	gene-VPVV882_gp23	0.807137452837949	0	0	0	67.01101632193298	245.4120802379714	727.3766614673983	late
gene-VPVV882_gp13	phage	gene-VPVV882_gp13	0.9102142434978504	0	0	0	24.000817764872142	219.17582048442728	622.6140270984391	late
gene-VPVV882_gp25	phage	gene-VPVV882_gp25	0.935511880919048	0	0	0	153.7436176199379	2205.882699759533	7096.735405522241	late
gene-VPVV882_gp27	phage	gene-VPVV882_gp27	1.0163384393648325	0	0	0	12.535955460907362	163.00644123283644	608.713759313075	late
gene-VPVV882_gp65	phage	gene-VPVV882_gp65	0.5802947828958152	0	0	0	123.52154409496171	472.05700159224506	734.3572039604884	late
gene-VPVV882_gp58	phage	gene-VPVV882_gp58	0.9543468331762772	0	0	0	247.4914934833448	2563.722438974445	8024.106867182284	late
gene-VPVV882_gp47	phage	gene-VPVV882_gp47	0.993738236987433	0	0	0	76.12106565883629	321.9188374257755	1478.2329721727665	late
gene-VPVV882_gp26	phage	gene-VPVV882_gp26	0.8543284577958036	0	0	0	67.72413926150647	622.6236496467076	1713.9030661307886	late
gene-VPVV882_gp42	phage	gene-VPVV882_gp42	0.8798720762469708	0	0	0	34.240783468136264	883.9996479565643	2189.268904268267	late
gene-VPVV882_gp53	phage	gene-VPVV882_gp53	1.1456260424778806	0	0	0	90.99866196437078	436.0562932942225	2797.00583017576	late
gene-VPVV882_gp51	phage	gene-VPVV882_gp51	0.8972630505324627	0	0	0	43.76207857001441	169.9024023060942	541.0294323248088	late
gene-VPVV882_gp10	phage	gene-VPVV882_gp10	0.8402743514967813	0	0	0	39.3084271032879	265.02150528224286	714.5401740581082	late
gene-VPVV882_gp43	phage	gene-VPVV882_gp43	0.983030066209782	0	0	0	53.672416907102935	345.3665242353163	1401.4254262244874	late
gene-VPVV882_gp08	phage	gene-VPVV882_gp08	0.8414585218556787	0	0	0	78.49954576632742	512.9230582612782	1430.3265938228467	late
gene-VPVV882_gp18	phage	gene-VPVV882_gp18	0.7143059759976634	0	0	0	89.78144150526566	757.4934339565611	1368.7059624335423	late
gene-VPVV882_gp70	phage	gene-VPVV882_gp70	0.7613771139345287	0	0	0	197.61752611042547	2529.796916681141	4869.6035311136475	late
gene-VPVV882_gp61	phage	gene-VPVV882_gp61	0.7805296158975986	0	0	0	22.875240267191057	546.7708754982528	942.0318689636443	late
gene-VPVV882_gp63	phage	gene-VPVV882_gp63	0.8120181865599837	0	0	0	184.46160626079055	1974.0676120482938	4381.116309429504	late
gene-VPVV882_gp40	phage	gene-VPVV882_gp40	1.0185565302637491	0	0	0	113.48617276140969	1578.4917645118376	6859.772631596893	late
gene-VPVV882_gp67	phage	gene-VPVV882_gp67	0.3850103188925845	0	0	0	49.58515013710334	106.3682287582718	131.2730993280558	late
gene-VPVV882_gp39	phage	gene-VPVV882_gp39	1.009327081998299	0	0	0	71.60016321638524	475.30764658643625	2070.6818407191076	late
gene-VPVV882_gp41	phage	gene-VPVV882_gp41	0.9670359576657426	0	0	0	76.20026320501584	1963.754969455162	6860.402074937537	late
gene-VPVV882_gp19	phage	J	0.8568984511505432	0	0	0	355.8337070530361	3022.6736587509827	8386.454663978266	late
gene-VPVV882_gp32	phage	gene-VPVV882_gp32	0.7495908216151314	0	0	0	90.49678347309515	346.79251633951645	811.3786341337831	late
gene-VPVV882_gp38	phage	gene-VPVV882_gp38	1.0320695049987112	0	0	0	49.59248362932261	373.8225916951333	1746.0742188752793	late
gene-VPVV882_gp22	phage	gene-VPVV882_gp22	0.8559545464275473	0	0	0	97.3119431337344	498.1305810542565	1540.3783643770046	late
gene-VPVV882_gp46	phage	gene-VPVV882_gp46	1.0456095746985428	0	0	0	83.67115811483957	488.2137344816608	2412.6021004521167	late
gene-VPVV882_gp21	phage	gene-VPVV882_gp21	0.8564547993802397	0	0	0	93.5693394409491	888.5284368188298	2419.808953058028	late
gene-VPVV882_gp02	phage	gene-VPVV882_gp02	0.8295974528917243	0	0	0	77.63620710043888	1685.4213550651714	3332.1314332286315	late
gene-VPVV882_gp68	phage	gene-VPVV882_gp68	0.5343703486164859	0	0	0	357.6384413489372	1183.3947988519496	1574.6559818501657	late
gene-VPVV882_gp20	phage	gene-VPVV882_gp20	0.903551542973303	0	0	0	104.65363328619532	929.1744209842142	2902.540717991819	late
gene-VPVV882_gp55	phage	gene-VPVV882_gp55	0.6423498184650188	0	0	0	36.77497364960421	294.63409202023615	421.773880567787	late
gene-VPVV882_gp50	phage	gene-VPVV882_gp50	1.141942834030391	0	0	0	16.971854542439818	69.32242283683581	482.9583199156895	late
gene-VPVV882_gp56	phage	gene-VPVV882_gp56	0.6185556757856022	0	0	0	223.229496261839	668.3242825060954	1229.8090801992919	late
gene-VPVV882_gp66	phage	gene-VPVV882_gp66	0.4473926582151883	0	0	0	38.32901112767948	76.67996858542865	115.48902408376335	late
gene-VPVV882_gp33	phage	gene-VPVV882_gp33	0.8550575570602231	0	0	0	77.31008318399954	182.02857033278224	678.1021316555685	late
gene-VPVV882_gp45	phage	gene-VPVV882_gp45	0.9979308620231528	0	0	0	69.71859587516236	436.97905067678516	1861.322509803421	late
gene-VPVV882_gp60	phage	gene-VPVV882_gp60	0.7514798944644272	0	0	0	75.43428369777739	3755.044092483191	5751.546166741625	late
gene-VPVV882_gp24	phage	gene-VPVV882_gp24	0.9022051986219572	0	0	0	164.52451055847735	1119.4870914425803	3710.9830810149538	late
gene-VPVV882_gp28	phage	FI	0.9116475585805104	0	0	0	297.1075998070486	1226.6746423563989	4358.591984901641	late
gene-VPVV882_gp34	phage	gene-VPVV882_gp34	0.8400172345956206	0	0	0	56.21734069177801	126.71786456376776	465.0358187743336	late
gene-VPVV882_gp15	phage	gene-VPVV882_gp15	0.7726222010269261	0	0	0	310.82323397952194	2550.192790112154	5497.618232351332	late
gene-VPVV882_gp12	phage	gene-VPVV882_gp12	0.8977061348275381	0	0	0	41.122686209263364	310.5197485998935	938.7566309365935	late
gene-VPVV882_gp54	phage	gene-VPVV882_gp54	0.8870128472584273	0	0	0	102.06093623871855	567.9043909532829	1707.048208732643	late
gene-VPVV882_gp06	phage	gene-VPVV882_gp06	0.7965099009135774	0	0	0	344.8270108968408	3447.3382911854965	7545.287069699323	late
gene-VPVV882_gp29	phage	gene-VPVV882_gp29	0.7738090132946727	0	0	0	179.38524298316906	496.1235732976363	1437.1580662063297	late
