Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b1992	717	773	434	525	324	399	278	282	158	234	191	302	host	cobS	0.4906239086499809	0	1
gene-b4378	1896	2270	1226	1250	966	1428	519	594	544	647	606	866	host	yjjV	0.5101954100267568	0	1
gene-b3041	4074	4785	4456	5066	4555	5865	2856	3728	1096	1443	1107	1540	host	ribB	0.48246171401727006	0	1
gene-b1515	29	38	14	28	12	11	25	23	19	12	10	48	host	lsrD	0.5091037010329964	0	1
gene-b3249	1812	1679	1276	1299	1420	1280	1219	1087	337	428	309	485	host	mreD	0.48073290063192764	0	1
gene-b3704	7207	5731	8621	11075	8431	8589	11396	10433	1947	1984	1117	1600	host	rnpA	0.5749510837554305	0	1
gene-b0453	7088	6988	4292	5124	3247	3868	1613	1806	1043	1128	2041	3394	host	ybaY	0.5808242717158957	0	1
gene-b3553	715	793	578	715	429	503	388	392	198	229	167	484	host	ghrB	0.4272403313978501	0	1
gene-b4345	236	228	147	170	148	143	227	254	94	78	85	82	host	mcrC	0.397569820561444	0	1
gene-b2182	3167	3376	2881	3097	3272	3586	1987	2172	592	671	580	742	host	bcr	0.5365281111890802	0	1
gene-b3737	21128	17512	16824	16251	16977	16969	15729	16362	6764	7460	4180	6794	host	atpE	0.3941724722802138	0	1
gene-b4017	260	300	290	473	170	240	125	164	70	62	68	115	host	arpA	0.6037694536986753	0	1
gene-b2059	31	36	25	23	16	20	34	18	30	17	16	39	host	wcaA	0.31329923326960213	0	1
gene-b2558	559	583	740	937	615	745	607	617	222	243	163	247	host	mltF	0.4522603944742672	0	1
gene-b2302	190	272	132	162	72	96	51	48	48	36	82	164	host	yfcG	0.6151478343013175	0	1
gene-b2898	4224	4070	2364	2377	2054	1810	1636	1643	1089	1313	1062	1732	host	ygfZ	0.4709681472789558	0	1
gene-b1085	3704	3929	2524	3100	2345	2756	2627	2832	1135	1368	1004	1091	host	yceQ	0.40847907390933597	0	1
gene-b0183	1190	1039	1086	981	1346	1573	755	806	316	338	236	377	host	rnhB	0.5057451615322797	0	1
gene-b1307	136	106	74	83	65	85	75	86	53	56	36	66	host	pspD	0.32526024339508763	0	1
gene-b4547	931	908	676	777	581	683	512	502	182	225	253	297	host	ypfN	0.46144910641875053	0	1
gene-b0472	2738	2460	2171	1929	2305	2978	1562	1877	709	798	462	953	host	recR	0.463184987106264	0	1
gene-b0171	13590	11114	9445	8040	11065	13297	10096	9844	7869	8869	4336	4581	host	pyrH	0.29699145335946714	0	1
gene-b0010	592	647	804	1072	957	1277	773	915	529	583	419	567	host	satP	0.31925197005850015	0	1
gene-b3833	5475	5672	3935	3917	3656	4282	2619	2837	1611	1852	1461	1778	host	ubiE	0.4298749196695663	0	1
gene-b3471	154	148	926	1211	474	666	194	202	49	59	41	74	host	yhhQ	1.0634018197704522	0	1
gene-b3869	1796	1737	1196	1238	271	362	547	520	255	307	291	723	host	glnL	0.7137786541869202	0	1
gene-b2546	112	97	77	97	37	75	61	42	48	28	32	74	host	yphD	0.4132423390327167	0	1
gene-b3132	51	96	40	47	44	47	55	48	37	18	31	102	host	kbaZ	0.45466139523208576	0	1
gene-b4738	1	3	4	14	0	3	32	28	2	0	3	1	host	ymgK	1.4053480063525414	0	1
gene-b1087	543	673	407	506	387	449	333	347	157	172	148	244	host	yceF	0.4340760378549158	0	1
gene-b4102	47	52	23	30	28	26	32	21	31	16	24	60	host	phnF	0.39573664863016356	0	1
gene-b2277	7208	6214	4744	5092	5883	5785	4342	5220	2391	2925	1460	3275	host	nuoM	0.36173410677146633	0	1
gene-b1053	89	99	83	117	59	73	64	63	28	32	28	65	host	mdtG	0.40292679235811557	0	1
gene-b0633	1895	2167	1341	1589	1374	1466	1404	1468	607	719	469	870	host	rlpA	0.38724817328314176	0	1
gene-b0160	1022	1014	536	625	354	414	411	445	313	392	419	588	host	dgt	0.42104489178081905	0	1
gene-b4514	12	15	12	19	11	16	6	8	6	5	4	8	host	ybfQ	0.4504469398043963	0	1
gene-b1671	40	51	23	56	30	30	31	28	15	20	5	34	host	ydhX	0.45127801328525324	0	1
gene-b3051	71	88	53	89	47	60	78	64	45	34	35	99	host	yqiK	0.32729469159004926	0	1
gene-b1955	391	501	285	358	144	200	104	103	84	85	133	260	host	yedP	0.6004555473171215	0	1
gene-b0382	629	676	336	629	249	279	251	274	121	200	200	297	host	iraP	0.5243781638247426	0	1
gene-b3427	202	217	247	393	178	231	349	293	71	71	73	123	host	yzgL	0.5046758488557785	0	1
gene-b3260	13109	11397	19479	16181	23063	26764	12727	14535	4897	5479	2813	4668	host	dusB	0.566382752492975	0	1
gene-b3492	1885	1855	2938	3389	3095	3817	1847	2156	605	660	381	656	host	yhiN	0.586073319590274	0	1
gene-b4807	20	17	11	19	8	13	12	13	11	8	8	20	host	malH	0.33024612034057266	0	1
gene-b0506	5273	5905	3526	4893	2957	3486	2612	2759	1198	1660	1606	1757	host	allR	0.47137003717022136	0	1
gene-b4517	142	136	117	173	80	85	111	86	43	58	62	96	host	gnsA	0.3694802035742211	0	1
gene-b0608	171	173	93	134	93	108	99	86	51	33	60	103	host	ybdR	0.41076614025219066	0	1
gene-b1115	50	52	41	65	24	28	32	36	20	15	19	34	host	ycfT	0.41724565295667565	0	1
gene-b2248	16	32	12	20	5	15	24	19	14	7	6	22	host	yfaX	0.47871355387816905	0	1
gene-b4550	594	580	622	1094	405	554	659	760	205	204	277	284	host	arfA	0.4822308826454027	0	1
gene-b0550	11	16	2	18	5	5	11	3	13	8	4	32	host	rusA	0.761949083764788	0	1
gene-b4200	15056	12207	15386	16565	14985	21313	15348	16116	3706	4092	2494	4128	host	rpsF	0.5188838654709177	0	1
gene-b1080	85	82	56	61	48	85	42	48	23	35	34	50	host	flgI	0.3664298177316635	0	1
gene-b0567	128	128	82	105	50	97	73	68	49	36	41	68	host	ybcH	0.39418268022681596	0	1
gene-b0965	1190	1306	713	1044	711	868	567	590	273	290	245	485	host	yccU	0.49250919370342755	0	1
gene-b0564	96	113	64	191	34	76	81	123	18	33	42	62	host	appY	0.5948031610064419	0	1
gene-b0746	38205	30542	42392	52519	38541	52903	28226	35159	10314	10185	6853	6556	host	valZ	0.5574925958420461	0	1
gene-b0335	189	212	127	138	90	163	126	126	78	67	71	143	host	prpE	0.3452094294381461	0	1
gene-b1431	833	930	681	801	542	718	355	425	163	202	212	314	host	ydcL	0.5055612942803509	0	1
gene-b1409	13	13	5	16	2	13	13	9	10	9	14	16	host	ynbB	0.3691874796147644	0	1
gene-b0387	1005	1138	798	1133	783	1035	638	748	301	290	256	315	host	yaiI	0.4643133791315571	0	1
gene-b2428	258	313	131	184	132	217	100	133	73	117	88	132	host	murQ	0.44434987499303885	0	1
gene-b2723	59	70	35	58	31	40	34	38	46	23	34	103	host	hycC	0.4446094833619692	0	1
gene-b0951	4264	3998	3373	3410	3676	4478	2914	3280	1223	1343	1098	1101	host	pqiB	0.4358754902078128	0	1
gene-b4478	188	197	105	123	58	79	80	81	85	85	101	154	host	dgoD	0.3889220404456505	0	1
gene-b0278	114	108	115	140	72	102	110	131	45	44	65	52	host	yagL	0.35633834670025794	0	1
gene-b2439	165	163	113	100	109	95	79	75	54	73	45	81	host	eutL	0.3752651454613766	0	1
gene-b0639	169	182	147	162	101	143	139	135	47	48	50	105	host	nadD	0.38994977154722366	0	1
gene-b4816	13	17	31	22	18	13	16	7	5	3	2	9	host	ymgN	0.6249260311258431	0	1
gene-b0197	13360	12594	8775	9338	8012	11038	5261	6651	2925	3782	2973	3216	host	metQ	0.49373489757978073	0	1
gene-b2649	32	41	22	44	19	28	39	39	6	8	9	8	host	ypjB	0.5637625477844382	0	1
gene-b0574	71	69	49	84	49	78	48	46	27	25	30	65	host	cusB	0.35859384121550847	0	1
gene-b3167	5429	4573	4336	4057	8435	10164	7194	8712	1446	1548	983	1113	host	rbfA	0.6383974405771674	0	1
gene-b2123	62	65	61	98	69	80	51	46	19	17	21	25	host	yehR	0.4909282174620046	0	1
gene-b0482	281	384	201	280	150	220	202	248	118	161	141	229	host	ybaP	0.32648226948340325	0	1
gene-b1463	488	485	276	301	212	218	183	146	89	120	174	202	host	nhoA	0.51189343104627	0	1
gene-b3012	253	267	173	216	109	116	70	66	43	50	71	196	host	dkgA	0.5737045965748664	0	1
gene-b2071	32	53	21	58	29	31	40	35	17	12	16	17	host	yegJ	0.468422608855456	0	1
gene-b4381	297	298	197	225	220	203	165	150	74	80	84	185	host	deoC	0.4012057252754908	0	1
gene-b0144	764	908	822	979	726	998	439	558	173	165	160	270	host	gluQ	0.5418710612883066	0	1
gene-b0475	1483	1458	938	875	912	1088	591	630	394	374	462	504	host	hemH	0.45683040359186816	0	1
gene-b0920	526	507	346	367	284	389	277	277	159	146	144	186	host	elyC	0.4192629977131533	0	1
gene-b1595	93	124	73	65	83	60	50	47	29	25	28	77	host	ynfL	0.44967058155037753	0	1
gene-b3220	107	132	110	178	100	125	104	91	52	39	40	81	host	yhcG	0.39904414330953275	0	1
gene-b0292	16	22	11	26	12	23	19	20	21	20	14	43	host	ecpB	0.38990607862870896	0	1
gene-b1869	902	969	708	1039	487	653	778	799	201	330	274	399	host	yecN	0.4329501908675379	0	1
gene-b3434	980	955	905	970	969	1174	820	871	363	343	212	292	host	yhgN	0.43346886130713785	0	1
gene-b4299	9	16	11	11	9	5	15	16	9	7	5	19	host	yjhI	0.3979977435322333	0	1
gene-b3631	1880	2047	1779	1998	1749	2216	1284	1417	397	423	376	566	host	waaG	0.5090229479058216	0	1
gene-b3533	658	663	717	763	493	548	326	314	209	203	212	358	host	bcsA	0.44246284929424307	0	1
gene-b2178	284	300	172	250	117	154	157	124	85	105	65	149	host	yejB	0.4468705118962919	0	1
gene-b2524	1405	1107	1041	963	1011	842	910	820	397	493	298	506	host	iscX	0.38680004222956355	0	1
gene-b2395	786	782	1245	1522	1244	1530	606	644	199	203	149	277	host	pdeA	0.6435089099783625	0	1
gene-b1074	22	37	16	31	17	19	28	25	12	13	12	30	host	flgC	0.3658551745441759	0	1
gene-b0275	155	195	165	293	185	214	132	159	49	51	49	74	host	insA3	0.5088508222089941	0	1
gene-b0346	1218	1341	571	662	509	679	364	446	302	335	426	483	host	mhpR	0.5239307041293423	0	1
gene-b0718	43	52	32	56	27	35	54	50	42	17	30	90	host	ybgQ	0.4099317957111722	0	1
gene-b4838	4267	3493	4027	4900	3312	3532	4679	4760	1636	1665	1227	1398	host	fimR2	0.4126095522263424	0	1
gene-b1478	1015	900	870	902	880	985	616	609	257	267	226	406	host	adhP	0.4398387791444619	0	1
gene-b3456	4442	5895	3113	3772	2205	2869	1246	1298	1267	1535	1687	2456	host	livM	0.5269819651015092	0	1
gene-b0943	126	122	91	110	74	81	57	74	38	34	36	52	host	ycbV	0.41956906589368387	0	1
gene-b0340	88	93	65	51	77	70	43	55	37	34	30	51	host	cynS	0.3462413395586629	0	1
gene-b2215	356088	364358	216108	233325	246122	297322	187498	229327	123216	144522	110912	113020	host	ompC	0.3868780507168316	0	1
gene-b2367	56	47	41	57	36	44	48	50	21	18	16	52	host	emrY	0.34575249072090486	0	1
gene-b3165	54138	53635	59106	68578	62790	78155	74262	89810	20525	23252	14989	13392	host	rpsO	0.49698197933812577	0	1
gene-b2552	468	579	280	342	232	333	248	322	164	191	158	247	host	hmp	0.40119179133578065	0	1
gene-b3951	300	297	179	205	154	218	154	177	111	115	106	192	host	pflD	0.33624720807783465	0	1
gene-b2049	121	135	73	86	74	110	71	62	41	30	72	87	host	cpsB	0.3648456143377792	0	1
gene-b0665	14370	13267	19279	20309	18706	19032	14857	16574	7626	8917	7642	9800	host	glnV	0.3196872441881196	0	1
gene-b2197	199	199	146	177	116	183	109	104	56	55	52	80	host	ccmE	0.44036481109864467	0	1
gene-b3131	2988	2925	1656	2051	1630	1724	1874	1781	869	1146	1079	1122	host	agaR	0.372626912809979	0	1
gene-b2072	35	44	23	26	13	25	32	31	27	15	9	34	host	pphC	0.3691521052443847	0	1
gene-b0106	176	206	161	199	145	183	177	135	74	84	58	107	host	hofC	0.3405493955851517	0	1
gene-b3555	1211	1358	612	1164	391	702	270	272	152	142	430	485	host	yiaG	0.6796256494035401	0	1
gene-b4566	259	280	124	220	114	154	169	160	81	70	102	74	host	topAI	0.4510842253120691	0	1
gene-b1492	1467	1686	1448	1621	1264	1561	585	702	255	263	382	1027	host	gadC	0.520626117201606	0	1
gene-b4101	41	22	20	19	22	20	22	20	31	7	9	46	host	phnG	0.46692756527746376	0	1
gene-b0224	4094	4389	3899	4363	3505	4167	2297	2606	830	1007	818	1178	host	dpaA	0.5134279721676658	0	1
gene-b1620	444	464	310	372	276	402	231	289	99	161	137	155	host	malI	0.4282094501687368	0	1
gene-b2964	292	328	230	221	183	206	211	186	111	105	82	166	host	nupG	0.36048501661118026	0	1
gene-b4610	31	22	12	21	10	16	19	23	6	8	13	16	host	ygdT	0.41868172933200204	0	1
gene-b4096	83	93	39	65	54	45	71	83	44	32	27	79	host	phnL	0.35874875603883455	0	1
gene-b3090	185	200	105	124	87	120	97	106	70	65	75	90	host	ygjV	0.3700937172323667	0	1
gene-b2474	3130	3182	1881	1941	1269	1462	1616	1642	867	914	737	1007	host	tmcA	0.4749554656444785	0	1
gene-b3834	4174	4152	2908	2889	2945	3425	1946	2088	1137	1294	961	1356	host	ubiJ	0.44786082909134256	0	1
gene-b2993	527	556	354	343	301	393	252	331	184	223	192	292	host	hybD	0.345184477740225	0	1
gene-b0046	305	327	176	225	178	214	183	141	67	83	85	153	host	kefF	0.44052435768303716	0	1
gene-b1717	123033	109849	116420	97092	114923	142005	115662	140036	60855	73350	40559	41938	host	rpmI	0.3466047160031747	0	1
gene-b4419	706	734	608	653	496	648	462	481	191	245	165	220	host	ldrA	0.4342462055180708	0	1
gene-b3620	5367	5118	3202	3167	3894	3527	2809	2694	1753	1855	1365	1802	host	waaF	0.40555680684765333	0	1
gene-b2271	13	21	10	14	3	7	12	7	10	4	3	28	host	yfbL	0.6502807192083314	0	1
