Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b1400	966	1025	837	659	358	453	275	454	274	142	204	239	host	paaY	0.6003719788333561	0	1
gene-b3053	5448	6026	4927	4221	1595	2549	1114	1841	1437	1031	976	1180	host	glnE	0.6777475506124057	0	1
gene-b3349	43333	48811	41470	35824	22846	29300	17810	31641	18483	11698	8222	7888	host	slyD	0.5095968088139808	0	1
gene-b3428	6375	7532	7057	6131	3104	5212	1433	2922	1159	839	1104	1264	host	glgP	0.6784829516226135	0	1
gene-b3222	695	823	674	583	256	408	130	280	153	112	159	173	host	nanK	0.6637604868779391	0	1
gene-b2214	609	736	1170	914	629	1009	359	601	256	153	110	140	host	ftp	0.6165553649217269	0	1
gene-b0789	1424	1690	1088	1005	314	525	140	242	145	78	255	274	host	clsB	0.8897801022960872	0	1
gene-b0282	35	62	42	37	16	23	22	30	24	10	16	30	host	yagP	0.46492465904093	0	1
gene-b0408	26583	26703	28912	23044	16889	23712	13734	25894	8506	5685	3764	3782	host	secD	0.541329476122542	0	1
gene-b2689	1578	1720	1633	1252	839	1049	604	1081	546	346	295	368	host	yqaA	0.5303772300144234	0	1
gene-b3899	70	116	85	40	35	32	36	33	44	17	18	56	host	frvB	0.5731624999553665	0	1
gene-b2811	1082	1217	1225	1052	630	836	432	743	387	255	208	203	host	csdE	0.5450970409416775	0	1
gene-b0687	3312	4513	3631	2871	1605	2320	1218	2208	1293	803	731	830	host	seqA	0.5659431892331167	0	1
gene-b2493	1406	1333	1166	1040	542	710	464	765	574	394	256	275	host	yfgO	0.5180063869805693	0	1
gene-b1765	4650	5373	3875	3276	1627	2193	1188	2187	1395	923	827	916	host	ydjA	0.6314393037777001	0	1
gene-b3013	85	169	148	110	54	78	56	75	52	32	34	51	host	yqhG	0.5289147284798116	0	1
gene-b2389	496	555	503	466	199	293	210	399	218	185	137	161	host	yfeO	0.46400679148218715	0	1
gene-b0341	149	171	152	99	65	113	72	100	70	46	27	70	host	cynX	0.45316670108866036	0	1
gene-b2936	2286	2323	2020	1526	1059	1359	917	1454	1139	681	715	762	host	loiP	0.41724281662766066	0	1
gene-b1846	475	592	436	376	203	304	155	254	202	112	110	126	host	yebE	0.5466510566353813	0	1
gene-b3842	540	689	749	601	389	559	299	510	269	146	114	124	host	rfaH	0.5148008985520798	0	1
gene-b2449	309	394	216	163	90	134	76	133	94	79	71	112	host	yffR	0.6262376583829448	0	1
gene-b2270	124	168	148	92	71	57	54	88	55	28	32	60	host	yfbK	0.5235922278277073	0	1
gene-b3671	1409	1526	1911	1696	939	1539	499	1164	286	216	193	244	host	ilvB	0.6438298221684658	0	1
