Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b0629	207	24	137	26	74	10	49	1	49	2	107	3	host	ybeF	1.0683281870160088	0	1
gene-b2919	62	13	72	12	40	6	34	3	41	4	92	0	host	scpB	0.9291008908672374	0	1
gene-b4301	79	18	105	27	29	11	40	3	43	1	124	2	host	sgcE	0.9843649543685818	0	1
gene-b3294	28317	13958	60525	21303	15991	13039	9417	3917	10539	2748	6566	2970	host	rplQ	0.9732331316644425	0	1
gene-b1834	1445	362	1606	593	277	158	170	44	211	34	321	29	host	letB	1.1683195909795685	0	1
gene-b2189	6338	142	1547	71	947	64	413	17	1165	25	1125	30	host	proL	1.7125220154421568	0	1
gene-b0801	1228	477	1345	596	390	413	134	93	129	32	213	38	host	hcxB	0.999740847664842	0	1
gene-b2489	134	7	73	19	73	4	80	7	90	1	155	2	host	hyfI	0.9749004377524075	0	1
gene-b0606	2872	1440	4437	1277	617	473	10261	124	229	73	276	97	host	ahpF	1.5361811690957556	0	1
gene-b2214	439	34	371	124	109	57	56	28	74	7	170	11	host	ftp	1.0927328177358375	0	1
gene-b0817	386	313	203	224	76	84	50	27	39	16	74	11	host	mntR	0.9601171869357157	0	1
gene-b4769	113	13	92	32	26	21	7	3	9	0	17	0	host	ybiE	1.2625583206222324	0	1
gene-b0039	199	45	194	58	92	27	70	6	95	3	180	3	host	caiA	0.8690779301720224	0	1
gene-b4392	1287	306	1011	313	187	69	156	36	177	18	379	21	host	slt	1.17506227488685	0	1
gene-b3607	2019	583	2126	1163	561	537	301	140	239	65	283	76	host	cysE	1.0211295131056835	0	1
gene-b4814	171	26	130	49	32	37	25	6	11	0	27	0	host	zbiJ	1.1886315699191499	0	1
gene-b0939	39	3	46	5	24	2	17	1	25	1	68	0	host	elfD	1.0962813504002504	0	1
gene-b0322	91	14	63	5	20	6	22	3	18	0	43	0	host	yahH	1.1404912194342613	0	1
gene-b4554	282	246	132	75	41	28	30	10	25	7	49	15	host	yibT	1.1431334950105871	0	1
gene-b1184	104	25	80	31	50	21	40	5	51	7	136	3	host	umuC	0.8643439733136363	0	1
gene-b1850	494	509	629	475	267	271	172	81	164	40	185	60	host	eda	0.6850057753871649	0	1
gene-b0588	572	96	781	326	112	68	61	16	74	10	129	11	host	fepC	1.2587328868583396	0	1
gene-T4p273	5	0	8214	1191	15023	2028	10136	1221	4924	242	6616	186	phage	ndd.4	1.1315604937070332	0	0
gene-b1711	521	80	273	159	78	60	60	24	79	9	139	15	host	btuC	1.111284033149878	0	1
gene-b1234	942	227	851	484	128	136	69	37	74	17	112	15	host	rssA	1.206744830772007	0	1
gene-b1827	416	383	171	221	60	90	50	32	47	24	81	31	host	kdgR	0.9847285155618594	0	1
gene-b3227	197	24	153	29	97	20	94	6	92	7	291	7	host	dcuD	1.0182661267979034	0	1
gene-b4391	7544	1801	7420	2050	1367	1125	483	314	676	190	485	194	host	ettA	1.2856917051851975	0	1
gene-b4753	7	4	7	2	17	2	9	2	6	0	10	0	host	yqfH	0.860840770384351	0	1
gene-b1567	22	2	10	1	13	2	14	2	5	0	21	0	host	ydfW	1.0122127588541578	0	1
gene-b4536	658	96	246	48	47	16	21	3	17	4	28	4	host	yobH	1.824269643446422	0	1
gene-b0549	20	0	21	0	18	1	22	0	33	2	66	1	host	ybcO	1.2314790468059604	0	1
gene-b4808	24	0	13	4	15	1	9	6	6	1	8	1	host	chiZ	0.9320953024731764	0	1
gene-b4411	2404	358	1219	481	819	327	379	96	168	37	128	55	host	ecnB	1.210687430931653	0	1
gene-b3907	145	33	128	25	120	7	110	2	122	2	335	0	host	rhaT	1.088533852965465	0	1
gene-b1504	19	3	37	3	28	3	17	1	30	0	108	1	host	ydeS	1.3985821391680935	0	1
gene-b1563	371	146	528	138	90	59	26	10	54	12	47	15	host	relE	1.2429589506558645	0	1
gene-b2789	71	8	82	18	90	9	55	3	93	0	259	2	host	gudP	1.2238647762511201	0	1
gene-b3290	776	352	1166	678	203	234	111	70	145	46	251	34	host	trkA	0.9965139599872367	0	1
gene-b3017	1573	497	1883	1032	258	280	186	90	216	63	304	64	host	ftsP	1.1019089419002677	0	1
gene-b4679	231	17	87	22	46	7	23	4	15	2	22	4	host	yohP	1.5468718434311228	0	1
gene-b2021	621	1174	1081	2014	321	1320	95	237	119	121	145	132	host	hisC	0.9877139820113146	0	1
gene-b3934	57737	193	393	261	108	99	98	29	105	14	261	23	host	cytR	3.2200886555796284	0	1
gene-b2881	4937	33	341	51	160	34	156	15	182	6	444	7	host	xdhD	2.517184421310048	0	1
gene-b4765	168	18	32	29	16	3	14	2	7	1	10	2	host	yadX	1.755841341556396	0	1
gene-b2873	112	11	89	13	39	9	60	2	75	2	200	3	host	hyuA	1.127666601926358	0	1
gene-b4553	87	22	54	13	17	4	23	4	33	0	75	0	host	ysaB	1.0178762198021567	0	1
gene-b1974	95	10	70	6	42	3	25	0	22	1	72	0	host	yodB	1.1036527459038226	0	1
gene-b3367	225	41	124	29	75	20	70	8	82	1	192	2	host	nirC	0.9778643094456574	0	1
gene-b4242	1308	2019	1346	4289	526	2004	362	525	368	268	618	234	host	mgtA	0.9775571927165004	0	1
gene-b2624	358	3	27	5	165	5	281	4	42	5	90	4	host	alpA	1.4165051808893876	0	1
gene-b4349	831	428	1120	625	277	359	168	102	178	58	356	51	host	hsdM	0.8334261309189661	0	1
gene-b2379	1011	888	555	1021	165	289	94	44	105	27	269	36	host	alaC	0.9961645890710362	0	1
gene-b0656	2334	252	1671	299	273	101	194	25	201	27	265	27	host	insH3	1.4904923887005042	0	1
gene-b4665	1798	136	877	68	333	39	247	13	237	14	150	9	host	ibsC	1.5293035372358184	0	1
gene-b3503	108	34	124	30	44	9	37	8	64	1	129	4	host	arsC	0.9083001325290962	0	1
gene-b2074	275	72	157	61	68	18	65	9	77	5	170	2	host	mdtA	0.9587774971266283	0	1
gene-b2514	4337	1977	5787	3526	709	1119	263	253	316	162	227	146	host	hisS	1.1814048909030561	0	1
gene-b4691	10922	223	2785	273	4820	303	4345	316	2954	61	2236	70	host	sroH	1.2487956326996619	0	1
gene-T4p269	12	0	33794	3435	43021	12708	22625	7508	13949	1571	14904	1157	phage	ndd.1	1.0410467661616254	0	0
gene-b4763	6751	353	2924	338	1739	138	1090	66	604	41	472	34	host	sroC	1.534641506836223	0	1
gene-b2434	330	83	183	126	54	51	43	8	54	6	107	11	host	ypeA	1.006703170802935	0	1
gene-b2875	166	32	193	37	100	13	87	7	139	1	364	5	host	yqeB	1.0823641043471404	0	1
gene-b2755	127	44	150	53	67	24	61	6	68	1	172	8	host	cas1	0.837339996355076	0	1
gene-b2960	1188	586	947	499	194	179	94	55	87	37	107	49	host	trmB	1.1086342060425438	0	1
gene-b3175	19572	6102	11816	4338	1672	1234	409	348	590	256	372	256	host	secG	1.475458510072353	0	1
gene-b0060	483	78	331	231	154	45	137	4	173	8	355	9	host	polB	0.891277891424213	0	1
gene-b2486	132	11	103	24	74	13	94	7	101	1	237	0	host	hyfF	1.034932492894989	0	1
gene-T4p064	19	0	1220	11	60274	1770	22615	1545	16509	1258	11290	972	phage	a-gt.5	1.7202619929229779	0	0
