Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b3655	319	1404	302	1470	61	671	40	451	25	310	26	123	host	yicH	1.122521428564602	0	0	0	1
gene-b1310	0	39	5	110	0	202	0	118	1	85	0	41	host	ycjN	1.251985612894519	0	1	0	1
gene-b1151	0	34	2	75	1	91	4	62	1	44	1	16	host	beeE	1.1460110934181391	0	1	0	1
gene-b3439	111	421	110	655	70	313	28	185	9	121	15	78	host	yhhW	1.0564993989008507	0	0	0	1
gene-b2964	52	431	79	561	41	327	19	233	35	150	18	68	host	nupG	1.0367879812243481	0	0	0	1
gene-T4p066	0	0	283	33481	3831	39333	140	8049	548	8680	27	4814	phage	55.1	1.5722678031922355	0	1	0	1
gene-b3221	42	155	61	194	26	131	7	92	6	65	4	21	host	nanQ	0.907322750404534	0	0	0	1
gene-b2207	5	46	9	60	1	43	2	35	0	15	1	8	host	napD	1.0856368671924364	0	1	0	1
gene-b1215	981	7252	1110	7468	438	611	200	237	133	190	103	76	host	kdsA	1.666994498825916	0	0	0	1
gene-b3126	8	51	16	146	8	121	7	109	0	82	1	17	host	garL	1.08088517061866	0	1	0	1
gene-b3168	7579	23157	13378	26439	10791	4754	4786	1250	2445	983	1693	387	host	infB	1.0347402905263108	0	0	0	1
gene-b3380	7	84	18	289	8	358	2	261	6	136	1	70	host	yhfW	1.193775043866725	0	0	0	1
gene-b1796	4	16	4	26	2	33	1	22	2	14	0	8	host	yoaG	0.965663961765345	0	1	0	1
gene-b4539	30	263	90	262	39	59	8	27	5	14	3	8	host	yoeB	1.3455196013976605	0	0	0	1
gene-b1095	4505	28235	6344	36727	3767	7707	1311	2433	831	1880	665	842	host	fabF	1.4259656923521413	0	0	0	1
gene-b1110	16	205	23	229	19	138	8	68	8	53	7	37	host	ycfJ	1.1205793522773035	0	0	0	1
gene-b0420	887	7105	1540	8213	513	1002	236	409	113	306	117	129	host	dxs	1.5749224728104108	0	0	0	1
gene-b3505	220	1969	251	1785	99	444	32	253	29	191	20	68	host	insH11	1.458374328235726	0	0	0	1
gene-b0527	12	162	36	247	14	153	6	105	3	74	2	31	host	ybcI	1.0870085001645533	0	0	0	1
gene-b1381	141	779	137	826	42	338	28	257	22	187	15	71	host	ydbH	1.1415760576089995	0	0	0	1
gene-b0759	315	1331	340	1536	151	344	59	163	42	117	34	54	host	galE	1.3057712858633064	0	0	0	1
gene-b2821	484	1832	818	2576	319	1165	180	747	88	516	60	290	host	ptrA	0.9689583650887714	0	0	0	1
gene-b0126	2456	16983	2003	12852	636	1410	223	526	164	440	130	192	host	can	1.6955176908830714	0	0	0	1
gene-b0506	518	1073	475	1018	205	362	66	180	36	96	35	57	host	allR	1.0264904766747371	0	0	0	1
gene-b2299	373	2147	283	1907	94	269	49	137	34	89	24	41	host	yfcD	1.5715792587337114	0	0	0	1
gene-b3521	37	224	22	283	7	237	4	194	4	143	6	55	host	rcdB	1.0123859627651295	0	0	0	1
gene-b4139	173	966	208	1474	103	1037	33	243	57	215	27	105	host	aspA	1.2015766993411263	0	0	0	1
gene-b3686	35	89	46	180	20	181	12	99	6	76	4	23	host	ibpB	0.9380391436585175	0	0	0	1
gene-T4p122	12	3	3400	165445	10898	323128	17627	308357	71308	435157	16551	321084	phage	ipIII	1.118692967916577	0	0	0	0
gene-b2330	771	6953	755	5151	250	712	113	306	81	259	72	98	host	prmB	1.6810465750834067	0	0	0	1
gene-b4212	39	88	29	121	11	111	5	99	5	71	3	25	host	ytfH	0.8466833056646667	0	0	0	1
gene-b4039	211	741	171	651	67	257	40	167	23	96	17	38	host	ubiC	1.1231559835213887	0	0	0	1
gene-b4328	429	2089	477	2945	388	5456	149	2214	61	207	54	75	host	iadA	1.3201057134343965	0	0	0	1
gene-b0849	300	107	15	129	7	72	2	30	1	22	0	11	host	grxA	1.4484297947751523	0	1	0	1
gene-b3747	246	784	347	1188	147	949	75	548	42	381	34	121	host	kup	0.909044095501794	0	0	0	1
gene-b0498	12	14	16	51	8	81	1	49	4	25	2	18	host	ybbC	1.0024917980181451	0	0	0	1
gene-T4p143	1	0	10	1868	4	3814	44	23086	2352	71603	704	62965	phage	53	1.7829772062562361	0	1	0	1
gene-b1250	74	550	50	443	21	214	5	110	11	79	5	27	host	kch	1.3112839808112178	0	0	0	1
gene-b3622	271	1352	144	1196	49	380	4	171	23	128	1	86	host	waaL	1.3945482820468735	0	0	0	1
gene-b0197	976	2860	931	4514	564	800	173	273	137	215	146	109	host	metQ	1.328695492817553	0	0	0	1
gene-b0119	265	412	254	553	157	180	86	83	30	49	32	29	host	yacL	0.9036342824132866	0	0	0	1
gene-b1586	29	233	14	238	8	93	2	39	1	30	3	15	host	ynfD	1.4063963905327173	0	0	0	1
gene-b3279	485	1588	520	1869	228	597	81	239	61	171	47	88	host	yrdA	1.1686021768705972	0	0	0	1
gene-b0418	86	1446	299	1205	146	318	52	142	37	122	29	42	host	pgpA	1.4016094892244153	0	0	0	1
gene-b3594	43	85	35	245	23	206	6	115	8	88	7	57	host	yibA	0.9798764075512267	0	0	0	1
gene-b1423	25	169	25	241	12	246	9	166	7	129	4	37	host	ydcJ	1.0179058960980656	0	0	0	1
gene-b2280	966	1327	1354	1997	611	576	227	219	125	160	120	62	host	nuoJ	0.936400628654994	0	0	0	1
gene-b1335	27	257	38	170	11	106	6	68	4	44	4	20	host	ogt	1.1965030989529997	0	0	0	1
gene-b1221	205	1649	238	1734	99	301	43	136	27	99	18	43	host	narL	1.5461741178627348	0	0	0	1
gene-b4772	6	29	17	69	5	50	1	39	2	24	0	7	host	ymiD	1.0257487260655096	0	1	0	1
gene-b2351	556	2263	298	1802	74	244	12	126	30	82	12	69	host	yfdH	1.5586334938855864	0	0	0	1
gene-b0471	925	5818	1532	6922	862	1208	330	304	178	215	131	114	host	ybaB	1.433267099121648	0	0	0	1
gene-b0653	416	1406	766	2570	339	499	81	238	49	186	24	71	host	gltK	1.2908722435374336	0	0	0	1
gene-b0549	0	24	1	67	0	9088	1	336	1	73	0	25	host	ybcO	3.120009158291164	0	1	0	1
gene-b0110	153	469	187	508	43	181	30	104	9	70	14	25	host	ampD	1.0939823688963042	0	0	0	1
gene-T4p252	10	1	84	28426	167	54306	359	46705	48746	422485	77089	650720	phage	37	1.7848857390218624	0	0	0	0
gene-b0762	197	1270	186	985	86	683	22	205	20	79	9	66	host	acrZ	1.2786239226127911	0	0	0	1
gene-b3369	5	25	20	105	11	93	0	55	2	36	0	12	host	yhfL	1.136951138597869	0	1	0	1
gene-b3602	249	1433	190	1426	92	319	39	127	19	67	15	35	host	yibL	1.4905324910592477	0	0	0	1
gene-b2957	64	159	108	261	45	246	28	150	13	120	11	47	host	ansB	0.7887265943282236	0	0	0	1
gene-b0776	997	1860	1478	3664	825	820	224	281	99	184	88	98	host	bioF	1.1400487968244306	0	0	0	1
gene-b1387	10	86	8	260	5	326	5	227	1	181	1	78	host	paaZ	1.1452143169371627	0	0	0	1
gene-b1914	496	3368	620	1618	159	225	47	107	39	80	34	35	host	uvrY	1.667783217388409	0	0	0	1
gene-b0163	223	854	163	735	47	169	13	93	13	55	8	26	host	yaeH	1.3772856191777771	0	0	0	1
gene-b1426	18	74	18	108	14	45	1	21	6	16	2	8	host	ydcH	1.1311002335503018	0	0	0	1
gene-b0704	7	44	4	92	0	103	0	70	2	41	0	26	host	ybfC	1.1166966106807348	0	1	0	1
gene-b3816	1186	1778	851	10644	435	790	231	453	156	298	105	131	host	corA	1.9851010112732064	0	0	0	1
gene-b4218	127	1222	310	1616	102	455	52	274	41	168	18	70	host	paeA	1.3226540661258968	0	0	0	1
gene-b2902	357	348	812	461	438	276	119	163	32	120	22	50	host	ygfF	0.8357634756659804	0	0	0	1
gene-b1772	10	39	11	98	4	96	3	73	2	46	0	23	host	ydjH	1.0439364844809977	0	1	0	1
gene-b0680	2119	16021	2645	49437	1651	2944	603	3541	304	572	270	204	host	glnS	2.022922472448713	0	0	0	1
gene-b2513	1070	4256	1739	5012	669	438	259	279	158	111	105	47	host	yfgM	1.3761900505780384	0	0	0	1
gene-b4810	495	1995	771	3099	766	8340	524	3101	254	1776	246	1282	host	ftsO	1.1509830413594277	0	0	0	1
gene-b0037	47	400	57	565	34	390	6	259	6	139	3	51	host	caiC	1.130472760144022	0	0	0	1
gene-b3324	10	76	23	236	11	221	1	139	3	103	1	53	host	gspC	1.1152486951563612	0	0	0	1
gene-b0720	4527	12319	6312	12439	2791	1565	810	555	645	537	356	220	host	gltA	1.2043322103896492	0	0	0	1
gene-b1394	8	27	8	78	5	95	2	71	1	69	0	21	host	paaG	1.0603098800160446	0	1	0	1
gene-b2967	285	199	58	277	32	215	13	42	16	25	8	12	host	pheV	1.0758667399757698	0	0	0	1
gene-b0931	1054	12563	1903	10541	643	1044	259	365	121	281	96	122	host	pncB	1.7126406797477958	0	0	0	1
gene-b1728	6	65	21	134	5	98	6	52	1	51	0	26	host	ydjM	1.061056613807096	0	1	0	1
gene-b0699	24	167	23	262	17	112	6	82	10	62	8	29	host	ybfA	1.1303087083329197	0	0	0	1
gene-T4p127	0	0	173	22711	4610	80207	129	7689	264	4900	31	11109	phage	e.4	1.9889758361207026	0	1	0	1
gene-b2456	1	9	2	33	0	53	0	49	0	15	1	6	host	eutN	1.3389396391045285	0	1	0	1
gene-b2078	48	195	39	218	18	160	8	133	2	75	3	31	host	baeS	0.9682794206324925	0	0	0	1
gene-b2462	2	9	12	40	2	47	1	41	0	37	0	11	host	eutS	1.0590357454432113	0	1	0	1
gene-b3438	148	1592	265	1284	80	671	52	347	22	213	23	76	host	gntR	1.2588925102173922	0	0	0	1
gene-b0271	34	185	39	382	19	314	13	232	4	139	5	62	host	yagH	1.0547529687369623	0	0	0	1
gene-b0641	1008	4037	1270	5356	557	478	205	133	143	135	116	68	host	lptE	1.4749015386282147	0	0	0	1
gene-b4773	11	29	3	24	1	28	1	20	1	7	2	6	host	ynaN	0.9566025679781311	0	0	0	1
gene-b2103	46	223	76	319	45	187	17	128	19	77	8	28	host	thiD	0.959340686172656	0	0	0	1
gene-b2452	5	109	11	243	4	342	3	217	3	120	2	24	host	eutH	1.248699264149624	0	0	0	1
gene-b3542	1596	528	3316	2654	1894	623	503	299	168	229	116	88	host	dppC	1.0498538096474421	0	0	0	1
gene-b1736	30	67	31	114	9	86	3	59	4	25	4	13	host	chbA	0.9417929002365609	0	0	0	1
gene-b2876	4	56	13	162	5	142	2	97	4	63	0	25	host	yqeC	1.1536753462902944	0	1	0	1
gene-b0893	3192	15097	3513	19568	1431	1904	519	483	303	418	306	220	host	serS	1.5758098120110777	0	0	0	1
gene-b1581	8	70	4	133	1	158	4	137	3	67	0	20	host	rspA	1.1567638430643465	0	1	0	1
gene-b3186	8625	39961	11036	54795	7028	6518	2303	980	1597	856	1155	444	host	rplU	1.4869990123674455	0	0	0	1
gene-b3197	488	2279	715	2456	239	442	117	219	69	164	40	68	host	kdsD	1.3337583700965596	0	0	0	1
gene-b4781	57	535	94	393	27	94	1	22	2	25	0	8	host	evgL	1.5857379896376238	0	1	0	1
gene-b3138	2	25	6	66	1	101	0	80	0	53	0	24	host	agaB	1.1582313901742527	0	1	0	1
gene-b3574	102	805	95	703	50	443	23	278	9	170	9	71	host	plaR	1.1500966578758884	0	0	0	1
gene-b1711	103	729	144	650	59	240	29	150	24	107	13	36	host	btuC	1.2213543975897516	0	0	0	1
gene-b0247	24	95	37	199	20	128	27	104	8	77	6	33	host	ykfG	0.8924799673158309	0	0	0	1
gene-b1154	6	23	1	81	2	123	1	81	1	33	0	28	host	ycfK	1.245357028094282	0	1	0	1
gene-b1203	1105	9066	1097	9293	426	1172	148	319	181	270	118	83	host	ychF	1.6811838708383517	0	0	0	1
gene-b0887	236	775	292	1001	80	402	49	211	36	179	24	75	host	cydD	1.0600837872802422	0	0	0	1
gene-b3985	17738	135624	40383	192924	22999	17546	7377	2789	4228	2175	2794	627	host	rplJ	1.5841330764750112	0	0	0	1
gene-b0645	1	21	6	64	1	85	3	8085	0	38	0	24	host	ybeR	3.2112803161507713	0	1	0	1
gene-b0077	1351	2528	1985	3593	784	796	233	419	132	232	106	85	host	ilvI	1.063905849326615	0	0	0	1
gene-b2172	40	210	54	377	24	309	8	187	11	134	10	59	host	yeiQ	1.017637187419013	0	0	0	1
gene-b3192	824	2600	1108	3436	458	471	239	180	94	139	79	68	host	mlaC	1.2979577855729483	0	0	0	1
gene-b2796	425	2089	711	3262	410	692	186	288	221	241	191	83	host	sdaC	1.2544928527089654	0	0	0	1
gene-b1330	31	400	67	597	24	155	3	93	5	70	1	20	host	ynaI	1.4592079914612197	0	0	0	1
gene-b2997	32	322	54	461	28	278	18	43605	11	140	3	46	host	hybO	3.204843990765246	0	0	0	1
gene-b0872	12	47	10	116	5	171	1	123	2	82	1	29	host	hcr	1.1269696370439377	0	0	0	1
gene-b3615	21	191	43	346	11	280	4	246	29	143	8	61	host	waaH	1.0119540288634277	0	0	0	1
gene-b1797	7	39	7	55	3	65	1	37	1	33	0	10	host	yeaR	1.0305413644662542	0	1	0	1
gene-b0781	261	2946	457	2245	143	446	54	162	49	144	39	63	host	moaA	1.5768554214983383	0	0	0	1
gene-b0850	58	335	82	408	34	142	8	62	4	37	3	16	host	ybjC	1.2958991843002208	0	0	0	1
gene-b0904	213	830	411	1137	198	377	60	168	45	105	15	55	host	focA	1.1083275386348515	0	0	0	1
gene-b2891	2245	11691	3023	15402	1451	1819	556	484	315	318	289	118	host	prfB	1.5255955339994485	0	0	0	1
gene-b1024	50	259	173	752	40	415	11	221	11	172	7	90	host	pgaA	1.1370696739667387	0	0	0	1
gene-b0122	37	631	93	298	24	130	9	53	11	52	4	39	host	yacC	1.5108423898277248	0	0	0	1
gene-b3391	25	127	31	280	16	335	6	236	6	151	2	49	host	hofQ	1.0839312090196855	0	0	0	1
gene-b3904	10	112	7	333	7	391	10	323	4	232	5	67	host	rhaB	1.1574912147451493	0	0	0	1
gene-b0049	206	2005	489	2089	201	465	85	216	45	176	23	79	host	apaH	1.3884011677191639	0	0	0	1
gene-b2580	195	900	169	1019	84	348	44	147	20	150	22	69	host	ung	1.2273000542965722	0	0	0	1
gene-b2958	379	298	524	323	224	203	120	109	63	57	53	27	host	yggN	0.7531287281417839	0	0	0	1
gene-b4502	32	187	49	239	25	124	11	51	7	47	6	21	host	yeiW	1.0948685571184371	0	0	0	1
gene-b1109	203	1312	284	809	174	358	97	202	87	172	109	86	host	ndh	1.0897468761582185	0	0	0	1
gene-b3832	120	400	237	701	113	466	107	339	70	220	52	99	host	rmuC	0.7783022225251824	0	0	0	1
gene-b0148	224	1541	371	2044	180	673	68	382	45	244	37	94	host	hrpB	1.2509818205608074	0	0	0	1
gene-b0333	11	91	13	178	4	258	5	156	1	123	0	35	host	prpC	1.1457033130931642	0	1	0	1
gene-b1932	242	1032	225	914	86	221	24	84	12	46	3	27	host	yedL	1.3894034508887285	0	0	0	1
gene-b4845	39	172	11	155	17	147	3	51	1	24	2	18	host	xtpA	1.1675628998045458	0	0	0	1
gene-T4p233	4	0	8	1035	18	8773	4005	80809	5288	60065	1490	45714	phage	mobE	1.5659574124158373	0	1	0	1
gene-b3623	119	437	51	505	53	250	1	159	5	98	0	57	host	waaU	1.1212522852631186	0	1	0	1
gene-b2362	2	28	1	64	3	62	0	53	0	48	1	30	host	yfdS	1.0373942846660376	0	1	0	1
gene-b1218	234	579	221	547	126	230	43	113	19	30	8	19	host	chaC	1.0486006776427743	0	0	0	1
gene-b2196	37	282	63	501	36	358	14	312	13	180	12	65	host	ccmF	1.0255219950833474	0	0	0	1
gene-b4455	4	38	58	166	39	136	0	50	9	25	1	14	host	hokA	1.1385500851066221	0	1	0	1
gene-b3805	481	3752	713	5376	257	663	116	4878	78	243	70	86	host	hemC	1.3878257675327228	0	0	0	1
gene-b1613	504	2373	465	3070	204	462	74	168	37	136	42	73	host	manA	1.5114078460776994	0	0	0	1
gene-b1477	43	216	92	249	49	76	17	35	3	16	6	15	host	yddM	1.150000519467815	0	0	0	1
gene-b1616	7	75	5	181	3	214	5	123	0	80	0	21	host	uidB	1.225249276038562	0	1	0	1
gene-b4683	0	6	0	10	0	15	0	6	2	5	0	3	host	yqeL	1.1675016951760808	0	1	0	1
gene-b3819	162	1020	273	1271	124	390	92	269	57	159	41	72	host	rarD	1.1671270607012523	0	0	0	1
gene-b2879	3	82	16	208	7	261	2	198	2	123	0	42	host	ssnA	1.1619753560001767	0	1	0	1
gene-b2883	87	238	141	398	38	337	12	257	8	138	2	57	host	guaD	0.9078366087581645	0	0	0	1
gene-b2347	41	151	44	274	8	197	6	147	2	81	0	32	host	yfdC	1.0517673699035721	0	1	0	1
gene-b0258	57	297	90	611	51	335	52	198	22	139	27	67	host	ykfC	1.036539489977064	0	0	0	1
gene-b0346	150	553	154	643	78	228	30	145	14	112	6	43	host	mhpR	1.104711194066177	0	0	0	1
gene-b4538	7	70	18	91	8	54	1	22	3	20	1	11	host	yoeF	1.1176470588235294	0	0	0	1
gene-b0533	4	60	6	159	1	195	2	149	1	100	0	40	host	sfmH	1.1627910410227529	0	1	0	1
gene-b2488	5	60	13	145	3	118	0	97	4	55	0	17	host	hyfH	1.145294752437872	0	1	0	1
gene-b2010	69	153	67	196	24	166	9	133	12	77	3	47	host	dacD	0.8029767276494497	0	0	0	1
gene-b3396	532	1991	859	1751	352	887	177	514	101	392	86	145	host	mrcA	0.932753570032857	0	0	0	1
gene-b1280	180	1478	368	1660	110	267	60	142	25	98	27	45	host	lapB	1.4676241514511064	0	0	0	1
gene-b2486	10	118	15	301	11	361	10	206	3	168	2	55	host	hyfF	1.1559762883114524	0	0	0	1
gene-b1469	12	92	15	183	2	161	1	133	1	91	0	50	host	narU	1.055350480086478	0	1	0	1
gene-b0780	88	931	147	1020	75	282	31	113	7	98	15	40	host	ybhK	1.4249132824444593	0	0	0	1
gene-b4559	0	9	5	36	1	48	0	31	0	19	0	13	host	ghoT	1.173359209092406	0	1	0	1
gene-b0280	50	797	39	345	14	161	5	66	9	64	1	43	host	yagN	1.6594067297619346	0	0	0	1
gene-b2839	37	270	71	312	30	221	16	158	3	118	7	38	host	lysR	0.9761220390264879	0	0	0	1
gene-b1019	171	1989	417	3005	155	426	50	158	24	120	21	66	host	efeB	1.6434083230773981	0	0	0	1
gene-b0183	170	1560	488	2178	196	382	98	192	48	144	40	39	host	rnhB	1.4200512008905202	0	0	0	1
gene-b3251	2164	13534	2840	16149	1498	1835	616	703	352	524	239	161	host	mreB	1.5404670467312331	0	0	0	1
gene-b0952	151	1007	181	1315	84	290	47	118	25	92	23	52	host	pqiC	1.434028886156381	0	0	0	1
gene-b2274	8	26	3	87	5	102	0	47	2	23	0	11	host	yfbO	1.2767642628296971	0	1	0	1
gene-b3888	659	751	834	1466	351	457	123	353	62	226	46	90	host	fabY	0.8890888427301699	0	0	0	1
gene-b2382	20	315	47	342	11	221	9	128	4	103	5	23	host	ypdC	1.1622047588688567	0	0	0	1
gene-b3943	46	370	53	438	36	383	25	133854	9	156	6	42	host	yijE	3.2748659858228777	0	0	0	1
gene-b1182	1	33	4	101	1	97	2	68	2	52	0	25	host	hlyE	1.144421071656197	0	1	0	1
gene-b4037	59	250	87	438	68	394	18	1559	18	167	20	87	host	malM	1.5699430619301158	0	0	0	1
gene-T4p274	0	1	1171	43209	2948	103728	230	46202	341	8491	52	7103	phage	ndd.5	1.709345377819369	0	1	0	1
gene-b1438	18	168	18	146	4	51	0	27	2	17	0	8	host	hicB	1.4385866889456578	0	1	0	1
gene-b2868	13	64	9	103	4	114	2	82	1	46	2	19	host	xdhC	1.0571344013527944	0	0	0	1
gene-b3590	397	2598	620	4346	297	4074	124	553	64	395	57	173	host	selB	1.3320237860756623	0	0	0	1
gene-b2994	91	310	156	493	89	403	29	261	20	183	16	66	host	hybC	0.859787457251348	0	0	0	1
gene-b2438	23	170	26	243	18	180	11	85	4	55	3	31	host	eutK	1.1036827803493783	0	0	0	1
gene-b3376	16	109	22	225	12	256	4	163	2	114	2	45	host	yhfS	1.0839851997488361	0	0	0	1
gene-b0982	13	44	6	71	1	59	0	38	1	37	0	14	host	etp	1.0170633088707608	0	1	0	1
gene-b2379	783	924	965	1008	306	424	128	252	58	175	67	87	host	alaC	0.8411023061196894	0	0	0	1
gene-b4021	17	185	34	332	18	248	10	196	7	135	4	65	host	pepE	1.0299148323222367	0	0	0	1
gene-b2515	964	6465	1806	8590	741	1352	317	546	137	352	133	167	host	ispG	1.471617202308315	0	0	0	1
gene-b2846	5	26	6	75	3	74	0	67	2	33	0	23	host	yqeH	1.0888739488712584	0	1	0	1
gene-b2372	6	38	9	143	3	155	0	122	1	57	1	44	host	yfdV	1.1690149576701314	0	1	0	1
gene-b1564	82	338	101	498	39	77	8	30	9	26	3	11	host	relB	1.456629397377374	0	0	0	1
gene-b2501	481	4706	918	4805	160	566	71	303	46	211	16	78	host	ppk	1.63580844299779	0	0	0	1
gene-T4p005	0	0	39	2539	493	32292	642	33006	772	9511	81	3044	phage	mobA	1.7194101890895814	0	1	0	1
gene-b0674	3746	15186	2662	20138	1005	2266	355	731	192	587	160	249	host	asnB	1.6024519629168383	0	0	0	1
gene-b4273	52	332	57	461	20	236	16	193	13	104	6	71	host	insD6	1.076464047414601	0	0	0	1
gene-b0575	26	284	56	590	27	651	17	441	9	358	6	133	host	cusA	1.0628333430855477	0	0	0	1
gene-b0465	468	2824	800	4590	264	931	144	486	86	330	66	138	host	mscK	1.4238663702467833	0	0	0	1
gene-b1204	137	1306	145	1085	66	153	19	68	18	51	11	16	host	pth	1.6597750517128278	0	0	0	1
gene-b4196	19	89	25	184	9	177	7	123	4	78	2	24	host	ulaD	1.0482025581364165	0	0	0	1
gene-b1677	22560	186346	31413	266565	31813	163138	10188	38571	6391	25681	3120	11155	host	lpp	1.262828141317936	0	0	0	1
gene-b0817	250	774	242	545	113	173	44	94	27	52	24	32	host	mntR	1.139327704117218	0	0	0	1
gene-b3891	1696	8938	2661	14629	1627	2400	684	802	397	574	292	237	host	fdhE	1.4446511733910978	0	0	0	1
gene-b1127	325	1024	317	1425	124	289	44	142	31	86	20	33	host	pepT	1.3233828053329812	0	0	0	1
gene-b4357	2	55	12	158	6	160	2	112	5	77	0	31	host	lgoR	1.1341267549784548	0	1	0	1
gene-b2549	25	215	31	556	18	645	16	5510	12	291	5	114	host	yphG	2.4029685175202244	0	0	0	1
gene-b0269	40	193	40	407	35	400	18	254	9	214	10	77	host	yagF	1.0085077782635912	0	0	0	1
gene-b2532	499	3739	544	3742	310	640	178	276	78	195	61	81	host	trmJ	1.5082950531157613	0	0	0	1
gene-b0551	3	38	4	57	1	89	0	55	1	41	0	27	host	quuD	1.082704039511043	0	1	0	1
gene-b3238	134	559	160	717	79	245	32	80	15	61	4	35	host	yhcN	1.2375132974208307	0	0	0	1
gene-b4501	39	256	17	153	10	115	2	59	2	36	1	30	host	torI	1.2413217268821284	0	0	0	1
gene-b4620	5	42	12	81	2	94	3	51	0	59	0	32	host	yjbT	1.0105055049706977	0	1	0	1
gene-b0133	1091	6227	1057	7956	565	1214	190	380	132	224	114	111	host	panC	1.5630650859920963	0	0	0	1
gene-b0339	12	104	18	207	10	194	3	139	3	83	1	19	host	cynT	1.122716254169601	0	0	0	1
gene-b2356	2	20	2	58	0	75	1	71	0	37	1	32	host	yfdM	1.122246770498672	0	1	0	1
gene-b1838	21	133	35	184	19	149	6	106	1	81	3	29	host	pphA	0.962676938546429	0	0	0	1
gene-b1713	3633	19663	5591	30293	3930	4833	1345	1203	771	930	626	506	host	pheT	1.4522286645861473	0	0	0	1
gene-b4724	3	22	49	189	17	41	0	14	0	22	1	8	host	ynfQ	1.6439007714834617	0	1	0	1
gene-b0098	3750	13706	6395	28892	3351	3535	1178	921	622	779	484	344	host	secA	1.4970881150899855	0	0	0	1
gene-b1553	1	29	8	50	2	56	1	39	1	22	2	17	host	rzpQ	1.0207903443187922	0	0	0	1
gene-b2152	99	1768	249	2107	94	407	38	194	15	137	14	65	host	yeiB	1.584910363769641	0	0	0	1
gene-b1424	437	1941	491	2289	226	466	60	184	63	119	42	63	host	opgD	1.370753035575696	0	0	0	1
gene-b3177	389	2679	571	2575	290	445	101	198	50	118	43	54	host	folP	1.4532453385742163	0	0	0	1
gene-b2753	77	730	106	521	44	291	17	145	5	108	5	52	host	iap	1.2513467380799732	0	0	0	1
gene-b2946	270	1170	286	846	111	246	48	139	29	103	25	50	host	rsmE	1.2457988952632175	0	0	0	1
gene-b3752	217	902	378	1255	148	455	81	328	55	208	70	96	host	rbsK	1.0175488007532056	0	0	0	1
gene-b1515	7	50	8	119	4	132	0	87	1	55	0	37	host	lsrD	1.1029705345112353	0	1	0	1
gene-b3448	76	328	33	288	14	181	6	106	5	89	4	29	host	yhhA	1.1122653911136793	0	0	0	1
gene-b1940	9	93	23	156	11	149	5	92	0	78	4	25	host	fliH	1.0255400860038193	0	1	0	1
gene-b1722	202	1750	308	1851	185	344	88	144	80	105	29	46	host	ydiY	1.4525854123180104	0	0	0	1
gene-b0382	178	519	137	500	26	102	8	48	9	47	8	18	host	iraP	1.3215875869574438	0	0	0	1
gene-b0168	1156	7929	1324	10572	703	1970	293	480	149	323	100	119	host	map	1.5723995843637106	0	0	0	1
gene-b3512	28	144	7	184	4	101	0	51	0	45	0	32	host	gadE	1.1867624137967105	0	1	0	1
gene-b3935	187	2350	483	2862	175	876	111	5235	49	377	49	149	host	priA	1.4330635002066936	0	0	0	1
gene-b0830	821	1809	1074	3145	268	820	93	430	47	281	51	129	host	gsiB	1.1796926339506988	0	0	0	1
gene-b3545	136	284	97	4816	49	168	17	76	14	129	9	56	host	proK	2.681046175300924	0	0	0	1
gene-b3901	6	48	7	118	5	133	3	81	0	69	0	18	host	rhaM	1.1410089266080705	0	1	0	1
gene-T4p230	18	4	56	11036	2926	138878	11799	479038	60583	573766	10341	302071	phage	nrdB	1.4811082032654528	0	0	0	0
gene-b2315	632	3650	820	3025	409	648	201	273	86	200	83	76	host	folC	1.362968652346242	0	0	0	1
gene-b1115	14	61	14	110	3	163	4	122	1	62	0	25	host	ycfT	1.106825176052534	0	1	0	1
gene-b3368	341	923	326	913	146	412	59	245	31	185	38	72	host	cysG	0.9704314560662273	0	0	0	1
gene-b3317	27096	164194	44354	265650	33061	18475	10658	3380	6188	2502	4510	881	host	rplB	1.6191144650610825	0	0	0	1
gene-b4147	2059	17626	3287	20872	2078	3721	665	618	385	428	236	231	host	efp	1.5613285698886816	0	0	0	1
gene-b2560	106	927	115	709	54	207	22	102	4	63	8	30	host	pgpC	1.4678586068794695	0	0	0	1
gene-b2394	118	766	321	1070	151	403	68	215	48	159	22	65	host	insL3	1.0907865445292033	0	0	0	1
gene-b0329	100	353	38	468	17	146	1	62	1	40	1	15	host	yahO	1.4051439734296969	0	0	0	1
gene-b3924	348	1995	322	1700	82	430	55	242	27	179	27	78	host	fpr	1.3952320933349307	0	0	0	1
gene-b0492	687	2649	819	4092	378	675	135	238	59	199	80	105	host	cnoX	1.4164884939591253	0	0	0	1
gene-b2247	8	75	6	175	2	219	6	160	0	102	2	34	host	rhmD	1.1586107246686477	0	1	0	1
gene-b1246	4828	13988	7919	23758	4521	2016	1114	483	614	445	418	238	host	oppD	1.3699689493453624	0	0	0	1
gene-b2877	2	54	30	280	4	150	1	93	3	55	0	33	host	mocA	1.3553954129761636	0	1	0	1
gene-b3365	58	602	117	680	26	634	13	399	7	325	5	137	host	nirB	1.016710332313863	0	0	0	1
gene-b3459	57	307	96	305	37	160	12	103	6	85	5	41	host	panZ	1.0032326721548788	0	0	0	1
