Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b2638	17	130	24	99	7	99	3	56	3	40	1	15	host	yfjU	1.0415092872856693	0	0	0	1
gene-b4732	13	56	23	120	22	26	4	11	0	8	0	6	host	ykiD	1.3492635793316803	0	1	0	1
gene-b3063	55	384	94	515	48	411	29	246	15	175	10	45	host	ttdT	1.007725597272626	0	0	0	1
gene-b3097	763	2367	1089	3343	418	376	105	114	67	98	41	37	host	yqjC	1.3846820282915295	0	0	0	1
gene-b0521	27	202	59	264	11	225	8	167	1	108	3	68	host	ybcF	0.9623936211512386	0	0	0	1
gene-b1346	0	9	0	27	0	31	0	22	1	21	0	3	host	xisR	1.224179299959264	0	1	0	1
gene-b0744	1381	16315	2395	20175	1868	3140	655	1171	380	1023	297	620	host	valT	1.5581595796916763	0	0	0	1
gene-b3808	166	699	153	770	97	408	53	197	28	147	24	44	host	yzcX	1.0609351090992556	0	0	0	1
gene-b0192	209	1205	304	1700	122	385	48	175	28	143	27	60	host	nlpE	1.3802617010437683	0	0	0	1
gene-b0146	368	269	391	269	194	172	50	90	29	65	26	30	host	sfsA	0.7925200474376828	0	0	0	1
gene-b0714	70	399	158	544	50	201	22	98	4	62	5	20	host	nei	1.2000904395844902	0	0	0	1
gene-b4775	227	420	352	896	317	2129	65	485	78	242	31	289	host	mgtT	1.1927858366026993	0	0	0	1
gene-b1819	810	3553	1084	4450	601	807	174	285	115	201	113	106	host	manZ	1.3464744073018577	0	0	0	1
gene-b0288	36	136	37	249	25	113	5	69	1	40	0	27	host	ykgJ	1.1332159057025986	0	1	0	1
gene-b2943	195	927	288	1532	148	508	55	295	37	200	22	75	host	galP	1.2045168095222225	0	0	0	1
gene-b2327	156	1560	389	1993	173	319	50	160	25	100	18	62	host	yfcA	1.4954433396438154	0	0	0	1
gene-b4388	388	1803	525	2214	210	1075	94	2889	44	184	62	84	host	serB	1.1752030973959062	0	0	0	1
gene-b1874	201	990	309	1175	154	358	49	150	23	93	25	45	host	cutC	1.2350882585413137	0	0	0	1
gene-b4209	31	172	87	396	49	228	12	147	4	100	3	32	host	ytfE	1.0625548859610825	0	0	0	1
gene-b2871	21	161	14	250	4	239	3	156	6	121	4	65	host	ygeX	1.042064595680345	0	0	0	1
gene-b1663	218	1026	453	1571	225	479	91	232	60	173	29	77	host	mdtK	1.1499549939451332	0	0	0	1
gene-b1502	0	29	4	98	3	94	1	79	0	61	0	26	host	ydeQ	1.141530749972383	0	1	0	1
gene-b3307	17459	81770	30198	101644	14525	7138	5350	1427	3929	1235	2535	456	host	rpsN	1.4515881758751175	0	0	0	1
gene-b0277	37	140	17	258	15	152	2	112	3	75	2	41	host	yagK	1.0750536950373937	0	0	0	1
gene-b1270	89	462	143	481	60	153	24	71	19	51	6	12	host	btuR	1.2143146987557993	0	0	0	1
gene-b2089	20	194	40	258	20	182	10	100	9	71	3	40	host	insF5	1.046339967059459	0	0	0	1
gene-b2109	15	93	21	286	3	345	4	222	0	153	1	99	host	yehB	1.1298875590312443	0	1	0	1
gene-b1938	28	123	31	209	11	230	5	176	8	148	3	48	host	fliF	0.973453880133725	0	0	0	1
gene-T4p238	5	0	30	5231	4905	136985	2528	108698	11285	146789	1757	86484	phage	I-TevI	1.347954273339179	0	1	0	1
gene-b4241	33	400	44	410	14	214	7	136	7	119	4	54	host	treR	1.175708284155964	0	0	0	1
gene-b2216	841	5009	1135	4700	375	1020	131	426	96	354	68	131	host	rcsD	1.407736058632754	0	0	0	1
gene-b3047	6	44	6	168	4	134	1	80	4	69	0	40	host	yqiH	1.1692694895425053	0	1	0	1
gene-b0481	112	702	155	704	48	145	20	100	10	76	6	37	host	ybaK	1.3637005135252405	0	0	0	1
gene-b2679	1096	1161	1987	2871	1051	559	335	231	132	146	108	72	host	proX	1.0333874530835505	0	0	0	1
gene-b4477	9	90	14	202	1	241	2	175	3	128	0	49	host	dgoA	1.118350324774141	0	1	0	1
gene-b0050	238	1896	442	2019	222	390	69	136	32	98	18	46	host	apaG	1.454685572707223	0	0	0	1
gene-b1833	78	733	152	634	47	220	15	163	9	113	5	55	host	letA	1.2553467245302719	0	0	0	1
gene-b0912	1494	4208	1338	3589	510	457	214	147	123	96	118	74	host	ihfB	1.3268880945090593	0	0	0	1
gene-b4770	46	104	60	63	26	41	5	13	5	6	2	4	host	yljB	0.9869224893577002	0	0	0	1
gene-b2503	23	244	46	502	31	513	12	347	5	231	0	93	host	pdeF	1.0858583893171907	0	1	0	1
gene-b1198	785	1622	1078	2097	347	413	175	200	172	159	146	57	host	dhaM	1.0538735613971717	0	0	0	1
gene-b0113	142	4683	256	1657	88	424	65	180	48	144	71	68	host	pdhR	1.9753274520367123	0	0	0	1
gene-b0158	106	823	201	1012	73	660	42	274	20	147	25	53	host	btuF	1.1550051621759803	0	0	0	1
gene-b2775	12	94	12	213	6	284	2	217	1	163	1	79	host	yqcE	1.093873458272573	0	0	0	1
gene-b0312	647	3987	1669	6010	792	1011	217	414	93	261	74	112	host	betB	1.391519634761253	0	0	0	1
gene-b1217	30	117	32	143	11	78	5	28	1	11	2	8	host	chaB	1.1793519741178853	0	0	0	1
gene-b4546	64	380	100	675	84	242	41	88	14	59	12	19	host	ypeB	1.277457502995152	0	0	0	1
gene-b3043	5	32	10	120	7	103	2	76	2	53	1	21	host	ygiL	1.1252000279419916	0	0	0	1
gene-b0463	1507	3927	1965	4656	672	679	250	283	159	199	174	109	host	acrA	1.2272184533927573	0	0	0	1
gene-b2843	16	90	23	150	10	176	12	174	8	84	6	55	host	kduI	0.9556319091229721	0	0	0	1
gene-b3229	1070	12143	1993	13532	1021	1054	397	312	206	270	155	87	host	sspA	1.7043920041901868	0	0	0	1
gene-T4s002	7	13	21	63221	2237	851225	14636	912533	34541	1444468	20755	1493514	phage	gene-T4s002	1.4197614133005545	0	0	0	0
gene-b0431	11982	92130	15736	101400	5729	7124	2622	2248	1892	2184	1763	896	host	cyoB	1.682277981184757	0	0	0	1
gene-b0659	265	2307	440	2855	200	305	81	111	45	72	37	34	host	ybeY	1.6304616625127342	0	0	0	1
gene-b0807	166	1098	309	833	134	294	90	169	48	102	23	40	host	rlmF	1.179727766438701	0	0	0	1
gene-b0856	171	420	297	612	87	273	17	156	15	73	15	39	host	potH	0.9923346321658832	0	0	0	1
gene-b3174	1267	4074	910	3746	370	585	146	368	98	589	73	1151	host	leuU	1.171742227541919	0	0	0	1
