Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b3060	97	122	98	57	40	45	41	73	54	42	35	49	host	ttdR
gene-b4705	548	446	148	101	33	26	60	87	170	116	149	163	host	mntS
gene-b2897	1698	1866	1597	1223	922	1027	772	1303	897	543	433	535	host	sdhE
gene-b4504	28	32	49	35	25	28	14	22	21	14	12	15	host	ykfH
gene-b2712	518	616	482	384	168	263	189	267	271	143	143	158	host	hypF
gene-b2536	855	797	768	671	415	517	299	623	300	186	124	161	host	hcaT
gene-b4811	200	184	268	248	220	210	107	147	46	35	33	23	host	timR
gene-b1575	5	3	2	2	1	1	0	2	0	0	0	3	host	dicB
gene-b0008	6378	7994	4773	4291	3064	3200	1852	4118	1883	1274	1535	1450	host	talB
gene-b3979	15644	19429	22734	19374	14429	17735	9178	16525	6480	4015	2692	3030	host	thrT
gene-b3711	448	547	395	316	206	253	129	263	171	102	93	118	host	yidZ
gene-b3237	1742	2053	1703	1345	936	1083	725	1268	760	496	459	532	host	argR
gene-b3653	2823	2616	2108	1786	886	1148	864	1458	1138	670	477	514	host	gltS
gene-b1215	9012	11343	9499	7460	4876	6785	3509	6757	3724	2423	1756	1864	host	kdsA
gene-b2176	579	691	467	433	247	308	161	296	192	130	118	130	host	pdeN
gene-b1322	1304	1377	971	922	390	551	177	326	232	141	270	333	host	ycjF
gene-b2972	347	413	432	321	233	262	155	283	152	90	42	81	host	pppA
gene-b0317	8	22	23	9	4	7	4	8	13	4	7	20	host	yahC
gene-b0886	1080	1120	1078	917	412	627	351	658	298	204	148	184	host	cydC
gene-b1490	437	716	347	264	59	124	64	127	114	64	71	119	host	dosC
gene-b3402	287	355	240	174	84	101	75	130	92	61	59	91	host	yhgE
gene-b3253	1608	1906	1286	1126	460	726	298	590	418	270	290	337	host	yhdH
gene-b2157	1175	1522	1302	1193	477	640	338	569	166	146	255	323	host	yeiE
gene-T7p18	35	22	71	16	12	106	13891	37772	430159	288250	259664	325705	phage	gene-T7p18
gene-b4764	1299	1046	999	863	572	769	346	739	685	507	438	537	host	sdhX
gene-b3320	231345	262217	345361	245593	271768	334613	175372	400534	108093	70341	34065	33423	host	rplC
gene-b0711	4002	4176	2923	2509	690	1104	369	700	728	473	688	806	host	pxpB
gene-b0544	29	52	82	32	28	31	19	32	18	11	13	35	host	ybcK
gene-b3264	24	45	37	10	24	20	11	23	26	12	5	10	host	envR
gene-b3231	106568	128338	159109	111645	107049	136609	101693	191815	73990	46720	20827	20803	host	rplM
gene-b0060	409	481	401	289	122	208	133	220	192	108	106	138	host	polB
gene-b3625	357	528	633	245	258	280	266	335	179	112	64	102	host	waaY
gene-b0355	1175	1275	1276	1057	627	870	503	854	505	324	238	293	host	frmB
gene-b1715	464	603	505	328	244	340	255	348	150	102	68	94	host	pheM
gene-b4077	3676	3611	3411	2903	1307	1823	669	1403	800	529	620	605	host	gltP
gene-b4431	21	18	14	9	12	11	8	9	5	6	5	10	host	rprA
gene-b1709	2377	3226	2662	2218	1181	1722	742	1403	645	422	418	423	host	btuD
gene-b3928	7124	9304	6354	4568	3064	3718	2375	4326	2697	1940	1766	1953	host	zapB
gene-b2625	68	93	63	26	36	32	27	40	30	15	19	41	host	yfjI
gene-b0166	19713	23834	16121	13965	6906	9281	4304	7790	4919	3165	3774	3949	host	dapD
gene-b2758	203	271	189	117	79	109	69	94	72	37	57	96	host	casC
gene-b4022	1454	1885	1299	1067	642	863	494	953	399	249	247	254	host	rluF
gene-b4263	1542	1692	1557	1313	648	929	404	742	417	290	312	366	host	yjgR
gene-b4422	116	132	94	123	63	111	33	70	26	23	23	18	host	rdlB
gene-b3367	340	342	363	280	144	187	122	206	143	76	33	67	host	nirC
gene-b2246	135	158	148	102	57	74	38	64	55	29	20	52	host	yfaV
gene-b4821	75	94	47	34	22	20	8	40	25	16	24	32	host	ytcB
gene-b4421	189	256	254	230	135	205	107	165	77	57	38	50	host	ldrB
gene-b1502	9	21	16	8	4	11	9	8	12	8	0	25	host	ydeQ
gene-b0428	42859	38556	30506	25497	19670	20486	15812	32255	18328	11531	10015	9214	host	cyoE
gene-b2907	5364	5613	5008	4023	2310	3246	1857	3504	2239	1442	1051	978	host	ubiH
gene-b2315	6095	6323	6248	5219	3484	4764	2567	4534	2698	1824	1088	1029	host	folC
gene-b1227	93	107	112	77	36	52	34	58	38	27	23	39	host	narI
gene-b1564	671	902	640	476	289	383	195	367	204	164	170	170	host	relB
gene-b0349	101	147	119	63	53	68	50	57	52	36	31	32	host	mhpC
gene-b4353	897	1181	1063	1066	361	725	209	496	335	257	226	240	host	yjiX
gene-b3209	1876	2331	1417	1270	490	631	455	755	701	452	557	584	host	elbB
gene-b0624	738	616	550	433	342	344	300	436	253	151	124	151	host	crcB
gene-b2714	632	726	541	463	259	378	249	431	258	162	158	188	host	ascG
gene-b3445	76	128	123	92	69	70	44	73	37	24	13	20	host	insB6
gene-b4184	17	17	29	16	7	7	8	13	12	5	3	6	host	yjfL
gene-b4765	200	272	151	144	81	96	52	123	57	44	52	93	host	yadX
gene-b1448	1582	1903	824	785	290	310	179	337	361	246	291	321	host	mnaT
gene-b3605	2027	2276	1538	1284	573	828	513	907	687	404	327	406	host	lldD
gene-b0325	1722	2270	1874	1676	828	1302	473	1065	363	275	289	345	host	yahK
gene-b0093	5295	5361	5645	4568	2845	3981	1922	3704	1887	1284	1101	1111	host	ftsQ
gene-b1759	608	578	459	388	235	232	140	263	166	98	72	82	host	nudG
gene-b0963	2859	3617	2015	1813	856	1049	635	1167	652	447	523	542	host	mgsA
gene-b0618	36	66	72	47	16	35	10	25	26	21	11	30	host	citC
gene-b0296	50	75	50	36	21	27	11	26	24	17	11	19	host	ykgM
gene-b1452	65801	108359	79270	72195	37145	58313	20395	43974	8503	6505	2005	2329	host	yncE
gene-b0766	1342	1879	1360	762	496	1552	411	736	565	262	192	231	host	ybhA
gene-b0859	1111	1224	1802	1595	1049	1435	644	1095	454	250	168	175	host	rlmC
gene-b4534	2	3	3	0	1	1	0	0	0	1	2	3	host	ynfP
gene-b2220	73	96	75	49	29	34	20	39	49	15	19	32	host	atoC
gene-b1056	512	758	683	481	344	551	254	428	221	148	122	139	host	yceI
gene-b4187	2650	2987	2225	2027	706	1088	244	492	279	192	467	517	host	aidB
gene-b3140	52	65	64	44	27	35	22	42	27	19	16	26	host	agaD
gene-b3532	411	511	441	331	210	256	109	185	139	78	81	127	host	bcsB
gene-b0749	10010	10845	19207	14434	9366	13717	8772	11503	3754	2563	1499	1168	host	lysQ
gene-b0866	2115	2188	1349	1277	690	772	435	763	489	288	414	391	host	ybjQ
gene-b4501	85	145	69	66	38	54	37	59	34	26	16	38	host	torI
gene-b3147	2745	3320	2761	2305	1408	1977	1020	1803	812	577	491	500	host	lpoA
gene-b2963	605	839	652	506	291	388	192	349	195	136	106	172	host	mltC
gene-b4606	803	789	585	473	387	337	285	593	264	187	234	258	host	ypfM
gene-b4758	112	124	114	89	40	47	23	45	21	20	22	37	host	pspH
gene-b3588	350	518	370	323	125	173	79	109	87	41	65	118	host	aldB
gene-b0522	22712	21761	9065	8725	1252	1909	8346	14662	9685	6254	2934	2630	host	purK
gene-b1521	81	123	115	87	40	60	32	63	54	24	24	39	host	uxaB
gene-b2875	208	260	175	98	78	103	68	137	85	51	49	94	host	yqeB
gene-b2201	357	333	273	208	151	190	129	242	145	85	90	78	host	ccmA
gene-b1597	18	29	32	16	16	23	8	13	12	6	11	13	host	asr
gene-b1256	41	57	44	32	30	14	14	26	21	13	11	26	host	ompW
gene-b3523	1360	1595	1008	888	180	314	115	180	256	175	320	402	host	yhjE
gene-b3730	15962	17036	14711	11707	8946	11475	6063	11299	5797	3772	2904	2824	host	glmU
gene-b3083	110	141	142	83	90	128	48	90	51	31	33	36	host	higB
gene-b2490	56	81	58	44	24	30	15	25	17	14	16	19	host	hyfJ
gene-b1058	3	13	10	5	3	6	2	3	7	2	2	5	host	yceO
gene-b3529	838	1064	838	698	371	489	283	468	263	196	181	227	host	pdeK
gene-b4401	14094	21311	15752	12635	7378	10205	5782	9893	6979	4453	4489	4666	host	arcA
gene-b0330	319	472	378	256	128	215	78	112	91	56	83	105	host	prpR
gene-b1861	1568	1705	1393	1215	675	967	576	1107	606	425	347	328	host	ruvA
gene-b4300	123	192	102	72	39	53	45	62	49	32	23	49	host	sgcR
gene-b0217	80	91	289	111	123	169	60	85	31	26	13	33	host	yafT
gene-b0331	51	56	60	35	27	27	23	25	28	21	15	21	host	prpB
gene-b1106	1400	1411	1112	880	434	600	377	728	463	276	300	329	host	thiK
gene-b2607	147606	176184	205816	159363	136396	189409	125446	244532	101568	65374	31446	31236	host	trmD
gene-b4457	75148	86594	57260	48871	37625	30352	18540	69026	24022	17086	16907	18632	host	csrC
gene-b2230	105	161	177	125	76	142	43	71	64	24	30	57	host	yfaA
gene-b3722	1061	1374	1032	791	565	682	570	914	533	347	291	338	host	bglF
gene-T7p08	7	10	23	3	74	161	28249	54204	84406	57432	37854	45108	phage	gene-T7p08
gene-b2678	2798	3408	2742	2607	996	1376	623	960	1137	801	1046	1152	host	proW
gene-T7p02	2	6	29	20	3713	5167	22541	42619	22605	15340	22164	26819	phage	gene-T7p02
gene-b2706	46	57	39	21	17	21	10	32	15	15	20	25	host	gutM
gene-b1752	115	108	104	76	32	45	23	54	32	13	17	32	host	ydjZ
