Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-EST35_0151	0.0	0.0	0.0	0.0	49.25088237412663	11.838813372058093	6.705067400404224	55.558451756562114	7.803944463363777	9.455598701102222	366.6921978443111	925.5918399011176	24.076205746144392	phage	gene-EST35_0151	2.2604074366941305	0	0	0
gene-EST35_0087	0.0	0.0	0.0	0.0	351.5990780090758	1735.8660106780178	2664.0451884969693	121.32449307469732	930.6876526394352	981.874850628948	53.6365586783952	428.6280310496948	430.3784454189162	phage	gene-EST35_0087	1.3158139264586	0	0	0
gene-EST35_0411	0.0	0.0	0.0	0.0	15.216451775552834	83.31564910585882	3.809697386593309	40.9032696003036	205.3244698464332	110.86346882886517	44.54338288279502	135.50008512685463	137.95015184277327	phage	gene-EST35_0411	1.0993881763126028	0	0	0
gene-EST35_0027	0.0	0.0	0.0	0.0	273.6260174313909	565.4513236829246	85.94677304154506	453.8002673659352	709.4861923330551	816.0592792038221	88.49373256152917	134.8492681954096	344.4849546488876	phage	gene-EST35_0027	1.0355673092615865	0	0	0
gene-EST35_0377	0.0	0.0	0.0	0.0	105.9749333717496	958.9438831367056	42.05905914799013	315.63325151464227	2406.0368085150185	1923.871741518465	59.76456845369096	674.636831135915	1541.788159322014	phage	gene-EST35_0377	1.301551445996206	0	0	0
gene-EST35_0013	0.0	0.0	0.0	0.0	67.34855578765396	183.05765176544824	19.20087482843028	190.006988553282	142.22016030647436	114.97459869890962	99.03654507816704	70.28822859606292	107.10658015717208	phage	gene-EST35_0013	0.8764759328190276	0	0	0
gene-EST35_0409	0.0	0.0	0.0	0.0	50.87156954548728	532.5986165754634	54.25009078508872	107.47133581256242	796.9441906293733	557.880323365031	90.86586537777268	583.2621339610332	604.6381183599289	phage	gene-EST35_0409	1.1105000809376355	0	0	0
gene-EST35_0461	0.0	0.0	0.0	0.0	0.0900381761867031	24.565537747020542	1.8286547455647884	0.0	228.7363032365245	159.64887662005924	0.0	71.72002584524198	141.59411811786538	phage	gene-EST35_0461	1.5534473447662294	0	0	0
gene-EST35_0307	0.0	0.0	0.0	0.0	65.27767773535979	96.48632898227343	3.809697386593309	148.7391621829222	231.2927678021092	173.90079350288	222.3215589446012	405.45894829025184	419.57668824632174	phage	gene-EST35_0307	1.0587336843337385	0	0	0
gene-EST35_0187	0.0	0.0	0.0	0.0	10.89461931859108	133.77859110425644	6.705067400404224	15497.30829508829	8751.854614129257	2885.3279804595254	14997.546160386752	5152.908136409146	7498.111319265455	phage	gene-EST35_0187	1.3137689836676532	0	0	0
