Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol
gene-b3411	433	444	235	941	593	428	99	86	19	82	39	33	30	16	host	rpnA
gene-b3716	171	211	110	323	246	192	74	104	23	71	29	7	10	4	host	cbrB
gene-b3905	192	223	67	301	192	123	40	39	16	38	13	6	14	2	host	rhaS
gene-b0944	420	437	205	592	317	245	88	66	15	66	42	19	28	7	host	ycbF
gene-b0073	2444	1599	1119	1792	882	956	409	643	128	262	236	122	117	54	host	leuB
gene-b0580	294	293	126	503	325	221	110	133	33	85	32	16	19	6	host	ybdJ
gene-b3723	14	8	7	28	24	9	7	12	0	5	2	1	2	0	host	bglG
gene-b3324	100	112	33	232	161	111	53	34	12	40	16	11	12	4	host	gspC
gene-b3672	2037	2096	847	2515	578	1528	596	712	105	377	189	110	175	19	host	ivbL
gene-b1645	2466	2488	1275	3662	2870	2097	641	590	152	455	264	139	253	60	host	ydhK
gene-b3221	192	192	97	548	405	232	50	52	18	38	22	10	12	5	host	nanQ
gene-b1653	4264	4021	1951	6254	4172	2481	1090	1002	309	707	362	246	335	105	host	lhr
gene-b2610	10597	13476	5216	13897	10240	7687	3726	3635	932	2269	1178	802	1134	340	host	ffh
gene-b0943	103	105	38	138	115	66	17	12	7	25	10	5	9	1	host	ycbV
gene-b3141	72	78	24	102	63	46	16	14	6	17	6	7	3	7	host	agaI
gene-b1724	585	866	324	1072	843	450	184	157	50	120	53	34	47	15	host	ydiZ
gene-b3541	1677	1496	739	1532	863	785	351	377	86	150	112	74	70	34	host	dppD
gene-b3656	1797	1659	782	3046	2164	1254	286	238	98	293	120	76	139	40	host	yicI
gene-b1693	2068	2554	1051	2896	1880	1410	490	630	153	331	260	111	130	50	host	aroD
gene-b0239	6202	7166	3079	8708	6100	4229	1188	1054	317	866	523	294	479	119	host	frsA
gene-b0292	67	65	25	86	49	29	17	13	4	9	5	3	1	0	host	ecpB
gene-b2991	633	1964	498	2620	3079	1344	905	859	204	539	251	129	235	49	host	hybF
gene-b4377	748	818	272	696	499	381	226	239	69	151	112	60	54	16	host	yjjU
gene-T4p174	1	12	883	78613	34684	13191	28582	12839	31170	44602	13756	1154343	1009513	657421	phage	22
gene-b3366	35790	54905	18002	75883	28577	23964	3529	5168	2098	2959	2715	2153	1984	750	host	nirD
gene-b0122	3237	2355	1223	6737	4943	3264	482	494	158	440	224	127	211	64	host	yacC
gene-b3166	11500	11669	4569	12443	8716	5934	4035	4879	1407	3263	1982	663	798	232	host	truB
gene-b0530	22	20	3	25	23	20	14	13	1	10	9	0	0	0	host	sfmA
gene-b3669	558	1102	326	741	620	464	337	264	62	167	68	51	78	25	host	uhpA
gene-b1718	115708	128343	54031	141883	98284	79435	46882	58521	13306	35261	18233	6417	8650	2797	host	infC
gene-b4078	1831	2177	799	2385	1809	1187	398	329	112	279	170	90	104	36	host	yjcO
gene-T4p272	0	0	9	5835	6123	5717	54044	57033	19001	50505	41599	1995	2753	1129	phage	ndd.3
gene-b1845	1852	2088	854	3008	2142	1480	509	444	131	390	182	113	171	51	host	ptrB
gene-b1428	287	274	127	498	393	257	49	57	11	47	28	15	13	9	host	ydcK
gene-b0138	36	52	20	69	56	39	40	40	13	26	23	2	6	3	host	yadM
gene-b1883	29	47	17	74	39	21	14	9	1	6	3	1	4	0	host	cheB
gene-b2688	17130	24472	10210	26051	20763	15002	6342	7134	1583	3947	2438	1010	1508	494	host	gshA
gene-b2169	43263	52721	21165	61144	33910	23055	6439	5954	2574	4931	3706	1749	2380	821	host	fruB
gene-b2251	4548	3862	2871	10030	7421	6059	969	1114	264	825	431	197	322	106	host	nudI
gene-b1841	3910	3161	1675	4452	2596	1832	388	448	163	398	237	121	211	53	host	yobA
gene-b1378	28166	40406	15143	47242	37281	22625	14524	15003	4320	9139	6300	2337	3684	1067	host	ydbK
gene-b0575	4993	21315	3378	24088	34229	11757	19422	9677	3710	10243	2567	1806	3530	510	host	cusA
gene-b1073	37369	33222	18546	49742	26288	21594	3831	5013	1567	3546	2661	1606	1948	709	host	flgB
gene-b2243	432	760	316	1059	1064	458	87	99	31	84	42	28	57	15	host	glpC
gene-b2022	1674	2068	904	2157	1460	1148	619	727	191	419	290	123	175	72	host	hisB
gene-b2303	2727	2423	1140	2747	1519	1375	362	521	109	320	200	82	106	59	host	folX
gene-b0488	1163	1039	589	1622	1184	692	235	215	69	163	120	62	84	30	host	ybbJ
gene-b1904	4178	3517	2260	5782	2967	2882	728	1185	243	497	427	186	235	92	host	yecR
gene-b0042	105	114	42	137	100	62	23	27	8	22	17	5	6	2	host	fixB
gene-b2216	1	0	0	1	1	0	1	0	0	0	0	0	0	0	host	rcsD
gene-b1807	1772	2445	966	3065	2724	2053	1098	971	208	627	268	172	258	79	host	tsaB
gene-b4797	191	236	90	307	215	160	49	56	13	48	19	8	15	4	host	yicU
gene-b0087	7743	7002	3113	9241	5421	4613	1614	1695	464	941	543	402	470	195	host	mraY
gene-b2896	3784	4027	1788	5862	4240	2562	910	856	252	687	382	180	248	78	host	ygfX
gene-b3329	87	77	33	167	114	68	24	8	5	15	6	8	7	1	host	gspH
gene-b0615	185	176	56	196	151	95	81	94	25	67	47	17	13	4	host	citF
gene-b1732	289	334	143	418	306	207	101	116	34	84	48	21	17	14	host	katE
gene-T4p255	1	1	48	10096	9433	9936	109396	99567	56898	139123	81246	27755	31697	15287	phage	asiA
gene-b1592	5378	6471	2395	9257	7674	4533	701	486	234	631	336	176	376	93	host	clcB
gene-b3226	5039	4563	2466	7889	5635	3616	752	732	293	751	402	234	322	98	host	nanR
gene-b4183	37	50	25	58	42	25	42	34	7	22	13	3	6	1	host	yjfK
gene-b3107	737	814	303	936	574	437	121	97	31	73	53	13	33	12	host	yhaL
gene-b2199	1423	5568	1375	6436	7362	3643	1309	1164	322	881	490	279	599	154	host	ccmC
gene-b2495	3304	3841	1750	4613	3566	2489	1268	1331	459	1002	543	187	310	94	host	yfgD
gene-b2466	517	637	298	1178	993	492	189	166	58	179	81	54	76	16	host	ypfG
gene-b0486	317	299	126	436	279	206	55	39	22	60	31	28	29	9	host	ybaT
gene-b1974	1850	1602	1141	2673	1378	1353	279	464	102	223	202	86	91	51	host	yodB
gene-b2901	4600	5660	2304	6463	4582	3032	1648	1706	466	1086	698	282	435	120	host	bglA
gene-b4374	2303	3188	1329	2811	2684	2214	846	862	237	619	314	193	269	78	host	yjjG
gene-b1706	3046	2262	1153	3248	1989	1455	463	462	161	346	195	120	148	63	host	selO
gene-b2440	249	281	110	310	190	124	43	50	15	37	9	13	19	7	host	eutC
gene-T4p171	0	2	387	14464	5909	2158	5643	2418	5887	8598	2505	634821	574650	336404	phage	68
gene-b2948	4355	4807	2162	5729	4292	3573	1374	1425	348	870	555	291	405	140	host	yqgE
gene-b4368	4543	7313	1347	9602	6969	4494	2021	1242	440	839	260	256	459	126	host	leuV
gene-b2525	3131	2678	1227	2704	1799	1423	849	763	199	485	278	143	183	64	host	fdx
gene-b2967	169	189	52	252	182	92	26	23	4	16	9	11	10	2	host	pheV
gene-b0445	982	872	406	1280	897	502	125	96	38	121	65	33	41	8	host	ybaE
gene-b4408	23871	27810	11992	47532	28907	20104	27006	20389	18879	42664	27173	30231	31498	19834	host	csrB
gene-b4127	94	134	49	244	200	110	56	51	10	37	27	5	10	7	host	yjdJ
gene-b0481	2482	3216	1251	3565	2758	1685	456	350	128	368	176	133	208	58	host	ybaK
gene-b3447	290	293	130	433	272	205	89	75	22	69	30	20	22	8	host	ggt
gene-b0222	8154	11403	4445	11753	8127	5689	1861	1850	548	1305	828	424	586	199	host	gmhA
gene-b0116	98664	78942	38656	89730	45527	44808	25792	34443	10143	20125	18424	5154	5893	2649	host	lpd
gene-b4094	119	128	58	144	85	58	37	20	4	21	8	13	12	2	host	phnN
gene-b2455	41	49	13	37	32	20	8	6	3	13	4	3	8	1	host	eutE
gene-b3618	0	2	0	0	0	0	0	0	0	1	1	0	0	0	host	htrL
gene-b4227	185	245	85	236	159	120	37	38	7	35	17	8	9	6	host	ytfQ
gene-b1116	4706	5639	2135	6452	5056	3718	1098	987	285	724	413	274	395	143	host	lolC
gene-b3106	94	115	45	163	94	59	36	24	9	19	5	4	5	4	host	yhaK
gene-b4106	38	55	24	80	50	39	19	7	5	12	2	4	8	2	host	phnC
gene-b3754	4831	4345	2280	9664	6643	3348	441	344	149	522	222	160	259	52	host	hsrA
gene-b2792	304	374	131	392	290	202	135	145	36	67	34	16	31	4	host	yqcC
gene-b2215	188	206	89	337	218	145	52	55	13	45	22	13	11	7	host	ompC
gene-b0210	1628	1768	907	3614	2469	1521	263	208	97	221	93	73	111	21	host	yafE
gene-b4800	311	378	143	479	290	222	96	75	22	54	28	12	18	7	host	ytgA
gene-b2235	6817	7683	3307	8815	7592	5810	3496	3294	979	2327	1164	368	552	192	host	nrdB
gene-b1953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	yodD
gene-b4336	1379	1909	795	2290	1772	1499	306	268	104	282	129	109	151	37	host	yjiN
gene-b2349	1	0	0	1	4	3	2	1	0	1	0	0	1	0	host	intS
gene-b0945	3269	4396	2067	3424	3115	2647	1194	1174	248	710	344	210	357	102	host	pyrD
gene-b4438	59	144	63	126	112	90	66	65	19	42	19	2	10	4	host	cyaR
gene-b0129	1060	1120	449	1862	1158	754	227	227	68	198	93	44	66	21	host	yadI
gene-b0995	768	807	329	1024	687	464	115	96	43	80	54	29	53	15	host	torR
gene-b0556	102	283	68	157	148	79	69	40	10	28	17	8	12	2	host	rzpD
gene-b2683	2437	2349	1220	3061	2682	1868	546	601	128	372	263	98	158	43	host	ygaH
gene-b1689	9	7	0	21	11	13	9	8	5	8	3	0	1	2	host	ydiL
gene-b1344	2290	3067	1226	3128	2531	1952	1764	1796	466	1244	549	213	240	95	host	ttcA
gene-b3018	2159	2166	876	2845	2053	1521	468	521	115	287	193	91	167	51	host	plsC
gene-b0194	27894	32639	13575	27863	24902	20777	14511	17360	3679	8206	5221	1915	2686	971	host	proS
gene-b1833	1960	1914	1043	3527	2594	1803	417	396	131	351	167	99	173	40	host	letA
gene-b2805	1186	1305	548	1768	1379	956	192	150	54	160	74	58	69	29	host	fucR
gene-b1002	1143	1411	503	2346	1747	823	333	252	118	266	146	61	107	24	host	agp
gene-b2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	wbbI
gene-b2443	0	1	0	0	1	0	0	0	0	0	0	0	0	0	host	yffL
gene-b1806	1432	2250	812	2401	1814	1289	1077	905	217	596	278	145	230	75	host	yeaY
gene-b2779	203120	295477	99989	352181	285419	167409	132324	126440	49392	115122	75005	14484	21359	6557	host	eno
gene-b3072	791	848	314	1037	709	424	190	170	50	133	78	54	73	15	host	aer
gene-b4514	1	0	3	4	2	0	0	3	0	0	0	0	0	0	host	ybfQ
gene-b1614	5439	7650	3001	7574	5823	4015	1833	2156	572	1460	785	327	470	150	host	ydgA
gene-b1621	1398	1269	580	2886	1959	1218	353	336	91	222	128	63	93	21	host	malX
gene-b3131	2261	2309	886	2960	1681	1249	337	432	135	281	169	98	119	35	host	agaR
gene-b1758	582	870	393	1204	1030	741	208	212	53	132	95	38	54	14	host	ynjF
gene-b1521	696	921	327	1283	1114	692	235	250	63	166	100	37	68	12	host	uxaB
gene-b2517	6700	11024	4562	9986	9171	8101	6218	6293	1185	3320	1365	716	1160	314	host	rlmN
gene-b3870	58613	29727	21108	49144	34320	26703	10449	11249	2591	7001	4154	2368	3067	1279	host	glnA
gene-b4326	480	845	200	572	424	223	73	54	30	73	30	21	26	4	host	iraD
gene-b2989	2062	2875	1195	3510	3174	1812	766	799	222	591	383	137	227	60	host	yghU
gene-b3818	40	59	24	66	53	29	24	23	6	12	3	2	2	0	host	yigG
gene-b2373	88	122	33	163	91	54	43	48	8	36	16	14	9	2	host	oxc
gene-b1685	1611	2202	980	3871	2768	1642	696	751	242	617	375	106	206	38	host	ydiH
gene-b4677	2	3	0	2	5	0	3	4	2	7	4	1	0	1	host	yobI
gene-b0360	13	12	6	21	12	4	2	3	1	2	0	0	1	0	host	insC1
gene-b1497	48	51	21	91	53	44	33	30	6	10	11	2	4	2	host	ydeM
gene-b2202	3458	14763	4005	17290	15137	9346	2914	4062	892	2063	1208	669	1157	302	host	napC
gene-b3098	4149	5624	2302	6620	5184	3508	1481	1505	426	1038	723	271	421	130	host	yqjD
gene-b3848	5359	5907	2881	8099	5808	3882	1429	1556	471	1055	706	319	474	148	host	yigZ
gene-b0288	310	526	150	809	606	363	253	243	55	172	92	23	38	12	host	ykgJ
gene-b4702	47	204	16	49	33	26	41	8	3	8	2	1	2	0	host	mgtL
gene-b1887	210	163	60	235	148	100	42	38	12	33	11	7	8	2	host	cheW
gene-b3578	57	53	17	74	53	34	36	19	5	18	1	5	8	0	host	yiaN
gene-b3885	1466	1531	645	2244	1342	848	243	171	75	201	111	68	106	36	host	yihX
gene-b0849	365	438	160	938	769	336	84	61	26	65	33	15	37	4	host	grxA
gene-b0365	338	396	158	294	359	197	87	47	20	86	31	15	33	12	host	tauA
gene-b0328	148	144	63	379	297	170	83	79	11	48	16	5	12	2	host	yahN
gene-T4p032	0	1	26	89	54	32	39214	28641	55460	126163	63143	18268	22520	10131	phage	gene-T4p032_gene_dam
gene-b1501	259	306	109	392	266	192	75	66	24	69	48	25	17	13	host	ydeP
gene-b4393	1273	1437	578	1873	1423	914	284	223	69	213	117	56	85	29	host	trpR
gene-b0963	6148	8364	3172	10990	7766	4538	1790	1746	645	1510	1002	317	507	115	host	mgsA
gene-b0112	7164	7192	3874	8980	5736	4735	1034	1211	302	796	497	315	407	118	host	aroP
gene-b2667	270	263	111	351	255	152	80	84	16	55	21	15	14	5	host	ygaV
gene-b2728	4838	7078	2394	9720	6521	3427	2034	1575	473	1095	537	345	625	121	host	hypC
gene-b0517	33	44	15	46	39	36	30	29	9	28	17	1	3	1	host	allD
gene-b0141	25	41	21	46	45	29	58	44	5	22	4	1	7	1	host	yadN
gene-b1767	1779	2418	913	2439	1974	1711	881	953	172	458	259	160	159	76	host	ansA
gene-b0380	161	151	87	284	207	149	51	55	18	56	15	7	7	1	host	yaiZ
gene-b0810	5015	5516	3477	7728	3785	3394	1051	1062	299	740	498	287	389	141	host	glnP
gene-b0437	14446	16191	7019	17234	10794	8107	2955	3038	854	2227	1328	617	1023	323	host	clpP
