Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol
gene-b2751	10267	10866	5677	9533	15544	6088	5111	2794	854	2901	1421	633	1422	338	host	cysN
gene-b1314	88	111	35	104	73	44	28	17	5	21	9	5	8	2	host	ycjR
gene-b1821	1691	3221	1202	6584	5665	3613	1001	1036	349	915	444	261	450	107	host	mntP
gene-b4418	2455	3266	1637	3663	2095	2670	868	1038	173	541	305	113	156	42	host	sraB
gene-b1084	48452	53991	26044	65801	48883	38061	17168	20982	4188	8978	6024	3022	3910	1220	host	rne
gene-b1163	284	285	166	576	445	426	287	368	57	152	83	39	51	13	host	bluF
gene-b0472	17364	18053	8626	21252	17816	12234	6325	7686	1950	4367	3060	914	1253	440	host	recR
gene-b3628	0	1	0	0	0	0	1	0	0	1	0	0	0	0	host	waaB
gene-b2586	604	846	367	954	731	503	232	211	46	130	79	39	59	26	host	yfiM
gene-b0737	3734	5994	2176	6016	4364	3969	1840	1640	426	1046	471	342	511	149	host	tolQ
gene-b0882	60413	92007	29541	105707	66288	42178	11674	9888	3555	9432	4709	3450	5101	1419	host	clpA
gene-b1151	1	0	1	1	1	0	0	0	0	0	0	0	0	0	host	beeE
gene-b4141	1289	1310	507	2397	1684	1106	253	223	69	192	112	70	99	28	host	yjeH
gene-b3682	104	113	47	189	119	80	26	29	14	23	10	3	6	1	host	glvB
gene-b1014	13989	6496	5532	7547	3094	3654	1294	2539	677	980	1235	384	358	204	host	putA
gene-b3169	36901	46077	18542	44766	32717	29292	29497	27918	7198	16525	8915	3290	4548	1441	host	nusA
gene-b4421	528	653	258	889	734	472	227	293	66	181	101	34	53	15	host	ldrB
gene-b3427	7	8	4	15	9	9	13	6	1	6	2	2	0	0	host	yzgL
gene-b1126	3518	4859	2006	5471	4723	3957	2331	2777	550	1301	647	291	412	145	host	potA
gene-b0583	168	138	54	229	159	113	28	23	6	16	11	3	10	6	host	entD
gene-b1766	7478	9281	4056	9254	6952	5906	2476	3107	560	1399	929	482	608	216	host	sppA
gene-b1403	12	13	5	13	10	4	2	2	1	0	0	1	0	0	host	insC2
gene-b3344	1232	1575	676	2260	1818	1243	274	248	90	255	110	86	140	42	host	tusC
gene-b3157	16416	20993	7491	26028	16205	9269	1532	1283	610	1666	978	617	830	280	host	ubiT
gene-T4p055	0	0	18	240	284	241	14997	10549	21379	49913	22564	23894	28162	11916	phage	46.1
gene-T4p242	0	2	9	9400	9115	8416	43688	50341	12269	29772	23858	6520	9997	3966	phage	frd.3
gene-b0652	1363	1526	759	2133	1038	883	242	307	73	177	126	60	69	23	host	gltL
gene-b2288	22954	29374	13647	36420	24551	17385	4544	5881	1133	2960	1902	871	1500	434	host	nuoA
gene-b3433	22159	26181	10117	27209	20179	12862	8244	8823	2861	6726	4779	1400	1981	706	host	asd
gene-b4311	45	37	11	81	62	45	40	36	9	36	13	3	4	1	host	nanC
gene-b0334	89	84	34	122	79	39	21	19	7	17	9	6	7	4	host	prpD
gene-b1083	11077	11455	5862	15262	11692	9442	4285	5643	1184	2637	1709	736	919	336	host	flgL
gene-b3741	7529	12784	4429	10182	7832	8102	6599	5381	1239	3061	1339	807	1199	411	host	mnmG
gene-T4p262	0	4	43	20962	21442	21617	219082	246073	84319	214880	141855	12059	17532	5720	phage	motA
gene-b0781	21753	15524	7512	22574	13421	7394	1385	1451	568	1489	876	452	605	146	host	moaA
gene-b3116	329	367	118	504	329	216	111	102	28	95	58	16	32	10	host	tdcC
gene-b2578	695	960	404	2177	1710	712	242	269	85	248	131	47	105	19	host	eamB
gene-b2317	2619	2232	1072	2767	1716	1371	734	839	244	451	247	138	207	83	host	dedA
gene-b1725	2638	3658	1437	5487	4307	2246	689	615	201	494	303	146	232	72	host	yniA
gene-b0618	450	547	233	984	653	385	127	156	43	102	55	26	33	6	host	citC
gene-b1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	flxA
gene-b2152	3166	3493	1586	4741	3607	2535	757	812	271	555	342	177	243	82	host	yeiB
gene-b0843	586	567	303	689	532	374	216	228	44	115	62	30	42	13	host	ybjH
gene-b1326	1983	2510	999	3225	2697	1626	526	448	150	405	218	119	204	60	host	mpaA
gene-b2147	161	289	134	384	332	196	106	77	17	67	36	17	23	6	host	preA
gene-T4p041	0	5	207	1385	679	307	123954	68882	216713	472235	248197	266444	258937	126408	phage	uvsX
gene-b0683	14314	17378	7102	21871	17160	12497	4914	5212	1139	3112	1498	780	1176	325	host	fur
gene-b1602	6261	6042	2696	7325	3853	3410	953	1221	327	673	466	322	346	122	host	pntB
gene-b1357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	ydaS
gene-b0622	621	527	284	968	589	456	79	82	26	76	41	27	24	19	host	pagP
gene-b0845	1647	1489	801	2077	1364	1225	326	386	100	264	150	83	147	47	host	ybjJ
gene-b1153	0	0	0	1	0	1	0	0	0	0	0	0	0	0	host	ymfQ
gene-b1773	27	37	17	34	32	19	22	15	4	6	8	3	1	1	host	ydjI
gene-b1168	52	79	21	119	77	71	41	45	12	42	12	4	12	3	host	pdeG
gene-b2304	5026	4125	2055	5316	3211	2705	826	1036	293	684	459	217	286	76	host	yfcH
gene-b3705	35717	47347	21888	44725	40804	41765	26942	28910	5308	13173	6773	3363	4872	1519	host	yidC
gene-b0554	162	100	55	305	219	128	37	25	5	21	13	6	9	1	host	essD
gene-b2166	15	30	1	40	24	20	10	11	4	14	3	4	0	0	host	psuK
gene-b0383	180	220	84	277	218	153	51	42	15	37	24	4	25	5	host	phoA
gene-b1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	host	insH6
gene-b0467	1995	1873	835	2889	1993	1228	407	372	125	305	199	91	160	44	host	priC
gene-b0823	517	525	188	820	577	346	114	126	43	102	68	23	38	19	host	ybiW
gene-b2239	794	945	366	1367	909	609	142	126	41	92	71	27	35	16	host	glpQ
gene-b0940	293	321	115	550	350	227	180	158	32	98	47	11	37	9	host	elfC
gene-b3405	14732	17225	6594	18111	12593	7686	2452	2355	739	1915	1095	646	1068	259	host	ompR
gene-b1538	4117	4613	1827	5450	3340	2468	645	700	207	507	326	194	285	77	host	dcp
gene-b2297	77562	115691	45579	138035	130242	78865	51556	56198	12843	31437	21043	6831	11871	3134	host	pta
gene-b2780	59214	70176	27638	161461	54753	41906	17354	18263	4552	10905	6073	2812	4083	1199	host	pyrG
gene-b2577	528	771	258	1222	997	515	212	173	51	159	58	35	70	14	host	yfiE
gene-b4129	13010	21268	7322	28915	23222	12521	7313	6362	2078	5402	3122	871	1389	347	host	lysU
gene-b2089	749	703	306	1042	697	436	178	159	53	143	75	29	53	14	host	insF5
gene-b1851	3929	5560	2022	6107	4638	2813	1675	1508	428	1079	642	276	444	88	host	edd
gene-b0908	10094	11897	5953	11525	9791	8924	3315	4379	808	2212	1544	640	919	363	host	aroA
gene-b0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	yafW
gene-b0929	1632773	1693369	843077	2439275	1404005	1114174	839617	1038429	411864	884710	764408	312547	313987	140123	host	ompF
gene-b2745	5836	5495	2552	5797	4084	3261	1760	1619	369	947	513	253	429	133	host	truD
gene-b1333	11189	13505	5709	20162	11997	6560	1156	1027	504	1173	658	407	629	178	host	uspE
gene-b1412	1620	1931	795	1867	1447	1037	491	593	165	416	292	78	124	40	host	azoR
gene-b3561	456	503	208	981	682	480	101	110	28	83	45	21	29	12	host	wecH
gene-T4p021	0	1	19	4393	5003	4813	43329	53842	20935	46693	29302	10039	10970	4060	phage	modB
gene-b3565	280	346	112	391	266	158	59	58	10	54	33	14	27	9	host	xylA
gene-b2272	32	28	11	46	29	16	8	9	3	3	5	0	2	1	host	yfbM
gene-b3203	7188	9983	3926	11544	7359	5029	1478	1491	473	1239	644	342	453	173	host	hpf
gene-T4p212	0	1	395	6562	2628	1543	89201	64017	142046	294675	149394	739871	664217	269513	phage	30.9
gene-b3999	5873	7346	2959	8870	6882	4483	1878	1905	394	1395	605	338	497	161	host	yjaG
gene-b3861	341	555	239	857	728	572	334	329	71	218	116	37	60	19	host	yihF
gene-b2335	33	39	20	41	38	26	13	16	3	10	3	2	1	0	host	yfcR
gene-b1154	0	2	0	0	0	0	0	0	0	0	0	0	0	0	host	ycfK
gene-b2164	157	149	59	271	218	123	38	36	10	24	12	4	7	0	host	psuT
gene-b0244	282	270	136	469	190	218	84	92	13	55	27	16	19	6	host	thrW
gene-b1111	1377	1611	572	1765	1014	682	201	177	73	167	78	50	90	30	host	comR
gene-b1291	2113	2813	1202	3548	2738	1645	581	606	143	397	214	121	191	65	host	sapD
gene-b1811	1154	1348	605	2079	1524	1046	322	343	111	325	169	70	94	33	host	yoaH
gene-b4502	602	952	365	1209	962	672	216	216	43	142	71	39	63	19	host	yeiW
gene-b3270	112	139	59	153	101	72	31	35	5	17	13	5	6	1	host	yhdY
gene-b4264	597	687	245	974	714	486	118	74	31	86	46	21	40	10	host	idnR
gene-b1330	423	598	246	823	634	453	144	136	41	103	55	22	41	14	host	ynaI
gene-b1868	1163	1535	767	2008	1612	1073	433	514	140	305	257	68	96	32	host	yecE
gene-b2048	885	870	390	1130	834	602	391	415	108	224	128	53	82	25	host	cpsG
gene-b3114	462	487	190	655	500	256	146	115	27	85	40	24	32	13	host	tdcE
gene-b2427	192	133	79	187	115	88	14	11	5	21	7	10	9	4	host	murR
gene-b3693	573	555	255	749	454	332	102	100	38	70	52	23	35	14	host	dgoK
gene-b2072	33	44	11	66	56	25	9	9	1	8	4	1	1	0	host	pphC
gene-b2171	2484	3873	1261	3512	2909	2223	1414	1583	400	953	619	197	278	87	host	yeiP
gene-b1512	1	0	0	1	0	0	0	0	0	0	0	0	0	0	host	lsrR
gene-b4431	11	13	6	27	19	16	5	6	2	2	5	1	1	1	host	rprA
gene-b2015	1734	1987	950	2869	2148	1359	321	301	103	274	139	101	139	37	host	yeeY
gene-b3820	192	212	115	378	234	164	137	138	21	72	30	23	43	9	host	yigI
gene-b1446	4221	4724	1866	5792	3318	2330	787	690	198	571	318	166	234	67	host	ydcY
gene-b1440	125	153	54	190	128	67	51	24	9	22	9	3	10	0	host	ydcS
gene-b4266	145	144	39	276	175	107	47	30	16	37	23	6	12	4	host	idnO
gene-b0127	4721	6901	2214	8102	5298	3758	1379	1285	392	939	435	314	418	158	host	yadG
gene-b2051	16	26	5	19	20	14	10	6	5	5	1	1	5	0	host	gmm
gene-b0762	1398	1629	508	2255	1093	1027	711	513	127	442	189	100	131	40	host	acrZ
gene-T4p079	0	0	68	615	311	208	36776	27373	40592	98495	45409	60485	68870	29485	phage	49
gene-b3159	10296	18701	6341	18316	16564	12517	3215	4067	786	2011	1308	764	1070	308	host	ubiV
gene-b0889	14102	18606	8582	23551	15316	12596	3149	4794	918	2303	1684	582	781	335	host	lrp
gene-b1864	9859	10201	4045	11491	8535	5807	3793	4040	1167	2844	1629	656	824	303	host	yebC
gene-b4506	125	135	55	197	120	118	23	33	8	25	7	3	4	5	host	ykgO
gene-b3318	177069	102334	61101	113460	55781	62282	25444	36204	6938	16780	10090	4154	4922	2544	host	rplW
gene-b4603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	rseX
gene-b3440	8802	11846	4670	14324	10085	6423	1796	1943	547	1640	924	462	803	215	host	yhhX
gene-b3804	6245	6597	3142	9357	6714	4661	1056	1104	332	871	501	261	439	129	host	hemD
gene-b0400	508	570	259	686	541	392	171	135	39	110	57	30	48	14	host	phoR
gene-b1537	216	213	80	281	259	143	66	70	23	37	26	10	18	5	host	ydeJ
gene-b0131	14479	17466	6162	13819	10674	7459	2725	2691	777	1939	1192	643	884	328	host	panD
gene-b4381	2606	3289	1157	3493	2365	1392	719	742	234	574	361	170	209	66	host	deoC
gene-b4669	552	1589	233	619	282	310	64	51	13	35	14	14	22	6	host	ilvX
gene-b1909	10566	12936	4087	24543	18463	12369	3552	2998	550	1496	615	323	376	115	host	leuZ
gene-T4p114	0	6	123	850	403	184	78797	55855	91536	185111	110698	150550	146315	72763	phage	vs.3
gene-b0998	271	244	125	450	311	183	44	38	15	41	20	10	12	4	host	torD
gene-b3963	5502	6423	2279	7388	5412	3673	919	802	291	755	437	250	389	92	host	fabR
gene-b2324	3714	4088	1987	5370	3624	2732	754	633	192	539	267	167	305	74	host	mnmC
gene-b2647	1	2	1	6	3	1	1	2	0	2	3	1	0	1	host	ypjA
gene-b1036	3467	4273	1697	4884	3947	2756	1523	1576	304	862	453	174	254	88	host	ycdZ
gene-b3911	8277	8426	4464	12866	9734	6405	1504	1622	467	1275	765	429	639	188	host	cpxA
gene-b3752	1347	1370	536	1840	1269	842	205	207	68	172	104	57	91	25	host	rbsK
gene-b2983	98	87	35	123	88	70	20	17	8	15	6	5	6	1	host	yghQ
gene-b2590	691	1742	629	1341	822	1110	1185	871	150	521	230	132	204	46	host	gltW
gene-b4682	0	1	1	2	1	2	1	3	1	2	0	0	0	0	host	yqcG
gene-b4476	552	583	255	783	561	374	166	188	45	132	65	36	52	15	host	gntU
gene-b0377	982	1113	485	1810	1119	918	296	294	82	214	117	60	85	39	host	sbmA
gene-b0971	61	76	38	136	68	77	74	40	7	33	17	26	37	8	host	serT
gene-b4452	48	57	39	121	117	77	32	19	10	17	16	12	10	1	host	gadY
gene-b2870	103	73	36	197	167	95	31	26	5	23	5	6	10	3	host	ygeW
gene-b3067	28042	33729	13579	32820	26108	21062	14720	15653	3981	9179	5049	2172	2857	1009	host	rpoD
gene-b4063	323	353	145	476	361	225	121	103	29	89	48	15	20	4	host	soxR
gene-b0385	383	368	220	616	434	345	127	91	33	77	54	23	29	10	host	dgcC
gene-b2010	500	561	220	784	569	425	136	169	46	109	57	29	32	11	host	dacD
gene-b0996	99	127	32	125	86	67	13	19	4	16	7	4	7	5	host	torC
gene-b2293	19023	29833	11753	35589	31041	17783	4349	3904	1266	3719	1988	1097	1822	478	host	hxpA
gene-b3357	26413	35113	13070	39119	28405	17307	2954	3050	1051	3193	1677	1062	1655	510	host	crp
gene-b1109	4960	6874	2501	8859	6927	5664	4333	3091	1009	3118	1696	638	922	287	host	ndh
gene-b3525	101	100	40	145	86	66	16	18	7	22	9	3	4	2	host	pdeH
gene-b0080	6437	8355	3390	10032	7606	4967	1688	1788	491	1152	685	410	508	184	host	cra
gene-b0038	194	272	113	479	423	210	96	58	20	50	30	18	27	8	host	caiB
gene-b3301	264619	148379	68517	176796	67888	66477	28488	40973	9774	20630	14658	6133	6148	3637	host	rplO
gene-b3248	2810	2683	1261	4168	3158	2247	827	856	175	466	231	133	187	73	host	yhdE
gene-b0242	13600	15907	6118	13654	10718	8704	3463	3954	757	1893	1281	788	1087	336	host	proB
gene-b1245	42046	41821	22754	59029	35993	28396	8461	10633	2229	5286	3504	2877	2690	977	host	oppC
gene-b2294	15445	22901	8716	28616	23084	13885	3007	2715	910	2813	1655	816	1364	363	host	yfbU
gene-b2465	997	1317	529	1493	1110	726	364	428	115	244	181	114	120	40	host	tktB
gene-b1569	3	6	1	11	5	2	5	0	0	1	0	0	0	1	host	dicC
gene-b4515	10082	17791	6747	23206	17556	11154	5931	6576	1397	3840	2270	954	1324	410	host	cydX
gene-b3802	6677	9495	3550	9361	7159	5098	2202	2177	479	1266	743	469	738	206	host	hemY
gene-b4027	52	61	15	58	38	19	11	11	0	4	6	3	3	1	host	yjbF
gene-b1261	1940	2602	1109	2646	1676	1359	675	935	243	527	378	159	184	77	host	trpB
gene-b1505	27	19	13	39	32	27	16	21	5	19	9	1	3	2	host	ydeT
gene-b2198	678	2186	509	2268	2746	1446	671	516	123	367	196	120	278	70	host	ccmD
gene-b3715	1224	1389	789	1627	1203	1082	498	787	165	483	375	79	133	57	host	yieH
gene-b0953	1382	1934	636	3199	1689	1074	567	482	296	536	322	246	261	113	host	rmf
gene-b2733	4621	5714	2490	5041	4112	3498	1716	1996	431	955	604	279	392	113	host	mutS
gene-b1061	658	687	364	773	501	421	185	166	47	138	77	44	53	15	host	dinI
gene-b2754	0	0	0	0	1	0	0	0	0	0	0	0	0	0	host	cas2
gene-b4315	23	24	6	53	24	23	8	12	1	9	4	1	2	1	host	fimI
gene-b0044	11	10	5	27	14	7	4	4	1	3	4	1	2	0	host	fixX
gene-b1722	843	1066	517	1279	944	925	693	835	164	346	242	83	85	34	host	ydiY
gene-b4300	650	779	283	1067	804	498	162	143	37	127	60	27	50	13	host	sgcR
gene-b1188	485	463	217	891	526	319	118	93	31	126	52	34	44	21	host	ycgB
gene-b2692	7482	11926	3545	16975	15418	8857	2353	2086	483	1293	564	359	598	162	host	argZ
gene-b2101	713	937	383	1132	925	627	228	193	46	151	78	55	58	25	host	yegW
gene-T4p058	0	0	13	79	32	21	9731	6504	14246	32867	15682	13088	15623	7385	phage	47.1
gene-b4501	0	0	0	0	1	0	0	0	0	0	0	0	0	0	host	torI
gene-b2270	0	2	2	3	3	1	0	1	0	2	2	1	0	0	host	yfbK
gene-b0674	6494	7752	3243	8251	5352	4241	1309	1409	410	969	717	290	390	134	host	asnB
gene-b1668	419	490	218	1039	862	404	173	184	33	121	49	16	48	7	host	ydhS
gene-T4p140	0	0	74	2151	950	412	1170	607	1282	2326	872	59650	57295	37868	phage	3
gene-b3102	423	559	230	633	484	309	144	101	35	80	47	25	24	11	host	yqjG
gene-b4376	526	516	206	646	379	298	187	192	76	148	95	45	61	22	host	osmY
gene-b2007	17500	26347	9284	33094	24633	15247	4429	4070	1364	4044	2408	840	1422	325	host	tmaR
gene-b3897	333	345	147	513	341	236	104	101	27	81	48	17	28	4	host	frvR
gene-b1688	2299	2680	1197	3226	2158	1722	530	559	118	345	248	137	184	54	host	ydiK
gene-T4p250	0	3	32	4216	2058	859	3906	1932	8252	16672	6999	29685	25766	23080	phage	35
gene-b0180	9422	12258	5217	14154	11038	8150	4916	5624	1243	2913	1694	622	913	328	host	fabZ
gene-b3181	3242	5113	1991	6326	5194	3592	3062	2467	689	1600	786	291	432	119	host	greA
gene-b2497	1805	1293	762	1273	772	706	460	413	107	257	143	81	100	63	host	uraA
gene-b3890	73	107	46	169	87	70	24	35	5	18	10	5	6	2	host	yiiF
gene-b3306	121559	68747	36138	63697	42305	46398	24460	34198	6273	15128	9280	3444	4377	2106	host	rpsH
gene-b3698	322	482	153	428	312	228	120	105	16	59	37	6	22	4	host	yidB
gene-b2611	6137	5807	2836	9562	6829	4318	951	882	304	834	444	304	445	119	host	ypjD
gene-b1038	8	12	6	21	18	8	11	9	0	3	1	2	3	0	host	csgF
gene-T4p026	0	0	19	273	347	394	47182	40926	37108	85221	50445	11318	12578	5254	phage	mrh
gene-b2200	1519	5032	1700	7336	6666	3769	1041	1182	293	687	415	256	445	114	host	ccmB
gene-b2306	2631	2370	1163	2997	1463	1337	344	449	118	245	169	117	134	53	host	hisP
gene-b2453	84	99	36	92	42	35	23	17	0	16	10	3	9	2	host	eutG
gene-b2079	1997	2196	880	2594	1854	1291	303	279	85	280	158	123	150	48	host	baeR
gene-T4p191	1	0	42	1245	499	203	492	237	710	1301	413	50566	47862	29271	phage	51
gene-b1529	1261	1259	484	1849	1391	885	227	189	69	204	104	50	92	32	host	marC
gene-b2898	12501	14311	5151	14323	8340	5351	2585	2199	626	1653	975	659	921	260	host	ygfZ
gene-b1613	7523	11011	4324	12227	8915	5736	1829	1981	543	1455	924	361	533	166	host	manA
gene-b0921	3457	3967	1502	4778	3426	2447	685	607	175	479	252	150	226	96	host	cmoM
gene-b0399	449	566	198	670	504	347	147	109	24	99	45	24	43	16	host	phoB
gene-b2609	38280	25771	12291	26965	15945	14786	15738	16892	4855	12492	6581	2223	2912	991	host	rpsP
gene-b3255	13391	14316	7208	12850	9683	10157	4568	6010	1143	2559	1561	743	975	428	host	accB
gene-b0697	202	184	84	259	195	114	25	20	19	25	16	11	11	6	host	kdpB
gene-b1316	191	168	80	246	176	114	30	28	12	23	18	10	13	5	host	ycjT
gene-b0632	9067	10845	4298	10988	8313	7128	2526	2842	615	1523	800	562	748	221	host	dacA
gene-b3637	76788	112833	45360	127584	102896	79608	30122	32922	6092	17882	8076	4542	6305	1886	host	rpmB
gene-b1502	9	15	6	13	12	7	11	10	4	6	7	0	1	0	host	ydeQ
gene-b3040	4267	4345	1827	6370	3976	2556	541	544	211	560	286	170	262	73	host	zupT
gene-b0241	177	153	96	360	240	169	55	45	16	50	27	12	17	4	host	phoE
gene-b4453	878	1009	357	1136	940	549	425	366	150	336	186	114	145	53	host	ldrD
gene-b1884	95	80	36	158	101	51	14	20	7	15	8	5	7	1	host	cheR
gene-b0336	2867	1471	1122	1230	629	734	451	357	96	244	150	76	118	60	host	codB
gene-b0348	47	52	19	45	45	29	17	10	7	10	6	5	6	0	host	mhpB
gene-b0040	51	80	30	76	52	20	13	14	4	14	2	5	6	2	host	caiT
gene-b0749	1291	3089	1018	3330	3478	2018	748	596	125	468	134	104	192	35	host	lysQ
gene-b0317	8	18	4	12	10	11	6	3	3	4	0	2	1	0	host	yahC
gene-b3838	17592	22794	9034	27529	21717	15223	2979	3083	918	2448	1423	845	1215	366	host	tatB
gene-b3749	184	177	87	286	201	107	33	34	9	33	16	5	15	4	host	rbsA
gene-b0744	8431	18387	5289	21467	22688	12311	7441	6828	2091	4855	1839	1194	1609	453	host	valT
gene-b0570	1431	3514	894	5012	4003	1814	684	417	182	544	168	213	326	50	host	cusS
gene-b1257	59	150	61	203	185	144	31	38	10	16	18	1	14	1	host	yciE
gene-b0436	113914	123084	61323	130162	93074	82731	56090	70695	18558	43142	30755	7527	9995	3411	host	tig
gene-b2816	4076	6619	2160	9596	10111	5757	12315	8365	4404	9881	3908	2920	3189	895	host	metV
gene-b1747	215	122	84	186	107	77	31	32	9	21	16	6	9	6	host	astA
gene-b2196	1335	4173	994	4745	6987	3665	2587	1871	480	1504	713	333	802	221	host	ccmF
gene-b3034	1750	2060	876	2657	1891	1393	541	580	125	386	197	107	147	56	host	nudF
gene-T4p205	1	3	54	127	77	158	152645	149272	107999	243582	163414	22452	27992	11285	phage	30.3
gene-b4523	1975	3175	816	3616	2380	1466	416	356	98	318	151	118	140	50	host	yciX
gene-b2323	25343	35897	13057	33724	20212	16924	4832	3917	1370	3472	1958	1324	1886	685	host	fabB
gene-b3308	207043	142295	69113	131043	93630	93015	59182	79757	15039	36082	21115	7097	9229	4060	host	rplE
gene-b0152	566	370	189	443	290	206	76	55	16	47	24	20	31	7	host	fhuD
gene-b0386	5964	7201	2802	6291	4178	3256	996	941	307	756	502	279	392	132	host	proC
gene-b2449	0	0	0	0	1	0	0	0	0	0	0	0	0	0	host	yffR
gene-b1341	530	594	276	949	696	407	133	124	36	113	44	28	48	14	host	dgcM
gene-b1955	0	0	0	2	0	0	0	0	0	0	0	0	0	0	host	yedP
gene-b2819	3288	3789	1837	5029	4160	2494	819	876	216	569	353	187	264	88	host	recD
gene-b3633	3031	3498	1628	4988	3969	3006	866	906	245	651	318	198	299	95	host	waaA
gene-b0656	0	1	0	0	0	0	1	0	0	1	0	0	0	0	host	insH3
gene-b1297	501	352	194	416	293	221	116	113	25	87	28	30	33	10	host	puuA
gene-b2922	3518	3917	1531	3819	2501	1804	637	578	162	459	284	154	213	74	host	yggE
gene-b1701	204	228	75	301	207	101	62	66	13	26	19	7	15	6	host	fadK
gene-b4204	1	0	1	0	0	0	0	0	0	0	0	0	0	0	host	yjfZ
gene-b4437	352	421	137	564	315	223	91	124	42	110	64	31	30	14	host	sibB
gene-b1106	3559	4279	1780	5623	4243	2620	1080	1021	280	729	409	205	348	98	host	thiK
gene-b2513	7495	9927	3987	9695	6791	6107	3707	3823	763	1793	917	493	772	253	host	yfgM
gene-b3847	19569	23738	11125	27410	19927	13620	4908	5545	1586	3939	2648	1058	1694	548	host	pepQ
gene-b3842	1633	2149	836	3713	3046	1920	895	635	172	504	223	153	209	42	host	rfaH
gene-b1711	1474	1629	625	2200	1506	990	310	305	101	221	124	89	98	21	host	btuC
gene-b0301	12	16	8	28	22	20	11	7	0	10	2	2	1	1	host	rclC
gene-b1967	174	160	60	489	433	213	86	82	17	75	27	10	25	2	host	hchA
gene-b0052	6611	8555	3780	10712	8427	5432	2658	2937	701	1703	921	407	600	182	host	pdxA
gene-b0904	27926	45435	18231	55290	36836	30424	7776	8809	2392	6883	4082	1426	2144	646	host	focA
gene-b1087	1930	2590	1063	3267	2521	1571	674	601	186	454	280	88	172	44	host	yceF
gene-b2478	32737	40267	16514	47430	34659	24331	5078	5207	1429	4434	2538	1492	2325	700	host	dapA
gene-b4330	121	110	55	182	147	97	48	34	10	49	19	12	15	2	host	yjiH
gene-b1475	554	1025	419	1260	818	663	164	260	62	139	114	57	62	29	host	fdnH
gene-b2890	23524	29141	13037	29648	24009	20136	12765	15699	3595	7131	4818	1696	2109	807	host	lysS
gene-b1757	9257	21356	7149	17673	20485	12703	7205	7963	1940	4855	3552	1020	1721	476	host	ynjE
gene-b2276	44383	49161	21251	50290	37253	27087	13043	15239	2956	8072	5410	2484	3975	1269	host	nuoN
gene-b3055	2104	2979	885	4869	2715	1475	1618	1149	366	925	348	187	309	70	host	ygiM
gene-b1382	342	368	174	617	463	307	61	64	16	54	19	11	25	8	host	ynbE
gene-b2926	69497	115200	36205	150964	115107	64942	26796	22098	8353	20355	13342	4879	8381	2669	host	pgk
gene-b0005	1886	1498	768	1731	1041	872	341	480	102	266	177	56	73	33	host	yaaX
gene-b0817	954	999	419	1215	805	621	325	299	80	247	87	69	99	35	host	mntR
gene-b1717	65009	65735	30254	67353	45018	38533	20107	27087	5761	15458	8594	2740	3850	1445	host	rpmI
gene-b2047	73	74	26	82	54	41	10	12	3	6	5	2	1	4	host	wcaJ
gene-b2154	2579	3592	1207	3736	2720	1573	796	666	267	649	365	141	265	50	host	yeiG
gene-b0657	5196	4494	2399	5884	3988	3574	1762	1901	376	929	520	335	432	134	host	lnt
gene-b2130	178	234	86	246	201	146	37	50	16	42	26	11	19	4	host	yehY
gene-b2498	11687	12356	5242	11917	9221	6574	2950	2390	687	1873	1033	551	820	233	host	upp
gene-b4712	260	296	113	389	256	156	110	99	26	64	23	12	13	9	host	agrA
gene-b1568	18	20	7	40	27	9	9	4	0	2	2	1	0	1	host	ydfX
gene-b3925	6708	12559	3955	12120	12036	6290	2780	2638	647	1930	1105	508	1013	261	host	glpX
gene-b2799	232	259	106	310	200	129	38	31	13	34	23	8	9	4	host	fucO
gene-b1544	239	172	169	1427	1030	706	136	167	40	142	58	37	43	17	host	ydfK
gene-b3458	168	153	59	215	136	100	64	65	17	49	36	15	24	8	host	livK
gene-b0684	11949	15892	5770	19313	14948	10898	4618	4402	1054	2690	1404	689	1077	309	host	fldA
gene-b1583	1807	2403	975	2869	1913	1315	475	403	147	301	216	88	152	40	host	ynfB
gene-b1055	890	809	409	1320	988	797	631	575	88	281	115	75	107	39	host	trhO
gene-b1070	8191	5032	2822	8240	4830	4259	603	689	270	569	368	261	285	130	host	flgN
gene-b1132	3430	4440	2139	3672	3127	2975	1871	2056	466	1091	517	295	441	124	host	hflD
gene-b2664	596	659	232	1032	658	403	122	99	35	92	54	34	40	11	host	glaR
gene-b4349	2727	3432	1405	3338	2664	2197	1429	1617	311	745	435	247	362	111	host	hsdM
gene-b3766	10016	7531	2979	11746	2033	4883	972	938	159	734	340	213	257	43	host	ilvL
gene-b4162	3997	4979	2208	6323	4856	3304	1153	1025	274	750	468	238	394	118	host	orn
gene-b2502	6854	8924	4019	10704	7984	4941	1679	1769	394	1214	562	407	632	180	host	ppx
gene-b1616	75	65	34	139	88	50	19	24	5	30	20	4	4	3	host	uidB
gene-b0094	8676	9972	4001	12760	8697	6461	1921	1640	458	1344	701	432	598	233	host	ftsA
