Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b0886	56.40226625894624	81.5982663553462	357	2334	30.270288830511905	16.306540162265836	20.356055487799527	9.538865384878273	8.82748064523546	5.229141341849223	16.814078091304285	2.3666052419139016	host	cydC	1.411753184340422	0	1
gene-T4p216	0.0	0.0	97	10618	408.1971038562315	1304.2201174392173	121.7853664528696	1726.0644089045577	751.3623060828321	620.5738724848106	35.069362876148936	258.99738736507067	phage	31.2	1.4384644772532793	0	0
gene-b2029	1800.6357303325562	1490.0025440054294	7874	43183	978.3628427234855	124.26917224031585	414.1404392345421	31.0684876091986	177.78135439009088	24.94275870102728	260.8584115308065	13.486407953920317	host	gnd	1.5523196066126526	0	1
gene-b1243	6838.708584054205	2794.968127130706	25031	90177	2088.6499293053216	229.44332533151	777.3907397495855	67.2422834525574	467.8564741974793	51.60401455665289	573.1198617978861	27.58878165573603	host	oppA	1.4248730844456092	0	1
gene-b1249	100.09416265672151	110.41549796782905	541	1888	41.56517272249396	14.730443343608172	29.832150283844136	7.0533863761423845	9.032770892799075	4.050743292981792	16.814078091304285	1.9775742432431234	host	clsA	1.3392147599010444	0	1
gene-b4410	14.299166093817357	25.227716797594642	179	622	20.330791005567697	3.6977656130045204	9.12512832211703	1.242739504367944	4.516385446399537	0.8101486585963584	2.4020111559006123	0.5835464980061675	host	ecnA	1.3688301304048618	0	1
gene-b3513	6.355184930585493	12.234684298633073	45	399	3.3884651675946165	7.425840780213996	3.1586982653482027	7.322086809519237	0.8211609902544613	3.461544268548077	1.92160892472049	2.3666052419139016	host	mdtE	1.0519006185254578	0	1
gene-b1244	1120.8957421320163	444.948167406073	6410	15670	506.9143890721546	28.73345738629742	178.29096875520966	9.706803155738806	83.55313075839143	6.18658975655401	82.62918376298106	3.8903099867077833	host	oppB	1.380710475563044	0	1
gene-b4226	1159.0268517155291	1507.7984484398048	4588	35682	503.97771926023927	231.2618985838073	292.00410630774496	47.25768872015398	112.08847516973397	30.27009988028212	145.081473816397	20.3592889304374	host	ppa	1.5553166670859682	0	1
gene-b2947	239.11383301327916	82.55884074242896	963	1294	84.7116291898654	11.881345248342393	52.99593756306429	5.877821980118654	21.55547599417961	3.4124443498452677	29.78493833316759	1.9775742432431234	host	gshB	0.992740016269592	0	1
gene-b3586	5.295987442154577	43.63029979223282	44	440	2.710772134075693	11.820726139932484	2.8077317914206246	10.512904455869364	1.231741485381692	4.0016433742789825	0.960804462360245	2.658378490916985	host	yiaV	1.294708255325696	0	1
gene-b1018	122.86690865798619	166.53326479213777	642	4065	50.826977513919246	14.760752897813127	19.303156066016793	7.49002458037977	6.979868417162921	4.222593008441626	13.451262473043428	2.4962822414708277	host	efeO	1.603362571670344	0	1
gene-b0650	7.1495830469086785	6.724020709579333	31	242	2.484874456236052	8.82008027364193	1.4038658957103123	6.0121721968070805	1.0264512378180766	3.486094227899482	1.92160892472049	1.718220244129271	host	hscC	1.0374377492226043	0	1
gene-b1287	63.02225056163947	114.81391752973434	223	1186	8.35821408006672	9.517200020355897	8.774161848189452	5.038133125815989	2.052902475636153	2.602295691248909	10.568849085962695	1.7506394940185026	host	yciW	1.6737002141633055	0	1
gene-b4585	4.766388697939119	8.493499843679158	18	230	1.5812837448774877	4.334266251308577	0.35096647392757807	4.601494921578603	1.0264512378180766	2.626845650600314	0.0	2.1072512428000496	host	chiX	1.0150232373659032	0	1
gene-b4023	16.68236044278692	31.90118096048541	96	476	8.810009435746002	3.7280751672094756	5.615463582841249	2.6870043337685274	1.847612228072538	1.2029480082188353	1.4412066935403673	0.6808042476738622	host	yjbD	1.445694058782043	0	1
gene-b2411	125.25010300695574	151.66964006569924	861	5254	125.59910887884045	22.125974569617213	66.68363004623983	12.192282164474694	19.091993023416226	6.162039797202605	36.99097180086943	3.5985367377046997	host	ligA	1.4981925813896853	0	1
gene-b3995	100.09416265672151	97.87747438906459	323	1101	30.49618650835155	7.3349121175991305	16.495424274596168	3.7618060672759386	6.979868417162921	2.356796097734861	17.294480322484407	1.3616084953477243	host	rsd	1.4742712425563178	0	1
gene-b3649	319.34804276192096	494.54413970755667	1769	10750	188.85045867393995	30.552030638594726	110.5544392871871	8.732764084747714	37.978695799268834	5.425541016660461	65.33470344049665	2.9177324900308377	host	rpoZ	1.6449751657263978	0	1
gene-b2968	6.090385558477763	4.954541575479509	36	196	5.421544268151386	6.425625491450478	1.4038658957103123	3.459518079726979	1.6423219805089226	1.865796910706765	0.0	0.9401582467877143	host	yghD	1.0323945116575968	0	1
gene-T4p054	1.5887962326463732	0.0	183	18467	633.4170886623536	3492.6002405911795	1733.423414728308	11868.800430243135	3165.1650369358213	5862.211143643898	528.4424542981347	2350.4928747189538	phage	46	1.6010481497862303	0	0
gene-b1768	55.60786814262306	56.16832337099729	279	1305	23.719256173162314	7.27429300918922	21.408954909582263	3.3251678630385526	5.5428366842176136	2.258596260329242	22.098502634285634	1.4264469951261873	host	pncA	1.3749213404364666	0	1
gene-b3909	10.327175512201425	14.358059259552862	99	585	10.61719085846313	13.002798753925731	5.615463582841249	9.404515168189846	1.231741485381692	5.106391545092199	4.804022311801225	2.4314437416923647	host	kdgT	1.038783955873781	0	1
gene-b2577	14.828764838032816	13.903050339355765	74	308	5.195646590311745	7.1530547923694	9.12512832211703	5.609121546741801	3.4899342085814604	2.577745731897504	6.725631236521714	1.9127357434646601	host	yfiE	0.899641893384351	0	1
gene-b2428	14.299166093817357	10.970770631418912	63	372	4.743851234632463	6.880268804524804	3.5096647392757805	5.441183775881268	1.231741485381692	1.7675970733011457	1.92160892472049	1.3616084953477243	host	murQ	1.0641996805111342	0	1
gene-b4427	0.7943981163231866	0.8594612937056291	10	30	1.8071814227171288	0.5152624214842364	0.0	0.5038133125815989	0.20529024756361533	0.31914947156826246	0.0	0.16209624944615764	host	micC	0.8688848070098549	0	1
gene-b3605	63.02225056163947	42.36638612501866	307	1307	26.204130629398367	15.154777102477542	18.25025664423406	11.386180864344135	7.390448912290152	6.603939065527892	10.088446854782571	4.052406236153941	host	lldD	1.055819820438457	0	1
