Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	Entity	Symbol
gene-FTB24_08590	8	14	204	17	19	74	54	26	71	22	42	78	20	230	231	host	argJ
gene-FTB24_00760	2743	2822	2156	1645	2654	2319	1767	1961	1783	1258	1241	1392	1553	1258	1571	host	rsmI
gene-FTB24_16280	337	471	777	288	373	401	435	447	477	405	437	474	818	944	1081	host	gene-FTB24_16280
gene-FTB24_02210	3804	4014	2665	2612	3486	3148	2819	2862	2591	1942	1958	1948	2498	1674	2180	host	gene-FTB24_02210
gene-FTB24_00075	10553	8179	10857	8255	7008	7444	5422	5413	4648	4585	3656	3876	6895	5389	6409	host	yedF
gene-FTB24_03300	741	906	504	511	730	659	432	529	522	806	835	941	3841	2795	4114	host	gene-FTB24_03300
gene-FTB24_16410	270	301	339	216	258	259	229	248	212	282	207	291	202	223	223	host	gene-FTB24_16410
gene-FTB24_08900	1145	1395	927	1031	1290	1292	1074	1137	1117	783	788	844	1199	657	911	host	gene-FTB24_08900
gene-FTB24_01155	4205	2956	4218	3885	2938	2907	2493	2172	2029	1820	1494	1543	2745	1962	2163	host	gene-FTB24_01155
gene-FTB24_04400	7294	6992	6507	9788	7002	6666	5762	6188	5658	5631	5435	5919	6368	5114	6221	host	gene-FTB24_04400
gene-FTB24_03370	622	703	584	656	678	605	705	628	548	454	468	538	511	471	531	host	gene-FTB24_03370
gene-FTB24_12015	1948	2255	1619	1397	2315	2125	1680	1495	1378	1135	1107	1146	1115	1049	1317	host	gene-FTB24_12015
gene-FTB24_16415	309	298	333	240	309	326	260	249	220	284	233	278	257	209	255	host	gene-FTB24_16415
gene-FTB24_04585	4901	3733	5457	6342	5542	5875	5097	4751	4144	3914	3229	3396	7672	5997	6976	host	gene-FTB24_04585
gene-FTB24_02800	158	170	249	156	188	212	202	220	177	198	186	209	224	267	329	host	gene-FTB24_02800
gene-FTB24_02015	272	136	267	90	106	135	142	114	119	87	112	144	551	536	567	host	phoU
gene-FTB24_05100	87	85	156	94	108	154	132	102	149	193	194	257	490	578	672	host	gene-FTB24_05100
gene-FTB24_00955	7876	8547	8559	4680	6231	5743	4602	5098	4393	4095	3865	3678	6034	4372	5074	host	gene-FTB24_00955
gene-FTB24_04225	3213	3614	4850	1756	2143	1844	1659	1992	1909	1429	1262	1444	2293	1947	2283	host	murJ
gene-FTB24_17995	980	690	1099	812	623	727	870	981	834	817	594	637	1217	1127	1184	host	gene-FTB24_17995
gene-FTB24_16680	132	125	295	129	146	169	158	152	152	132	177	169	143	199	254	host	gene-FTB24_16680_gene_nhaC
gene-FTB24_09625	8	14	30	11	15	19	24	19	16	8	20	29	22	50	50	host	gene-FTB24_09625
gene-FTB24_13445	245	338	357	207	315	223	256	337	268	268	320	337	419	423	596	host	gene-FTB24_13445
gene-FTB24_16360	375	374	340	384	468	470	482	470	474	486	515	591	310	258	348	host	gene-FTB24_16360
gene-FTB24_04855	66	63	68	19	21	18	36	51	36	33	49	37	58	44	43	host	gene-FTB24_04855
gene-FTB24_12580	31212	31775	19402	20606	45692	38322	27417	27873	21908	15624	16801	18145	17983	11390	18526	host	gene-FTB24_12580
gene-FTB24_05840	150	291	278	113	267	212	277	355	343	553	587	733	804	703	964	host	gene-FTB24_05840
gene-FTB24_05370	14	15	93	19	13	44	19	17	28	12	41	45	18	110	119	host	gene-FTB24_05370
gene-FTB24_13985	891	960	649	995	1511	1306	1397	1521	1403	1122	1195	1058	1022	783	991	host	gene-FTB24_13985
gene-FTB24_02785	417	459	361	387	647	661	614	724	614	596	634	589	559	453	541	host	gene-FTB24_02785
gene-FTB24_19300	43	42	106	26	38	110	78	45	69	61	81	83	119	170	225	host	gene-FTB24_19300
gene-FTB24_06370	4227	3099	3963	2822	2488	2598	2737	3135	2688	3323	2684	3150	4167	3203	4016	host	dnaJ
gene-FTB24_16910	96190	143091	105676	85742	132357	132424	59952	81077	97837	49016	65851	86169	40722	30141	52777	host	gene-FTB24_16910
gene-FTB24_16555	39	24	93	27	34	50	46	32	46	41	29	47	41	67	85	host	gene-FTB24_16555
gene-FTB24_14695	22	7	55	9	16	14	20	12	15	14	12	20	19	46	47	host	gene-FTB24_14695
gene-FTB24_18405	18161	12051	36333	15002	7524	9717	6838	6804	6483	7409	5863	5854	15180	16047	13652	host	gene-FTB24_18405
gene-FTB24_07695	406	561	380	245	450	385	375	416	333	722	798	670	1508	792	1324	host	gene-FTB24_07695
gene-FTB24_14190	61	28	98	52	41	42	58	44	46	50	50	59	105	121	116	host	speD
gene-FTB24_18735	1187	685	1383	1128	835	892	747	787	688	661	627	644	1042	1090	1187	host	disA
gene-FTB24_02520	552	590	500	189	216	180	180	187	177	201	170	218	184	166	212	host	gene-FTB24_02520
gene-FTB24_16340	345	362	227	261	399	324	352	315	311	280	269	314	218	146	253	host	gene-FTB24_16340
gene-FTB24_13045	978	1189	647	759	1332	1244	923	1059	975	867	842	889	1769	1293	1622	host	nusB
gene-FTB24_05620	827	536	1278	1010	589	629	654	657	621	618	528	604	1674	1567	1654	host	cdtB
gene-FTB24_16610	768	1145	528	618	922	934	952	1136	1083	839	979	1027	945	784	1086	host	gene-FTB24_16610
gene-FTB24_05325	60265	57805	45215	70053	54511	45787	40576	37291	32651	36373	37389	32919	33060	19882	26971	host	gene-FTB24_05325
gene-FTB24_18020	77512	63447	68031	75044	56781	48491	36652	38027	34122	27966	23223	23694	39910	30457	36462	host	gene-FTB24_18020_gene_vorB
gene-FTB24_14980	3161	3105	2132	3851	5345	5264	5051	5292	5038	4018	3572	3973	4559	2805	3993	host	gene-FTB24_14980
gene-FTB24_07110	16806	13514	19960	26069	19106	20281	13012	12528	10727	8472	6282	6320	13790	9855	10349	host	gene-FTB24_07110
gene-FTB24_18400	18767	13452	39189	16938	8885	11105	7967	8332	7883	9085	6804	7351	17566	16919	15544	host	gene-FTB24_18400
gene-FTB24_11850	297	388	261	225	450	402	338	360	366	314	291	351	415	375	600	host	gene-FTB24_11850
gene-FTB24_06400	450	338	527	443	384	519	315	396	337	261	209	314	371	390	507	host	cas6
gene-JD032_13	53	21	41	41826	29668	26561	49966	55770	48345	28848	25046	26957	25715	37672	39860	phage	gene-JD032_13
gene-FTB24_07060	359	243	331	172	115	136	180	100	102	106	108	133	193	244	261	host	gene-FTB24_07060
gene-FTB24_05460	681	529	703	664	690	800	597	655	566	460	393	535	732	662	916	host	pgeF
gene-FTB24_03085	255	246	569	265	257	325	273	273	269	262	279	351	407	556	624	host	xylA
gene-FTB24_17860	580	472	611	453	390	469	384	344	294	246	233	306	518	490	504	host	gene-FTB24_17860
gene-FTB24_08110	111	123	68	88	196	201	144	154	160	106	91	122	170	127	145	host	gene-FTB24_08110
gene-FTB24_00415	9016	7908	5536	5134	10758	10759	7980	15894	14645	5403	9118	9791	5680	2316	4620	host	gene-FTB24_00415
gene-FTB24_01195	36	27	237	38	26	86	48	47	80	41	64	97	53	197	192	host	gene-FTB24_01195_gene_pfkB
gene-FTB24_11405	19	36	55	20	43	42	42	75	47	49	44	61	99	84	134	host	gene-FTB24_11405
gene-FTB24_17820	164	156	143	177	252	258	227	263	257	251	266	283	228	126	192	host	gene-FTB24_17820
gene-FTB24_11350	1970	2096	1783	1895	2590	2229	2317	2462	2354	2098	2343	2630	2878	1916	2689	host	gene-FTB24_11350_gene_feoB
gene-FTB24_13970	191	116	263	142	135	168	119	126	99	143	112	113	206	247	240	host	gene-FTB24_13970
gene-FTB24_04880	594	768	561	502	487	473	331	401	347	299	342	498	507	404	773	host	gene-FTB24_04880
gene-FTB24_16050	949	1212	1021	581	802	739	795	878	817	793	649	775	939	803	1131	host	gene-FTB24_16050
gene-FTB24_13590	923	977	724	710	887	791	665	675	616	603	529	547	829	617	787	host	gene-FTB24_13590
gene-FTB24_15105	2413	2643	1664	2198	2687	2588	2728	2584	2601	2443	2653	3030	2215	1433	2177	host	gene-FTB24_15105
gene-FTB24_16695	96	59	553	134	112	294	230	105	208	112	174	273	151	542	528	host	gene-FTB24_16695
gene-FTB24_18580	8421	5135	8761	7953	3960	4098	3628	3496	2869	2771	2329	2552	4162	3743	3878	host	rlmB
gene-FTB24_18145	163	209	320	53	109	151	59	102	125	96	114	88	127	110	101	host	gene-FTB24_18145
gene-FTB24_05075	63	66	69	60	64	108	61	68	102	102	118	155	215	153	267	host	gene-FTB24_05075
gene-FTB24_05995	271	341	283	275	405	333	318	318	321	281	246	314	359	282	342	host	gene-FTB24_05995
gene-FTB24_16595	72	66	150	59	89	90	80	69	82	70	76	142	79	96	110	host	gene-FTB24_16595
gene-FTB24_00830	4131	4258	2793	2581	4299	3830	3797	3971	3392	2901	2839	2949	3651	2411	3206	host	rsmA
gene-FTB24_18950	18408	31066	27031	7214	17204	15359	11478	15658	14738	10432	14594	11560	8238	4407	7419	host	gene-FTB24_18950
gene-FTB24_18760	3394	2431	2683	2935	2653	2932	1565	1692	1551	1391	1186	1589	3352	2497	3137	host	gene-FTB24_18760
gene-FTB24_19205	11845	9350	18214	12051	7462	8393	6793	7018	6501	7368	6001	6400	14635	12830	12446	host	gyrA
gene-FTB24_15275	25166	38494	25455	15946	27624	26278	19099	21011	19861	16796	15959	16849	20441	15641	23015	host	rpmI
gene-FTB24_03525	782	451	744	427	381	393	292	298	322	237	187	233	394	436	431	host	cas5b
gene-FTB24_00315	1002	1196	889	729	1453	1232	1298	1426	1356	1218	1187	1317	1018	760	1044	host	gene-FTB24_00315
gene-FTB24_13185	1116	1299	852	854	1469	1512	1408	1519	1422	1326	1288	1477	1354	971	1410	host	gene-FTB24_13185
gene-FTB24_18810	12735	21280	19885	5466	12167	10938	9091	12562	11218	8089	10833	7809	6821	3575	6667	host	gene-FTB24_18810
gene-FTB24_07285	34	28	73	50	45	66	56	57	49	29	41	49	62	81	101	host	gene-FTB24_07285
gene-FTB24_13010	924	808	1219	757	618	723	597	687	582	639	561	587	1099	1206	1245	host	gene-FTB24_13010
gene-FTB24_07280	37	19	42	42	36	61	45	48	45	28	36	59	74	92	98	host	gene-FTB24_07280
gene-FTB24_07610	417	521	388	281	585	529	526	582	492	565	589	549	934	827	1113	host	gene-FTB24_07610
gene-FTB24_08050	689	486	498	488	443	528	374	320	387	245	200	285	463	468	659	host	gene-FTB24_08050_gene_cas5b
gene-FTB24_03410	116	137	201	129	120	181	148	152	123	105	131	143	122	219	243	host	gene-FTB24_03410
gene-FTB24_13975	63	38	124	54	66	82	59	50	58	53	68	64	88	129	125	host	gene-FTB24_13975
gene-FTB24_17510	312	162	318	280	261	246	292	371	281	554	401	389	1899	1286	1220	host	purE
gene-FTB24_10160	5620	5063	4994	2807	7704	7514	6185	7472	4590	3595	5610	4167	4793	2394	3169	host	gene-FTB24_10160
gene-FTB24_04120	3996	4008	4736	3829	3733	3692	2965	3136	2778	2960	2792	2805	5036	4029	4637	host	tgt
gene-FTB24_07835	65	63	155	37	34	79	65	35	62	38	47	72	65	147	160	host	gene-FTB24_07835
gene-FTB24_08305	237	197	345	238	249	222	168	166	169	210	165	198	255	290	382	host	gene-FTB24_08305
gene-FTB24_16960	6226	6870	3261	4662	8956	7104	5964	7468	6683	4622	5016	5841	4611	2869	4946	host	gene-FTB24_16960
gene-FTB24_18960	12631	20896	15123	5527	12770	10035	9515	11722	11251	8632	9614	8686	7596	4390	7103	host	gene-FTB24_18960
gene-FTB24_06835	1396	1649	1024	921	1548	1338	1066	1365	1278	1261	1319	1495	1004	787	1336	host	gene-FTB24_06835
gene-FTB24_12050	209	220	406	294	233	221	448	431	293	1035	784	629	2603	1898	2305	host	gene-FTB24_12050
gene-FTB24_13150	6129	5760	9929	6662	4892	5554	4779	5466	4806	5809	4411	4534	9885	7193	7777	host	fabK
gene-FTB24_03390	66	50	181	55	56	100	107	46	63	41	53	69	52	139	129	host	gene-FTB24_03390
gene-FTB24_10600	29	20	72	14	29	35	24	28	25	29	36	37	47	64	68	host	gene-FTB24_10600
gene-FTB24_04810	446	552	409	294	594	544	447	468	423	420	473	425	833	596	844	host	gene-FTB24_04810
gene-FTB24_06405	713	414	921	714	492	612	436	413	434	347	356	383	644	670	757	host	gene-FTB24_06405
gene-FTB24_06740	26	14	59	34	44	30	1126	1411	945	2774	2733	2295	3466	1405	2975	host	gene-FTB24_06740
gene-FTB24_12210	500	624	449	620	878	906	714	873	794	773	867	974	752	529	743	host	gene-FTB24_12210
gene-FTB24_03760	147	163	317	155	154	218	156	140	165	122	140	196	138	281	286	host	gene-FTB24_03760
gene-FTB24_04145	758	676	769	689	765	708	861	682	575	847	815	795	2636	2214	2436	host	gene-FTB24_04145
gene-FTB24_06820	4151	2786	4812	7034	4217	4729	3557	3455	3331	2990	2226	2711	3946	2998	3575	host	gene-FTB24_06820
gene-FTB24_00450	1412	1382	1249	1093	1396	1422	1398	1271	1121	984	830	954	1356	1101	1341	host	gene-FTB24_00450
gene-FTB24_07905	8007	7886	9329	10096	9408	9364	6628	7579	7663	6536	5976	7470	7130	6193	8511	host	gene-FTB24_07905
gene-FTB24_16990	675	719	605	373	603	609	646	713	576	574	494	523	672	576	721	host	gene-FTB24_16990
gene-FTB24_01465	1125	753	1047	890	979	1065	831	878	780	687	677	620	1194	1069	1133	host	murB
gene-FTB24_02345	175	163	337	166	167	200	134	153	150	164	167	205	354	387	430	host	gene-FTB24_02345
gene-FTB24_14055	1429	1625	898	1334	2220	1990	1471	1768	1574	1168	1155	1132	1682	1118	1631	host	gene-FTB24_14055
gene-FTB24_15580	64	75	133	49	74	94	73	62	107	71	79	85	89	129	145	host	gene-FTB24_15580
gene-FTB24_09700	909	920	989	1051	1171	1314	1309	1350	1311	1315	1254	1375	1277	909	1239	host	gene-FTB24_09700
gene-FTB24_07045	26845	32518	22438	26699	38687	36886	26045	27012	26228	18365	17727	18236	21310	13526	19475	host	gene-FTB24_07045
gene-FTB24_00865	4960	5251	2450	3140	4912	4468	3049	3839	3620	2622	3031	3153	3021	1822	3119	host	spoVG
gene-FTB24_10985	143	170	275	91	130	136	129	111	122	108	122	141	131	154	192	host	gene-FTB24_10985
gene-FTB24_16310	5	9	47	9	8	27	21	23	17	15	13	29	12	49	56	host	gene-FTB24_16310
gene-FTB24_15925	791	1005	638	561	887	886	824	1003	843	878	865	872	721	588	874	host	gene-FTB24_15925
gene-FTB24_07820	772	920	846	517	881	947	842	990	959	935	923	912	1587	1189	1537	host	gene-FTB24_07820
gene-FTB24_04885	6	10	21	9	4	8	14	9	11	9	11	11	12	32	28	host	gene-FTB24_04885
gene-FTB24_11590	217	140	165	212	448	547	389	361	175	311	261	249	722	626	749	host	gene-FTB24_11590
gene-FTB24_00840	3901	3349	2451	5377	7958	8031	6635	6756	6134	5018	4729	4530	5583	3387	4801	host	gene-FTB24_00840
