Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol
gene-AUO97_RS05785	75	50	16	27	6	7	host	gene-AUO97_RS05785
gene-AUO97_RS17110	1	1	0	2	0	0	host	gene-AUO97_RS17110
gene-AUO97_RS00750	292	295	49	54	30	28	host	gene-AUO97_RS00750
gene-AUO97_RS06435	13584	10741	4429	5009	3302	2344	host	atpA
gene-AUO97_RS17725	1439	1289	299	317	125	89	host	gene-AUO97_RS17725
gene-AUO97_RS04270	582	475	146	208	106	65	host	gene-AUO97_RS04270
gene-AUO97_RS00800	29	9	3	11	1	2	host	basG
gene-AUO97_RS08210	0	0	0	0	0	0	host	gene-AUO97_RS08210
gene-AUO97_RS00340	386	302	178	221	106	76	host	gene-AUO97_RS00340
gene-AUO97_RS02575	573	454	84	85	52	36	host	gene-AUO97_RS02575
gene-AUO97_RS01740	0	0	0	0	0	0	host	gene-AUO97_RS01740
gene-AUO97_RS04035	68	61	20	33	16	18	host	gene-AUO97_RS04035
gene-AUO97_RS16745	5	7	4	2	3	1	host	gene-AUO97_RS16745
gene-AUO97_RS10005	94	60	21	27	17	19	host	gene-AUO97_RS10005
gene-AUO97_RS09730	10	9	3	3	3	2	host	gene-AUO97_RS09730
gene-AUO97_RS11560	491	448	295	411	115	88	host	gene-AUO97_RS11560
gene-AUO97_RS18705	19	11	6	7	6	1	host	gene-AUO97_RS18705
gene-AUO97_RS10985	3543	2924	1122	1273	799	523	host	nuoH
gene-AUO97_RS09590	92	83	15	29	8	10	host	lpxL
gene-AUO97_RS10180	197	144	51	57	19	16	host	gene-AUO97_RS10180
gene-AUO97_RS13950	0	0	0	1	0	0	host	gene-AUO97_RS13950
gene-AUO97_RS14925	188	118	67	88	31	29	host	ychF
gene-AUO97_RS19065	1017	777	307	324	193	124	host	purD
gene-AUO97_RS00705	38	37	9	18	7	5	host	gene-AUO97_RS00705
gene-AUO97_RS04445	88	67	36	43	15	11	host	gene-AUO97_RS04445
gene-AUO97_RS11905	322	296	105	113	69	33	host	pgaB
gene-AUO97_RS14395	136	99	38	50	27	15	host	gene-AUO97_RS14395
gene-AUO97_RS16780	11	6	7	2	3	1	host	gene-AUO97_RS16780
gene-AUO97_RS09205	303	281	77	112	56	42	host	gene-AUO97_RS09205
gene-AUO97_RS12405	402	288	77	109	46	27	host	gene-AUO97_RS12405
gene-AUO97_RS16540	7	12	3	8	3	5	host	adeA
gene-AUO97_RS04570	888	609	320	424	122	111	host	gene-AUO97_RS04570
gene-AUO97_RS05400	19	17	2	14	2	2	host	gene-AUO97_RS05400
gene-AUO97_RS07990	0	0	0	0	0	0	host	gene-AUO97_RS07990
gene-AUO97_RS18300	0	0	1	3	0	0	host	gene-AUO97_RS18300
gene-AUO97_RS03300	3231	2669	1093	1358	457	322	host	gene-AUO97_RS03300
gene-AUO97_RS16665	19	13	2	5	2	4	host	gene-AUO97_RS16665
gene-AUO97_RS17360	98	76	18	23	16	11	host	gene-AUO97_RS17360
gene-AUO97_RS02825	97	74	12	11	8	1	host	gene-AUO97_RS02825
gene-AUO97_RS12340	83	51	28	41	18	9	host	nth
gene-AUO97_RS13955	1	1	0	0	0	0	host	gene-AUO97_RS13955
gene-AUO97_RS17935	19	8	5	9	5	5	host	gene-AUO97_RS17935
gene-AUO97_RS05155	2084	1591	602	730	314	251	host	gene-AUO97_RS05155
gene-AUO97_RS17020	0	0	0	0	0	0	host	gene-AUO97_RS17020
gene-AUO97_RS18255	0	0	0	0	0	0	host	gene-AUO97_RS18255
gene-AUO97_RS18450	24	19	17	13	4	4	host	mgtA
gene-AUO97_RS12680	89	69	21	19	18	19	host	gene-AUO97_RS12680
gene-AUO97_RS09120	1107	827	405	506	291	208	host	gene-AUO97_RS09120
gene-AUO97_RS05700	260	192	89	101	29	37	host	gene-AUO97_RS05700
gene-AUO97_RS04450	430	306	140	167	92	81	host	gene-AUO97_RS04450
gene-AUO97_RS08050	0	0	0	0	0	0	host	gene-AUO97_RS08050
gene-AUO97_RS13050	8	4	5	7	1	0	host	gene-AUO97_RS13050
gene-AUO97_RS08635	1409	1020	404	457	267	193	host	thrC
gene-AUO97_RS02715	16	10	5	5	0	3	host	gene-AUO97_RS02715
gene-AUO97_RS11080	187	180	123	155	42	35	host	gene-AUO97_RS11080
gene-AUO97_RS03590	608	464	174	140	78	64	host	yajC
gene-AUO97_RS02370	15769	13033	8160	9232	5842	4073	host	ftsH
gene-AUO97_RS00640	18	7	2	1	1	0	host	gene-AUO97_RS00640
gene-AUO97_RS17185	3	6	0	1	0	0	host	gene-AUO97_RS17185
gene-AUO97_RS09615	49	31	11	22	6	10	host	gene-AUO97_RS09615
gene-AUO97_RS10020	87	64	16	46	18	15	host	gene-AUO97_RS10020
gene-AUO97_RS03730	0	0	0	0	0	0	host	gene-AUO97_RS03730
gene-AUO97_RS13155	0	0	0	0	0	0	host	gene-AUO97_RS13155
gene-AUO97_RS05295	0	0	0	0	0	0	host	elbB
gene-AUO97_RS08105	0	0	0	0	0	0	host	gene-AUO97_RS08105
gene-AUO97_RS10855	5	4	0	2	0	0	host	gene-AUO97_RS10855
gene-AUO97_RS03685	0	0	1	0	0	0	host	gene-AUO97_RS03685
gene-AUO97_RS13760	21	20	7	9	1	4	host	gene-AUO97_RS13760
gene-AUO97_RS04145	875	719	401	515	166	117	host	gene-AUO97_RS04145
gene-AUO97_RS10030	24	19	6	9	6	1	host	gene-AUO97_RS10030
gene-AUO97_RS17210	30	28	8	10	4	4	host	pcaU
gene-AUO97_RS13200	0	0	0	0	0	0	host	gene-AUO97_RS13200
gene-AUO97_RS09495	100	75	26	47	16	13	host	gene-AUO97_RS09495
gene-AUO97_RS16690	0	0	0	0	1	0	host	iaaH
gene-AUO97_RS12685	25	12	6	9	2	4	host	gene-AUO97_RS12685
gene-AUO97_RS00600	442	351	111	132	68	80	host	metF
gene-AUO97_RS11820	102	72	23	17	10	9	host	gene-AUO97_RS11820
gene-AUO97_RS15220	116	88	34	48	19	11	host	gene-AUO97_RS15220
gene-AUO97_RS11210	3017	2428	1498	1814	807	630	host	bfr
gene-AUO97_RS12990	4	1	3	1	1	0	host	gene-AUO97_RS12990
gene-AUO97_RS04940	452	367	109	147	76	48	host	aroB
gene-AUO97_RS17805	2562	1812	754	913	520	369	host	gene-AUO97_RS17805
gene-AUO97_RS15795	174	181	110	146	28	22	host	gene-AUO97_RS15795
gene-AUO97_RS16270	149	96	53	53	17	20	host	lpdA
gene-AUO97_RS09525	536	426	160	181	101	96	host	leuB
gene-AUO97_RS18825	20	14	10	10	3	5	host	kdpB
gene-AUO97_RS12830	0	0	0	0	0	0	host	mhpT
gene-AUO97_RS02335	9	10	3	4	0	2	host	gene-AUO97_RS02335
gene-AUO97_RS09965	19	15	5	7	2	3	host	gene-AUO97_RS09965
gene-AUO97_RS12670	221	192	86	101	38	35	host	gene-AUO97_RS12670
gene-AUO97_RS13785	7	5	2	3	0	1	host	gene-AUO97_RS13785
gene-AUO97_RS03115	334	256	61	94	22	23	host	gene-AUO97_RS03115
gene-AUO97_RS09745	53	63	9	27	11	13	host	gene-AUO97_RS09745
gene-AUO97_RS11260	151	152	60	63	29	22	host	scpB
gene-AUO97_RS04590	1	0	0	0	0	0	host	gene-AUO97_RS04590
gene-AUO97_RS10780	176	141	81	111	47	26	host	gene-AUO97_RS10780
gene-AUO97_RS00395	59	68	17	12	6	6	host	gene-AUO97_RS00395
gene-AUO97_RS14090	50	30	14	19	12	12	host	soxR
gene-AUO97_RS16090	74	53	27	36	13	11	host	gene-AUO97_RS16090
gene-AUO97_RS00700	835	656	235	215	144	84	host	gene-AUO97_RS00700
gene-AUO97_RS01080	196	165	62	62	20	15	host	mnmA
gene-AUO97_RS08705	50	52	11	12	8	1	host	gene-AUO97_RS08705
gene-AUO97_RS08895	182	166	43	68	25	15	host	gene-AUO97_RS08895
gene-AUO97_RS17340	81	71	20	31	10	11	host	gene-AUO97_RS17340
gene-AUO97_RS18525	4	5	4	2	0	0	host	gene-AUO97_RS18525
gene-AUO97_RS13160	0	0	0	0	0	0	host	gene-AUO97_RS13160
gene-AUO97_RS01995	244	155	103	118	57	50	host	serC
gene-AUO97_RS18890	23	15	8	11	6	1	host	gene-AUO97_RS18890
gene-AUO97_RS01960	284	189	47	60	35	31	host	gene-AUO97_RS01960
gene-AUO97_RS07645	961	809	261	354	159	111	host	hppD
gene-AUO97_RS13065	1	2	0	0	0	0	host	gene-AUO97_RS13065
gene-AUO97_RS18615	1151	1048	579	689	223	180	host	gene-AUO97_RS18615
gene-AUO97_RS09610	129	100	31	51	23	22	host	gene-AUO97_RS09610
gene-AUO97_RS00595	1717	1343	429	556	327	215	host	ahcY
gene-AUO97_RS08995	363	306	161	194	61	49	host	pgsA
gene-AUO97_RS06855	483	372	129	144	74	58	host	lldD
gene-AUO97_RS18725	181	144	58	97	9	6	host	gene-AUO97_RS18725
gene-AUO97_RS10915	985	647	291	283	236	135	host	gene-AUO97_RS10915
gene-AUO97_RS16030	28	20	6	6	0	0	host	gene-AUO97_RS16030
gene-AUO97_RS08195	0	0	0	0	0	0	host	gene-AUO97_RS08195
gene-AUO97_RS16305	3	10	2	3	1	3	host	gene-AUO97_RS16305
gene-AUO97_RS06580	108	85	32	48	18	20	host	gene-AUO97_RS06580
gene-AUO97_RS15255	71	49	23	19	8	10	host	gene-AUO97_RS15255
gene-AUO97_RS12845	0	0	0	0	0	0	host	gene-AUO97_RS12845
gene-AUO97_RS17605	40	33	5	9	1	0	host	gene-AUO97_RS17605
gene-AUO97_RS07095	15	13	15	18	1	4	host	gene-AUO97_RS07095
gene-AUO97_RS01870	186	124	43	35	29	22	host	tolR
gene-AUO97_RS01905	1317	944	339	390	154	112	host	gene-AUO97_RS01905
gene-AUO97_RS14540	6	0	0	0	0	0	host	gene-AUO97_RS14540
gene-AUO97_RS11500	48	21	9	8	3	2	host	gene-AUO97_RS11500
gene-AUO97_RS01930	394	346	104	130	68	47	host	hda
gene-AUO97_RS05560	399	314	104	101	63	47	host	gene-AUO97_RS05560
gene-AUO97_RS06350	36	27	10	15	2	4	host	gene-AUO97_RS06350
gene-AUO97_RS07740	0	0	0	0	0	0	host	gene-AUO97_RS07740
gene-AUO97_RS11840	701	537	219	255	207	132	host	mqo
gene-AUO97_RS04095	552	367	184	197	82	59	host	gene-AUO97_RS04095
gene-AUO97_RS08410	0	0	0	0	0	0	host	gene-AUO97_RS08410
gene-AUO97_RS11835	5	3	1	0	1	0	host	gene-AUO97_RS11835
gene-AUO97_RS06180	29	29	9	10	5	5	host	gene-AUO97_RS06180
gene-AUO97_RS00850	39	18	6	11	5	5	host	basB
gene-AUO97_RS15545	13	6	4	7	6	2	host	gene-AUO97_RS15545
gene-AUO97_RS11550	42	37	16	36	17	11	host	gene-AUO97_RS11550
gene-AUO97_RS18140	138	129	40	44	17	12	host	gene-AUO97_RS18140
gene-AUO97_RS14195	363	257	69	84	61	16	host	gene-AUO97_RS14195
gene-AUO97_RS02730	19	15	13	7	1	4	host	gene-AUO97_RS02730
gene-AUO97_RS08165	0	0	0	0	0	0	host	gene-AUO97_RS08165
gene-AUO97_RS09095	315	262	190	245	56	47	host	gene-AUO97_RS09095
gene-AUO97_RS04935	286	224	76	103	43	27	host	gene-AUO97_RS04935
gene-AUO97_RS11090	34	26	25	47	15	12	host	gene-AUO97_RS11090
gene-AUO97_RS15945	82	57	20	23	7	7	host	gene-AUO97_RS15945
gene-AUO97_RS02590	80	78	39	41	13	9	host	gene-AUO97_RS02590
gene-AUO97_RS01455	404	450	423	529	126	97	host	gene-AUO97_RS01455
gene-AUO97_RS10775	8	10	4	5	1	1	host	gene-AUO97_RS10775
gene-AUO97_RS09430	455	408	101	122	57	48	host	gene-AUO97_RS09430
gene-AUO97_RS01485	190	102	40	46	25	20	host	gene-AUO97_RS01485
gene-M172_gp54	340	453	2552	4839	26927	25048	phage	gene-M172_gp54
gene-AUO97_RS10805	28	25	12	18	2	2	host	gene-AUO97_RS10805
gene-AUO97_RS16300	24	31	18	9	10	5	host	gene-AUO97_RS16300
gene-AUO97_RS17215	76	51	19	29	3	5	host	gene-AUO97_RS17215
gene-AUO97_RS03830	0	0	0	0	0	0	host	gene-AUO97_RS03830
gene-AUO97_RS16590	163	123	29	37	13	16	host	gene-AUO97_RS16590
gene-AUO97_RS18520	123	73	26	45	14	9	host	gene-AUO97_RS18520
gene-AUO97_RS18210	0	0	0	0	0	0	host	gene-AUO97_RS18210
gene-AUO97_RS03015	130	86	30	37	30	21	host	elsL
gene-AUO97_RS00860	16	10	7	8	1	3	host	bauF
gene-AUO97_RS18465	3610	3033	1283	1524	779	591	host	gene-AUO97_RS18465
gene-AUO97_RS17120	20	9	2	9	3	1	host	feaR
gene-AUO97_RS03005	1391	1184	482	600	187	155	host	gene-AUO97_RS03005
gene-AUO97_RS06960	60	35	11	15	10	7	host	gene-AUO97_RS06960
gene-AUO97_RS18145	1	1	4	10	1	2	host	gene-AUO97_RS18145
gene-AUO97_RS02440	58	42	19	18	5	6	host	gene-AUO97_RS02440
gene-AUO97_RS13330	9370	6839	2976	3438	2096	1565	host	clpB
gene-AUO97_RS00995	1670	1283	460	610	319	238	host	efp
gene-AUO97_RS00425	15	6	1	4	0	1	host	hisQ
gene-AUO97_RS15830	172	121	39	43	13	19	host	gene-AUO97_RS15830
gene-AUO97_RS05645	648	427	150	191	114	68	host	pdxH
gene-AUO97_RS10365	383	297	91	117	69	43	host	gene-AUO97_RS10365
gene-AUO97_RS01185	39	52	11	16	1	1	host	fabR
gene-AUO97_RS02725	15	16	4	7	6	4	host	gene-AUO97_RS02725
gene-AUO97_RS05530	28	25	14	11	4	2	host	gene-AUO97_RS05530
gene-AUO97_RS03755	0	0	0	0	0	0	host	gene-AUO97_RS03755
gene-AUO97_RS00735	83	58	35	36	12	10	host	xdhA
gene-AUO97_RS13595	189	142	26	42	24	10	host	gene-AUO97_RS13595
gene-AUO97_RS15990	51	26	8	12	8	3	host	gene-AUO97_RS15990
gene-AUO97_RS14895	11	5	4	0	0	3	host	ygaH
gene-AUO97_RS16265	194	172	66	88	46	27	host	gene-AUO97_RS16265
gene-AUO97_RS18020	3	0	0	0	0	0	host	gene-AUO97_RS18020
gene-M172_gp01	14226	16108	5257	6762	3053	2590	phage	gene-M172_gp01
gene-AUO97_RS12285	1	0	0	0	0	0	host	gene-AUO97_RS12285
gene-AUO97_RS15240	157	94	48	49	22	18	host	gene-AUO97_RS15240
gene-AUO97_RS02550	423	304	224	256	76	56	host	gene-AUO97_RS02550
gene-AUO97_RS00045	803	634	125	155	93	55	host	gene-AUO97_RS00045
gene-AUO97_RS05675	75	71	27	22	25	15	host	gene-AUO97_RS05675
gene-AUO97_RS13620	2651	1842	490	567	167	124	host	gene-AUO97_RS13620
gene-AUO97_RS06500	1092	860	331	458	155	136	host	argS
gene-AUO97_RS12065	8	3	11	4	1	2	host	gene-AUO97_RS12065
gene-AUO97_RS12875	0	0	0	0	0	0	host	gene-AUO97_RS12875
gene-AUO97_RS19725	21370	17185	8889	9929	6820	4835	host	gene-AUO97_RS19725
gene-AUO97_RS01145	2813	2334	1241	1367	536	347	host	gene-AUO97_RS01145
gene-AUO97_RS17990	0	2	0	2	0	0	host	gene-AUO97_RS17990
gene-AUO97_RS12210	546	413	109	169	74	51	host	gene-AUO97_RS12210
gene-AUO97_RS14725	628	507	117	130	61	54	host	tauA
gene-AUO97_RS10015	58	57	20	33	9	13	host	gene-AUO97_RS10015
gene-AUO97_RS05525	2830	1931	803	921	614	436	host	uvrA
gene-AUO97_RS06705	1083	775	215	212	148	120	host	gene-AUO97_RS06705_gene_alr
gene-AUO97_RS04835	156	133	45	62	23	16	host	gene-AUO97_RS04835
gene-AUO97_RS08335	0	0	0	0	0	0	host	gene-AUO97_RS08335
gene-AUO97_RS01975	782	583	192	239	122	93	host	gene-AUO97_RS01975
gene-AUO97_RS04990	1260	941	369	409	228	167	host	mraY
gene-AUO97_RS09765	8	14	6	11	0	4	host	tatB
gene-AUO97_RS19570	0	0	0	0	0	0	host	gene-AUO97_RS19570
gene-AUO97_RS13910	0	0	0	0	0	0	host	gene-AUO97_RS13910
gene-AUO97_RS14005	60	38	14	24	13	13	host	tagF
gene-AUO97_RS19320	110	106	141	147	32	29	host	gene-AUO97_RS19320
gene-AUO97_RS14070	145	102	35	39	9	6	host	gene-AUO97_RS14070
gene-AUO97_RS17255	93	53	13	23	12	10	host	pcaG
gene-AUO97_RS06925	0	0	0	0	0	0	host	gene-AUO97_RS06925
gene-AUO97_RS10510	231	193	50	63	25	14	host	gene-AUO97_RS10510
gene-AUO97_RS10865	455	354	234	249	102	80	host	gene-AUO97_RS10865
gene-AUO97_RS12015	108	79	32	45	20	8	host	def
gene-AUO97_RS18685	349	278	126	140	37	51	host	hfq
gene-AUO97_RS05385	85	61	16	13	14	4	host	gene-AUO97_RS05385
gene-AUO97_RS19380	2	7	0	1	2	0	host	gene-AUO97_RS19380
gene-AUO97_RS10065	1938	1562	572	597	350	213	host	secB
gene-AUO97_RS08400	16	8	3	5	1	2	host	gene-AUO97_RS08400
gene-AUO97_RS05850	570	394	177	201	93	69	host	parE
gene-AUO97_RS17490	14	20	8	19	2	6	host	gene-AUO97_RS17490
gene-AUO97_RS05410	0	0	2	0	0	0	host	gene-AUO97_RS05410
gene-AUO97_RS16140	1702	1374	923	1081	351	245	host	gene-AUO97_RS16140
gene-AUO97_RS17770	465	327	89	100	57	34	host	glnL
gene-AUO97_RS09955	1679	1344	556	656	361	270	host	bamB
gene-AUO97_RS04225	3363	2692	696	773	519	329	host	gene-AUO97_RS04225
gene-AUO97_RS05080	21	22	12	5	2	0	host	gene-AUO97_RS05080
gene-AUO97_RS06325	60	27	6	6	6	7	host	gene-AUO97_RS06325
gene-AUO97_RS09350	39	14	9	10	1	3	host	gene-AUO97_RS09350
gene-AUO97_RS03915	103	122	53	58	20	19	host	gene-AUO97_RS03915
gene-AUO97_RS05190	146	98	34	50	19	8	host	hisH
gene-AUO97_RS03480	94	66	25	30	24	13	host	gene-AUO97_RS03480
gene-AUO97_RS16015	44	21	14	21	9	9	host	gene-AUO97_RS16015
gene-AUO97_RS11385	390	296	87	135	56	39	host	gene-AUO97_RS11385
gene-AUO97_RS12200	40	51	35	28	1	4	host	gene-AUO97_RS12200
gene-AUO97_RS09600	218	149	64	69	38	25	host	gene-AUO97_RS09600
gene-AUO97_RS01940	851	669	276	310	198	135	host	purM
gene-AUO97_RS03770	0	0	0	0	0	0	host	gene-AUO97_RS03770
gene-AUO97_RS15055	16	11	8	6	4	4	host	gene-AUO97_RS15055
gene-AUO97_RS15385	45	37	13	16	6	6	host	gspK
gene-AUO97_RS14595	9	9	2	6	3	3	host	gene-AUO97_RS14595
gene-AUO97_RS04390	22251	18775	8703	10533	6482	4672	host	rplB
gene-AUO97_RS18830	8	4	4	3	0	2	host	kdpA
gene-AUO97_RS14225	124	54	19	18	20	11	host	gene-AUO97_RS14225
gene-AUO97_RS15670	0	0	0	0	0	0	host	gene-AUO97_RS15670
gene-AUO97_RS15925	88	90	30	23	12	4	host	gene-AUO97_RS15925
gene-AUO97_RS12675	34	34	10	13	4	8	host	gene-AUO97_RS12675
gene-AUO97_RS09645	64	53	22	24	7	7	host	gene-AUO97_RS09645
gene-AUO97_RS02925	0	0	0	0	0	0	host	gene-AUO97_RS02925
gene-AUO97_RS12060	2	7	0	0	1	0	host	gene-AUO97_RS12060
gene-AUO97_RS12205	527	405	168	170	84	63	host	lysS
gene-AUO97_RS15775	251	184	65	64	41	19	host	gene-AUO97_RS15775
gene-AUO97_RS10980	8521	6408	2332	2675	1725	1254	host	nuoG
gene-AUO97_RS17275	39	18	12	6	7	2	host	pcaD
gene-AUO97_RS14975	281	212	109	103	28	25	host	gene-AUO97_RS14975
gene-AUO97_RS02500	8532	6362	2163	2416	1538	1099	host	gene-AUO97_RS02500
gene-AUO97_RS15695	0	0	0	0	0	0	host	gene-AUO97_RS15695
gene-AUO97_RS09195	437	327	99	111	35	34	host	gene-AUO97_RS09195
gene-AUO97_RS05350	0	0	0	0	0	0	host	gene-AUO97_RS05350
gene-AUO97_RS00685	342	244	91	105	53	38	host	gene-AUO97_RS00685
gene-AUO97_RS08280	0	0	0	0	0	0	host	gene-AUO97_RS08280
gene-AUO97_RS12160	90	70	34	30	11	9	host	mtgA
gene-AUO97_RS05440	822	735	323	380	221	148	host	ycaC
gene-AUO97_RS10730	44	36	15	19	9	2	host	gene-AUO97_RS10730
gene-AUO97_RS02495	6464	4658	1655	1850	1182	821	host	odhB
gene-AUO97_RS12295	66	38	12	14	8	2	host	ureE
gene-AUO97_RS04660	1148	846	248	266	211	161	host	astB
gene-AUO97_RS03040	35	20	7	18	7	4	host	gene-AUO97_RS03040
gene-AUO97_RS07885	823	614	266	268	159	125	host	gene-AUO97_RS07885
gene-AUO97_RS10695	331	247	68	102	35	28	host	rpe
gene-AUO97_RS05240	197	166	55	76	38	30	host	hisF
gene-AUO97_RS12635	0	0	1	0	0	2	host	gene-AUO97_RS12635
gene-AUO97_RS15845	553	446	199	242	90	56	host	gene-AUO97_RS15845
gene-AUO97_RS04530	512	375	168	201	105	77	host	gene-AUO97_RS04530
gene-AUO97_RS03595	2775	2128	857	928	639	452	host	secD
gene-AUO97_RS14480	26	23	16	11	3	2	host	gene-AUO97_RS14480
gene-AUO97_RS19435	2	0	0	0	0	0	host	gene-AUO97_RS19435
gene-AUO97_RS04395	9324	7955	3709	4378	2717	2001	host	rplW
gene-AUO97_RS11230	37	35	4	8	3	3	host	gene-AUO97_RS11230
gene-AUO97_RS12715	558	501	142	145	57	48	host	gene-AUO97_RS12715
gene-AUO97_RS00670	99	78	25	25	17	12	host	ubiA
gene-AUO97_RS01380	961	752	257	303	203	128	host	cgtA
gene-AUO97_RS15995	8	4	2	2	1	0	host	gene-AUO97_RS15995
gene-AUO97_RS17170	0	0	0	0	0	0	host	gene-AUO97_RS17170
gene-AUO97_RS02510	2181	1615	702	889	585	406	host	gene-AUO97_RS02510
gene-AUO97_RS07540	85	69	17	33	14	5	host	gene-AUO97_RS07540
gene-AUO97_RS06790	3	7	2	0	0	0	host	gene-AUO97_RS06790
gene-AUO97_RS06820	0	0	0	0	1	0	host	gene-AUO97_RS06820
gene-AUO97_RS08240	0	0	0	0	0	0	host	gene-AUO97_RS08240
gene-AUO97_RS18360	330	270	85	121	35	36	host	gene-AUO97_RS18360
gene-AUO97_RS01135	672	609	242	312	61	74	host	gene-AUO97_RS01135
gene-AUO97_RS01580	161	137	42	35	16	22	host	gene-AUO97_RS01580
gene-AUO97_RS08065	0	0	0	0	0	0	host	gene-AUO97_RS08065
gene-AUO97_RS05165	35	29	15	18	10	8	host	gene-AUO97_RS05165
gene-AUO97_RS17905	9	13	3	5	2	2	host	gene-AUO97_RS17905
gene-AUO97_RS16475	65	71	73	84	34	18	host	gene-AUO97_RS16475
gene-AUO97_RS17810	44	33	14	19	6	2	host	gene-AUO97_RS17810
gene-AUO97_RS04475	365	325	114	150	86	52	host	recG
gene-AUO97_RS03415	2022	1824	403	507	277	271	host	gene-AUO97_RS03415
gene-AUO97_RS15205	838	662	283	368	213	132	host	putP
gene-AUO97_RS06030	0	1	1	0	0	0	host	sul2
gene-AUO97_RS08245	0	0	0	0	0	0	host	gene-AUO97_RS08245
gene-AUO97_RS11740	196	177	72	97	38	31	host	gene-AUO97_RS11740
gene-AUO97_RS08985	335	257	101	80	64	46	host	uvrC
gene-AUO97_RS01655	1	0	0	0	0	0	host	gene-AUO97_RS01655
gene-AUO97_RS14190	743	535	133	149	89	51	host	paaE
gene-AUO97_RS12050	1	1	0	0	0	1	host	gene-AUO97_RS12050
gene-AUO97_RS07535	15	5	3	2	0	0	host	gene-AUO97_RS07535
gene-AUO97_RS05270	247	203	101	110	42	30	host	gene-AUO97_RS05270
gene-AUO97_RS07165	106	84	65	71	21	24	host	gene-AUO97_RS07165
gene-AUO97_RS05370	0	0	0	1	0	0	host	gene-AUO97_RS05370
gene-AUO97_RS05110	2719	2094	942	1058	605	488	host	ettA
gene-AUO97_RS06215	2145	1660	542	561	339	256	host	gene-AUO97_RS06215
gene-AUO97_RS02005	289	252	59	60	33	26	host	gene-AUO97_RS02005
gene-AUO97_RS02355	9	18	2	8	2	2	host	gene-AUO97_RS02355
gene-AUO97_RS14610	24	19	1	1	3	2	host	gene-AUO97_RS14610
gene-AUO97_RS09260	312	242	72	83	36	26	host	gene-AUO97_RS09260
gene-AUO97_RS17260	101	51	20	19	14	6	host	pcaH
gene-AUO97_RS03020	380	339	227	263	81	61	host	gene-AUO97_RS03020
gene-AUO97_RS15085	19	24	3	8	1	0	host	gene-AUO97_RS15085
gene-AUO97_RS08920	9	9	9	10	7	3	host	gene-AUO97_RS08920
gene-AUO97_RS06265	166	129	76	70	26	15	host	gene-AUO97_RS06265
gene-AUO97_RS08395	0	0	0	0	0	0	host	gene-AUO97_RS08395
gene-AUO97_RS04105	3852	2979	1300	1559	789	661	host	gene-AUO97_RS04105
gene-AUO97_RS09475	198	185	72	100	30	29	host	gene-AUO97_RS09475
gene-AUO97_RS07525	86	43	17	20	13	9	host	dkgB
gene-AUO97_RS06825	1372	1032	446	487	336	176	host	acnD
gene-AUO97_RS11480	212	169	31	48	32	13	host	cntB
gene-AUO97_RS13235	0	1	0	0	0	2	host	gene-AUO97_RS13235
gene-AUO97_RS16725	106	93	22	29	14	9	host	gene-AUO97_RS16725
gene-AUO97_RS06520	615	457	190	257	104	69	host	gene-AUO97_RS06520
gene-AUO97_RS14860	783	560	236	214	94	56	host	gene-AUO97_RS14860
gene-AUO97_RS18610	191	155	52	47	28	16	host	gene-AUO97_RS18610
gene-AUO97_RS09165	297	206	78	96	39	28	host	hisIE
gene-AUO97_RS13830	375	276	65	89	60	25	host	gene-AUO97_RS13830
gene-AUO97_RS14845	376	331	91	124	52	37	host	gene-AUO97_RS14845
gene-AUO97_RS03535	0	1	0	0	1	0	host	gene-AUO97_RS03535
gene-AUO97_RS04320	11538	9665	4358	5212	3047	2195	host	rpsE
gene-AUO97_RS07440	235	218	74	81	36	23	host	rsmB
gene-AUO97_RS08200	0	0	0	0	0	0	host	gene-AUO97_RS08200
gene-AUO97_RS08205	1	0	0	0	0	0	host	gene-AUO97_RS08205
gene-AUO97_RS12380	33	21	6	7	4	4	host	gene-AUO97_RS12380
gene-AUO97_RS10230	70	59	19	26	9	3	host	gene-AUO97_RS10230
gene-AUO97_RS08405	0	0	0	0	0	0	host	gene-AUO97_RS08405
gene-AUO97_RS06305	528	447	90	132	60	35	host	cysK
gene-AUO97_RS10815	10	2	4	6	3	1	host	gene-AUO97_RS10815
gene-AUO97_RS14415	8	3	4	2	1	2	host	gene-AUO97_RS14415
gene-AUO97_RS17625	414	326	113	81	44	30	host	gene-AUO97_RS17625
gene-AUO97_RS04370	12908	10779	5217	6107	3945	2784	host	rplP
gene-AUO97_RS11915	38	21	4	10	7	4	host	pgaD
gene-AUO97_RS14350	2341	1952	1247	1462	614	457	host	gene-AUO97_RS14350
gene-AUO97_RS00825	10	8	0	1	0	1	host	gene-AUO97_RS00825
gene-AUO97_RS01895	219	176	47	68	38	25	host	gene-AUO97_RS01895
gene-AUO97_RS12755	0	0	0	0	0	0	host	gene-AUO97_RS12755
gene-AUO97_RS10550	332	283	46	76	29	14	host	gigA
gene-AUO97_RS06545	182	156	75	70	45	24	host	gene-AUO97_RS06545
gene-AUO97_RS08715	23	22	10	12	8	5	host	gene-AUO97_RS08715
gene-AUO97_RS05685	11147	8192	4439	4777	3156	2196	host	gene-AUO97_RS05685
gene-AUO97_RS03070	4	6	1	2	0	0	host	gene-AUO97_RS03070
