Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol
gene-AUO97_RS11685	19	20	4	17	3	1	host	gene-AUO97_RS11685
gene-AUO97_RS11160	32	31	14	15	6	1	host	gene-AUO97_RS11160
gene-AUO97_RS00490	205	179	49	57	38	17	host	queF
gene-AUO97_RS02085	273	221	79	104	47	37	host	radA
gene-AUO97_RS08805	361	288	96	149	58	38	host	trpE
gene-AUO97_RS15260	173	155	46	28	24	20	host	gene-AUO97_RS15260
gene-AUO97_RS00980	7	0	0	0	0	1	host	gene-AUO97_RS00980
gene-AUO97_RS08090	0	0	0	0	0	0	host	gene-AUO97_RS08090
gene-AUO97_RS08855	13094	10876	5747	7094	4470	3298	host	rplA
gene-AUO97_RS13465	17	6	4	3	3	1	host	benA
gene-AUO97_RS14840	350	327	110	145	47	50	host	gene-AUO97_RS14840
gene-AUO97_RS15295	626	425	153	146	93	57	host	gene-AUO97_RS15295
gene-AUO97_RS18870	227	190	130	104	62	37	host	gene-AUO97_RS18870
gene-AUO97_RS00650	2	0	1	1	0	0	host	gene-AUO97_RS00650
gene-AUO97_RS03880	263	182	54	78	29	20	host	gene-AUO97_RS03880
gene-AUO97_RS11670	622	467	297	371	143	127	host	bamE
gene-AUO97_RS02870	173	140	41	63	36	22	host	gene-AUO97_RS02870
gene-AUO97_RS11085	31	26	15	9	3	5	host	gene-AUO97_RS11085
gene-AUO97_RS13880	817	585	312	317	141	98	host	gene-AUO97_RS13880
gene-AUO97_RS16125	683	459	202	247	91	73	host	gene-AUO97_RS16125
gene-AUO97_RS06275	403	303	91	107	61	63	host	gene-AUO97_RS06275
gene-AUO97_RS03170	85	69	22	29	13	10	host	gene-AUO97_RS03170
gene-AUO97_RS17105	10	9	7	8	2	2	host	gene-AUO97_RS17105
gene-AUO97_RS10385	2643	2153	1080	1202	761	580	host	infC
gene-AUO97_RS14760	49	49	13	11	1	12	host	gene-AUO97_RS14760
gene-AUO97_RS14670	33	18	10	10	3	1	host	madM
gene-AUO97_RS14460	102	56	13	16	4	3	host	gene-AUO97_RS14460
gene-AUO97_RS05940	1	0	0	0	0	0	host	gene-AUO97_RS05940
gene-AUO97_RS12325	117	117	26	34	12	10	host	gene-AUO97_RS12325
gene-AUO97_RS16145	20	32	5	6	0	0	host	gene-AUO97_RS16145
gene-AUO97_RS18485	19	25	5	12	4	2	host	gene-AUO97_RS18485
gene-AUO97_RS12475	946	673	331	379	153	106	host	gene-AUO97_RS12475
gene-AUO97_RS12505	127	111	21	36	11	11	host	gene-AUO97_RS12505
gene-AUO97_RS07305	2529	1870	885	999	563	390	host	yidC
gene-AUO97_RS14260	3	1	2	6	2	1	host	gene-AUO97_RS14260
gene-AUO97_RS14785	5	3	4	1	2	2	host	gene-AUO97_RS14785
gene-AUO97_RS16325	75	70	24	52	9	3	host	gene-AUO97_RS16325
gene-AUO97_RS08185	0	0	0	0	0	0	host	gene-AUO97_RS08185
gene-AUO97_RS09785	1516	1105	345	403	176	133	host	gene-AUO97_RS09785
gene-AUO97_RS04220	1400	950	300	366	201	129	host	rnr
gene-AUO97_RS19670	1	6	3	1	0	0	host	gene-AUO97_RS19670
gene-AUO97_RS04340	7964	6612	2773	3059	1820	1406	host	rpsN
gene-AUO97_RS07545	185	153	52	60	35	20	host	gene-AUO97_RS07545
gene-AUO97_RS06900	153	113	48	66	20	12	host	gene-AUO97_RS06900
gene-M172_gp16	173470	186316	271505	354087	160806	124836	phage	gene-M172_gp16
gene-AUO97_RS05045	119	71	34	41	32	15	host	gene-AUO97_RS05045
gene-AUO97_RS06105	133	92	25	31	10	7	host	gene-AUO97_RS06105
gene-M172_gp37	16187	18470	123299	195693	533773	440721	phage	gene-M172_gp37
gene-AUO97_RS12865	0	0	0	0	0	0	host	gene-AUO97_RS12865
gene-AUO97_RS16330	16	22	4	3	5	1	host	gene-AUO97_RS16330
gene-AUO97_RS07865	82	66	42	38	29	26	host	gene-AUO97_RS07865
gene-AUO97_RS06745	40	39	16	14	8	4	host	gene-AUO97_RS06745
gene-AUO97_RS17055	61	65	28	26	6	8	host	gene-AUO97_RS17055
gene-AUO97_RS02530	4293	3204	1429	1672	876	593	host	gltA
gene-AUO97_RS03805	0	2	0	0	0	0	host	gene-AUO97_RS03805
gene-AUO97_RS05125	0	0	0	0	0	0	host	gene-AUO97_RS05125
gene-AUO97_RS16740	9	11	4	3	4	4	host	gene-AUO97_RS16740
gene-AUO97_RS15415	2335	2124	863	1085	582	377	host	cmk
gene-AUO97_RS11235	160	147	42	50	23	19	host	bioA
gene-AUO97_RS12305	79	57	19	14	19	6	host	ureG
gene-AUO97_RS17160	2	2	0	1	2	0	host	gene-AUO97_RS17160
gene-AUO97_RS17460	264	199	52	55	19	25	host	cydP
gene-AUO97_RS17845	104	78	31	33	9	14	host	gene-AUO97_RS17845
gene-AUO97_RS07460	68	39	22	34	11	5	host	gene-AUO97_RS07460
gene-AUO97_RS16230	282	188	69	74	45	23	host	aroC
gene-AUO97_RS09360	18	17	6	1	3	1	host	crcB
gene-AUO97_RS11430	219	175	69	84	46	27	host	gene-AUO97_RS11430
gene-AUO97_RS15585	0	0	0	0	0	0	host	gene-AUO97_RS15585
gene-AUO97_RS09520	465	412	144	183	72	60	host	gene-AUO97_RS09520
gene-AUO97_RS04695	180	140	34	39	8	14	host	gene-AUO97_RS04695
gene-AUO97_RS04850	7	1	0	2	2	1	host	pilV
gene-AUO97_RS13395	10601	8478	3853	4797	1833	1453	host	gene-AUO97_RS13395
gene-AUO97_RS05840	51	44	20	28	17	8	host	alc
gene-AUO97_RS06400	19	22	9	14	4	8	host	gene-AUO97_RS06400
gene-AUO97_RS14500	8	14	7	6	4	5	host	gene-AUO97_RS14500
gene-AUO97_RS00935	0	0	0	0	1	0	host	gene-AUO97_RS00935
gene-AUO97_RS12965	1412	1390	956	1276	432	375	host	csrA
gene-AUO97_RS13095	0	0	0	0	0	0	host	gene-AUO97_RS13095
gene-AUO97_RS00915	0	0	0	0	0	0	host	gene-AUO97_RS00915
gene-AUO97_RS10115	417	273	141	220	127	105	host	holA
gene-AUO97_RS09915	139	112	37	38	9	12	host	iscX
gene-AUO97_RS03135	294	211	67	89	35	31	host	gene-AUO97_RS03135
gene-AUO97_RS10860	402	407	257	293	66	32	host	gene-AUO97_RS10860
gene-AUO97_RS07900	447	379	133	154	69	50	host	gshA
gene-AUO97_RS11525	8270	6798	3145	3973	2599	1799	host	rpsL
gene-AUO97_RS07390	404	311	119	134	53	40	host	tyrS
gene-AUO97_RS09290	862	619	228	235	120	81	host	lnt
gene-AUO97_RS11535	35101	29567	13256	16174	10204	7380	host	fusA
gene-AUO97_RS15265	72	61	13	22	11	7	host	gene-AUO97_RS15265
gene-AUO97_RS15380	25	26	4	8	2	6	host	gspJ
gene-AUO97_RS15430	777	618	344	396	187	135	host	gene-AUO97_RS15430
gene-AUO97_RS14030	49	51	21	13	19	4	host	tssK
gene-AUO97_RS12260	4007	2985	514	573	151	95	host	gene-AUO97_RS12260
gene-AUO97_RS16380	59	48	37	41	19	15	host	gene-AUO97_RS16380
gene-AUO97_RS04865	345	256	83	84	37	33	host	gmk
gene-AUO97_RS10155	119	106	27	47	20	11	host	gene-AUO97_RS10155
gene-AUO97_RS15230	312	239	91	114	49	33	host	gene-AUO97_RS15230
gene-AUO97_RS11695	153	118	28	47	22	23	host	gene-AUO97_RS11695
gene-AUO97_RS09675	3952	3030	1252	1518	808	598	host	rpmB
gene-AUO97_RS00100	68	49	17	15	11	8	host	gene-AUO97_RS00100
gene-AUO97_RS09720	390	284	63	85	58	29	host	gene-AUO97_RS09720
gene-AUO97_RS03540	0	0	0	0	0	1	host	gene-AUO97_RS03540
gene-AUO97_RS14835	689	559	167	217	96	96	host	dnaE
gene-AUO97_RS17720	1000	853	210	233	104	93	host	lpxD
gene-AUO97_RS16190	150	135	46	68	9	6	host	gene-AUO97_RS16190
gene-AUO97_RS14335	14	6	2	1	0	1	host	phnX
gene-AUO97_RS18950	8319	6111	2781	3368	2170	1430	host	ppsA
gene-AUO97_RS10925	129	90	27	35	19	13	host	gene-AUO97_RS10925
gene-AUO97_RS09065	109	83	45	41	15	9	host	coaE
gene-AUO97_RS12135	267	194	86	97	40	22	host	gene-AUO97_RS12135
gene-AUO97_RS15975	11	17	1	7	2	2	host	gene-AUO97_RS15975
gene-AUO97_RS00740	150	101	36	55	12	18	host	folE
gene-AUO97_RS16915	1	2	1	3	0	1	host	gene-AUO97_RS16915
gene-AUO97_RS01400	31	29	2	8	4	2	host	rarD
gene-AUO97_RS08450	0	0	0	0	0	0	host	gene-AUO97_RS08450
gene-AUO97_RS01710	0	0	0	1	0	0	host	gene-AUO97_RS01710
gene-AUO97_RS05660	32	13	11	11	5	5	host	gene-AUO97_RS05660
gene-AUO97_RS11895	12	12	4	3	2	1	host	gene-AUO97_RS11895
gene-AUO97_RS18650	55	48	10	19	12	1	host	gene-AUO97_RS18650
gene-AUO97_RS01220	102	102	36	56	15	14	host	gene-AUO97_RS01220
gene-AUO97_RS08430	0	0	0	0	0	0	host	gene-AUO97_RS08430
gene-AUO97_RS04150	211	154	58	78	35	27	host	gene-AUO97_RS04150
gene-AUO97_RS18025	26	16	15	26	3	6	host	gene-AUO97_RS18025
gene-AUO97_RS10405	43	27	10	14	6	3	host	nreB
gene-AUO97_RS09885	114	100	43	60	16	19	host	gene-AUO97_RS09885
gene-AUO97_RS11455	558	463	138	203	81	65	host	gene-AUO97_RS11455
gene-AUO97_RS14475	44	49	13	5	4	3	host	umuD
