Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b1801	50	6	61	5	63	3	46	2	67	0	192	1	host	yeaV
gene-b2800	51	8	51	9	38	4	34	0	32	0	80	2	host	fucA
gene-b4074	151	16	129	22	107	10	109	3	123	7	418	0	host	nrfE
gene-b2216	3796	840	2751	1055	498	378	239	110	240	55	377	60	host	rcsD
gene-b2477	5851	2762	10093	2936	1076	940	330	274	582	182	287	191	host	bamC
gene-b0584	535	494	793	1867	22042	870	196	131	229	48	451	48	host	fepA
gene-b4445	55	6	17	4	20	1	19	4	8	0	39	0	host	omrB
gene-b0610	3729	177	997	305	230	145	8501	46	108	21	74	27	host	rnk
gene-b1882	20	31	25	28	31	10	19	3	20	2	42	3	host	cheY
gene-b1126	2202	635	2112	1424	378	425	126	137	147	89	134	73	host	potA
gene-T4p110	20	0	2431	87	67123	4537	27021	2962	19357	2574	16510	2928	phage	tk.4
gene-b2328	1815	342	1783	618	219	164	68	48	106	31	106	25	host	mepA
gene-T4p204	31	0	4989	71	180345	6942	52520	7262	42185	4467	27784	4282	phage	30.2
gene-b2333	34	4	40	2	32	1	33	1	36	0	95	1	host	yfcP
gene-b3032	2026	333	1712	553	257	144	123	41	178	29	199	47	host	cpdA
gene-b3031	838	199	883	361	109	89	80	25	81	18	147	24	host	yqiA
gene-b0527	93	12	134	40	39	19	31	3	45	4	133	1	host	ybcI
gene-b2872	65	7	353	13	56	11	1986	2	72	1	168	0	host	ygeY
gene-b3890	61	10	55	16	23	3	31	2	18	0	75	0	host	yiiF
gene-b1699	59	13	69	9	44	5	41	0	57	0	178	1	host	ydiS
gene-b0532	167	14	191	23	113	12	128	5	134	1	384	4	host	sfmD
gene-b1830	8817	2416	12292	4118	1755	1449	710	373	654	185	446	226	host	prc
gene-b1956	453	89	228	205	116	77	100	27	91	8	234	10	host	dgcQ
gene-b1544	36	0	103	5	23	2	8	2	4	0	17	0	host	ydfK
gene-b3128	120	36	154	28	106	20	109	6	121	5	333	3	host	garD
gene-b0764	174	51	146	116	58	42	46	13	62	6	106	7	host	gene-b0764_gene_modB
gene-b1825	1392	248	756	444	212	148	86	46	66	23	60	31	host	yebO
gene-b4398	155	158	175	187	53	49	45	16	51	10	134	13	host	creB
gene-b4420	107	18	126	22	31	10	24	4	21	4	19	1	host	rdlA
gene-b3317	51877	30452	128457	45675	17506	29554	2576	6261	4018	3345	1268	5273	host	rplB
gene-T4p062	18	0	617	3	72022	1464	32281	2116	34230	1685	22240	1553	phage	a-gt.3
gene-b0338	239	16	229	38	80	17	61	9	53	2	163	1	host	cynR
gene-b0720	5821	4933	6396	5998	1184	2481	518	597	662	354	346	304	host	gltA
gene-b1619	217	113	264	81	51	32	41	7	42	3	98	4	host	hdhA
gene-b2472	1206	508	1492	667	312	302	118	53	122	30	223	40	host	dapE
gene-b0944	262	27	92	30	50	16	43	11	41	4	97	3	host	ycbF
gene-b2118	306	42	214	30	139	6	135	6	182	4	501	5	host	yehI
gene-b3043	28	5	84	7	23	3	38	3	20	0	59	2	host	ygiL
gene-b2245	66	30	78	26	50	21	32	6	37	6	116	7	host	yfaU
gene-b4820	192	39	52	69	29	18	40	10	17	7	24	5	host	yrfJ
gene-b0832	219	152	269	302	91	71	67	20	56	7	66	6	host	gsiD
gene-b1876	3626	1255	4171	1294	604	514	199	137	298	85	276	115	host	argS
gene-b3597	137	44	90	19	85	7	85	3	102	2	315	0	host	yibH
gene-b0244	2818	130	390	65	303	56	387	24	410	12	130	17	host	thrW
gene-b1100	1419	217	1165	315	181	123	95	48	118	38	132	29	host	ycfH
gene-b0961	582	74	347	80	66	21	44	13	40	9	65	8	host	yccF
gene-b4354	2556	6150	5714	6278	1222	2081	482	597	631	321	554	302	host	btsT
gene-b2389	273	98	246	140	101	38	69	13	86	5	203	3	host	yfeO
gene-b4237	67	10	49	21	34	11	43	3	33	0	92	0	host	gene-b4237_gene_nrdG
gene-b1003	127	127	153	105	52	27	38	11	21	5	42	4	host	yccJ
gene-b2082	152	23	39	15	21	5	18	1	19	1	45	3	host	ogrK
gene-b2737	168	16	134	28	67	13	61	3	84	6	175	0	host	ygbK
gene-b1220	310	100	236	119	79	46	59	13	31	4	96	6	host	ychO
gene-b0076	86	12	196	23	52	9	51	4	44	1	98	3	host	leuO
gene-b0717	70	2	46	3	37	4	30	2	21	2	77	0	host	ybgP
gene-b2069	561	225	801	405	185	182	81	60	87	45	141	36	host	yegD
gene-b0912	3176	1485	2052	1159	328	519	142	112	139	71	119	66	host	ihfB
gene-b0477	1954	247	1410	495	258	150	141	56	157	33	220	36	host	gsk
gene-b2078	134	51	88	59	46	12	54	8	41	4	123	5	host	baeS
gene-T4p219	30	0	33366	1409	106560	5126	47913	7022	35055	5080	25650	5477	phage	cd.2
gene-b1855	1405	257	1020	353	136	93	76	36	79	14	125	23	host	lpxM
gene-b3337	626	119	92	27	32	4	15	4	27	2	96	2	host	bfd
gene-b2102	148	26	119	37	71	15	57	2	52	5	130	3	host	yegX
gene-b1703	342	122	344	89	64	24	50	13	59	8	123	6	host	ppsR
gene-b1787	426	60	315	80	66	27	29	11	36	3	68	12	host	yeaK
gene-b0986	59	10	65	22	36	7	18	1	31	2	72	0	host	gfcB
gene-b1292	357	95	361	105	68	29	47	10	56	5	116	7	host	sapC
