Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b3830	256	596	344	791	251	386	124	241	72	136	36	43	host	ysgA
gene-T4p089	0	1	111	18749	9649	259821	1948	92234	1852	28571	93	17410	phage	nrdC.5
gene-b2026	689	973	1153	1696	808	411	278	126	110	82	108	34	host	hisI
gene-b0758	223	1076	347	1452	140	340	57	138	25	131	27	55	host	galT
gene-b4771	8	52	6	47	4	20	0	7	1	7	0	3	host	ychT
gene-T4p220	1	1	23	2519	1242	37336	1616	32626	3289	21554	249	10875	phage	cd.3
gene-b1821	9	161	50	235	11	112	14	76	6	36	2	12	host	mntP
gene-b2077	32	153	37	291	21	241	9	162	2	141	5	49	host	mdtD
gene-b3884	146	394	120	488	55	347	14991	230	15	145	19	82	host	csqR
gene-T4p117	6	64	161	16150	4124	45336	4690	57828	13152	87671	3274	60011	phage	vs.6
gene-b0026	4435	26116	6895	37441	4194	4606	1372	1176	685	967	609	397	host	ileS
gene-b1582	16	92	23	108	11	104	8	63	3	45	2	30	host	ynfA
gene-b3879	9	91	11	234	2	249	1	174	4	113	2	66	host	yihR
gene-b3637	10164	66535	13667	77365	6157	8470	2409	1913	1515	1323	1025	492	host	rpmB
gene-b1777	392	872	145	348	37	138	9	61	29	46	16	39	host	yeaC
gene-b1233	297	2006	420	1537	132	239	37	67	29	57	12	19	host	ychJ
gene-b1276	1146	3827	1900	5505	1064	1187	347	414	136	299	100	128	host	acnA
gene-b2491	25	153	20	316	14	421	4	309	4	205	2	57	host	hyfR
gene-b2834	1040	3969	1130	5542	658	835	233	260	82	180	73	80	host	tas
gene-b0134	741	4784	754	6188	417	1175	152	321	85	220	63	107	host	panB
gene-T4p049	0	0	7	644	217	22564	721	130633	3782	60733	70	17495	phage	62
gene-T4p181	5	2	21	26116	32	53641	398	56541	17675	265493	20791	359609	phage	hoc
gene-b1100	198	1845	330	1769	135	344	48	159	60	156	18	60	host	ycfH
gene-b3344	74	558	207	609	67	125	26	73	12	63	16	21	host	tusC
gene-b4416	114	663	73	269	38	141	18	64	9	52	9	32	host	rybA
gene-b3191	320	1267	453	1743	229	308	103	111	41	86	37	39	host	mlaB
gene-b0502	13	91	21	130	6	97	3	73	5	40	3	26	host	ylbG
gene-b3612	2598	14051	2355	16898	1087	2534	452	802	239	624	191	230	host	gpmM
gene-T4p175	33	21	277	325383	1810	432047	2018	369423	257256	3330923	407092	3690987	phage	23
gene-b1674	2	27	9	119	3	119	1	85	1	58	0	30	host	ydhY
gene-b1492	123	732	184	1223	68	271	22	142	14	111	6	62	host	gadC
gene-b0557	249	2385	165	1451	92	579	21	151	33	99	6	35	host	borD
gene-b0001	669	4119	410	2190	178	1995	54	479	44	220	21	277	host	thrL
gene-b1692	34	94	31	216	15	135	5	76	1	63	1	18	host	ydiB
gene-b3181	532	2374	943	4231	518	529	157	143	98	89	75	54	host	greA
gene-b1149	9	97	12	209	6	177	8	185	1	104	4	54	host	ymfN
gene-b2350	69	820	103	661	27	131	8	43	14	30	6	22	host	yfdG
gene-b1790	22	149	29	158	7	128	6	85	0	75	1	19	host	nimR
gene-T4p125	1	0	76	3689	3136	65208	483	7322	268	4193	72	5978	phage	e.2
gene-b3287	1176	3746	984	3262	419	491	146	194	99	149	66	60	host	def
gene-b4030	26	262	14	124	8	127	2	86	1	80	1	40	host	psiE
gene-b4399	69	338	121	567	36	357	14	260	10	179	11	70	host	creC
gene-b1609	155	886	218	797	53	259	36	154	15	102	8	44	host	rstB
gene-b0908	2529	2960	3381	4952	1084	519	302	201	199	128	128	69	host	aroA
gene-b3609	1731	8524	2287	11685	1583	1471	392	321	221	219	130	98	host	secB
gene-b2444	4	29	3	52	0	71	0	39	1	25	0	14	host	yffM
gene-b0734	763	3539	968	5982	477	693	176	283	89	234	95	94	host	cydB
gene-b2764	5939	21746	5514	19336	1966	2409	569	703	251	538	439	233	host	cysJ
gene-b2823	17	164	43	261	18	116	5	66	4	31	3	27	host	ppdC
gene-b0576	156	2006	284	2015	152	528	68	258	50	139	49	51	host	pheP
gene-b1051	384	376	274	414	85	124	26	57	22	42	13	30	host	msyB
gene-b0220	247	929	211	1158	156	341	44	122	32	108	17	37	host	ivy
gene-b3626	158	787	60	839	35	204	1	129	8	92	1	70	host	waaJ
gene-b2024	691	782	1230	1301	986	333	268	159	109	95	116	37	host	hisA
gene-b2625	30	99	27	175	24	198	38	165	28	117	22	79	host	yfjI
gene-b3311	7060	54449	11029	89815	12096	33474	3979	8097	2661	4796	1262	2053	host	rpsQ
gene-b2977	168	197	232	270	89	135	18	84	9	50	7	20	host	glcG
gene-b3876	15	106	17	334	7	416	3	304	5	210	0	84	host	yihO
gene-b3156	257	1035	227	1374	116	297	36	178	33	128	29	48	host	yhbS
gene-b3031	206	1389	349	1583	135	272	41	132	17	106	8	38	host	yqiA
gene-b0185	1553	8607	2034	6583	887	768	364	281	248	255	170	116	host	accA
gene-b0799	138	1144	359	1307	106	390	64	287	36	124	22	51	host	dinG
gene-b4110	20	110	41	278	24	276	9	197	7	160	3	80	host	rdcB
gene-b3054	442	539	480	648	136	346	71	210	35	184	42	70	host	ygiF
gene-T4p130	1	0	2532	185210	7692	78413	264	10656	979	13402	184	9637	phage	e.7
gene-b0014	4254	8984	4796	14547	2268	1872	730	546	385	615	367	312	host	dnaK
gene-b0860	167	785	222	711	44	242	28	146	21	95	15	48	host	artJ
gene-b2453	6	58	7	155	9	245	3	161	0	96	0	26	host	eutG
gene-b3352	543	3593	963	3909	345	872	146	498	102	342	65	120	host	yheS
gene-b4839	15	69	20	62	4	59	0	13	3	15	0	10	host	asflhD
gene-b2758	23	105	23	186	6	176	3	124	2	71	0	40	host	casC
gene-b2920	24	184	40	356	14	342	12	223	5	118	5	42	host	scpC
gene-b2150	138	155	71	292	36	143	18	418	36	70	19	30	host	mglB
gene-b1546	11	32	6	77	2	88	1	62	0	31	1	11	host	tfaQ
gene-b4745	1	10	2	14	1	38	0	34	0	13	0	15	host	yncO
gene-T4p142	0	0	7	1183	3	2390	29	11032	2542	50193	1338	37895	phage	4
gene-b3627	270	629	133	843	65	245	5	137	24	98	2	56	host	waaO
gene-b4518	18	78	16	93	7	58	3	29	3	13	1	7	host	ymdF
gene-b1002	100	603	113	831	59	264	25	196	14	139	6	57	host	agp
gene-b2507	4315	38553	4665	40885	2731	6356	848	1568	419	1278	330	628	host	guaA
gene-b0147	38	331	78	266	25	151	8	88	4	54	11	27	host	thpR
gene-b1181	60	273	94	291	33	84	8	61	5	47	4	29	host	ycgN
gene-b3810	569	1834	1117	1867	314	535	125	266	73	192	76	63	host	yigA
gene-b4384	498	5423	833	7262	563	1431	209	351	114	252	123	114	host	deoD
gene-b3738	4202	30867	7332	34332	2755	2821	821	845	787	700	437	334	host	atpB
gene-b2770	15	55	11	118	5	119	1	3161	1	75	0	37	host	ygcR
gene-b1228	29	304	75	524	98	1429	106	744	55	522	42	353	host	ychS
gene-b1273	239	1374	167	1093	80	218	30	89	24	74	20	36	host	yciN
gene-b3009	124	688	144	676	57	226	23	122	15	83	20	33	host	yghB
gene-T4p239	1	1	3054	131858	16974	185694	4410	40517	3101	21743	771	16660	phage	frd
gene-b1520	40	1154	59	368	28	186	11	82	3	65	1	29	host	yneE
gene-b2321	178	1477	234	922	82	284	43	175	24	101	22	37	host	flk
gene-b0145	1624	6722	1622	8760	988	2871	418	621	210	422	238	179	host	dksA
gene-b3213	7277	10866	11789	28098	9328	6838	2565	1537	967	1146	730	574	host	gltD
gene-b2767	5	45	7	74	6	80	1	43	0	25	0	6	host	ygcO
gene-b4197	25	155	30	274	22	235	12	183	6	101	3	59	host	ulaE
gene-b2325	133	2259	344	2352	192	334	62	106	25	76	22	36	host	yfcL
gene-b1176	749	3895	800	3732	265	787	106	335	82	215	55	102	host	minC
gene-b1726	96	615	135	580	89	124	10	66	14	40	7	17	host	yniB
gene-b1003	119	239	98	244	31	63	13	49	7	33	6	12	host	yccJ
gene-b4208	1172	1641	1948	3937	1242	980	330	430	170	355	79	175	host	cycA
gene-b3442	2	36	2	117	0	220	0	141	4	107	1	90	host	yhhZ
gene-b1440	59	130	95	330	48	154	15	103	10	64	7	18	host	ydcS
gene-b4199	12	31	2	69	1	103	1	63	1	49	0	17	host	yjfY
gene-T4p145	0	0	4	636	3	1331	23	3223	867	17408	291	13116	phage	repEB
gene-b1923	222	858	279	1059	170	462	88	194	60	142	22	53	host	fliC
gene-b1919	496	1447	699	2009	242	331	84	154	39	99	33	40	host	dcyD
gene-b3795	1125	3146	1639	4818	907	1256	322	586	154	260	111	141	host	thrP
gene-b1539	701	3858	640	4696	310	720	80	177	64	125	37	76	host	ydfG
gene-b4329	47	248	45	332	49	198	11	91	7	66	3	28	host	yjiG
gene-b1732	353	925	430	1451	198	422	55	222	29	164	23	80	host	katE
gene-T4p073	1	0	13	1545	410	28866	158	34952	1915	33270	75	14624	phage	55.8
gene-b2841	38	179	64	341	36	247	9	197	9	102	6	51	host	araE
gene-b0855	371	1641	521	2417	153	387	66	175	39	141	24	51	host	potG
gene-b0071	682	958	865	2356	648	459	161	160	72	104	71	41	host	leuD
gene-b1873	5	37	12	115	2	166	1	73	1	89	1	22	host	torY
gene-b3652	303	3039	535	3085	184	914	95	632	44	469	48	202	host	recG
gene-b2565	198	1803	326	2262	126	397	75	176	36	333	32	59	host	recO
gene-b2534	9	110	33	237	12	219	37	147	21	106	5	36	host	yfhR
